seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,5.0,12.0,7.0,8.0,10.0,11.089752,3.5358887,1.3817444,3.6230774,7.844879,92,14
1982,9.0,7.0,9.0,10.0,14.0,9.278656,5.4315186,2.8723145,4.1672974,8.791229,85,12
1983,9.0,11.0,8.0,8.0,17.0,12.023743,5.7232666,3.6777344,3.2817688,8.105713,94,14
1984,5.0,8.0,8.0,7.0,9.0,9.506714,3.8547363,1.0360413,1.653595,5.074524,101,15
1985,7.0,12.0,8.0,14.0,14.0,11.957947,5.2704773,1.8132324,4.4676514,7.7341614,97,14
1986,11.0,11.0,8.0,10.0,12.0,9.957367,3.7798767,1.6394043,1.7875061,7.010498,93,14
1987,4.0,12.0,10.0,11.0,18.0,10.030884,6.8716736,4.0299683,5.0479126,7.832947,93,14
1988,11.0,5.0,10.0,7.0,15.0,11.700348,6.102356,4.485138,3.4927673,6.712372,100,14
1989,8.0,5.0,11.0,12.0,13.0,9.115326,5.493561,6.5926514,6.325592,7.8079224,87,13
1990,8.0,8.0,12.0,17.0,9.0,10.977356,6.602478,3.2754211,7.528961,9.368866,87,13
1991,11.0,14.0,9.0,13.0,17.0,12.630096,6.124542,3.8476257,3.712555,9.251282,96,14
1992,4.0,15.0,10.0,9.0,21.0,9.957001,7.547577,4.832855,4.6408386,9.254486,91,14
1993,7.0,11.0,12.0,10.0,13.0,10.734833,6.952118,5.014221,5.277313,7.0859985,95,14
1994,13.0,11.0,13.0,11.0,6.0,12.291809,5.4518127,4.1552734,4.17807,5.8959656,95,14
1995,6.0,10.0,9.0,11.0,11.0,12.166351,7.008606,3.360077,4.156128,7.868683,98,14
1996,8.0,8.0,8.0,9.0,12.0,9.440186,4.3320923,3.3744507,3.2592163,7.5846252,92,14
1997,13.0,9.0,12.0,5.0,11.0,11.417145,6.2589417,3.0369263,4.7166443,8.717377,87,13
1998,13.0,13.0,17.0,14.0,12.0,12.633057,6.7839355,3.7359924,6.8098755,8.244385,93,14
1999,4.0,4.0,8.0,11.0,12.0,11.242645,7.1748657,3.820343,4.0986023,9.25238,91,13
2000,10.0,9.0,19.0,7.0,13.0,10.835388,5.4341736,5.063843,2.786438,7.5954285,93,13
2001,9.0,7.0,19.0,12.0,10.0,11.873322,6.1945496,3.2549133,5.207794,7.985321,91,13
2002,9.0,11.0,13.0,7.0,9.0,10.44397,5.5248413,4.82312,5.3831787,9.371582,84,13
2003,9.0,14.0,14.0,13.0,15.0,8.36615,6.2219543,2.8423767,5.8957214,7.347229,87,13
2004,18.0,8.0,8.0,9.0,12.0,13.914337,6.008545,2.9178467,5.7897034,8.006287,90,14
2005,7.0,11.0,10.0,11.0,14.0,12.317108,7.6999817,3.1593018,3.681549,6.7595215,96,14
2006,8.0,14.0,11.0,13.0,12.0,11.666931,2.9967957,4.122406,5.00943,7.3395386,93,14
2007,12.0,13.0,6.0,8.0,9.0,12.005371,6.6829224,4.636444,6.9691772,8.561584,90,13
2008,2.0,13.0,10.0,5.0,12.0,10.782928,6.907135,4.3585205,3.155426,8.224213,93,14
2009,9.0,9.0,11.0,11.0,8.0,10.706024,6.5779114,4.225769,7.372589,8.445435,82,13
2010,10.0,12.0,7.0,11.0,18.0,10.904236,5.948822,3.64328,6.5303345,7.9864197,84,12
2011,5.0,14.0,8.0,10.0,5.0,10.355438,5.764923,0.8862915,5.725067,5.7132263,92,13
2012,7.0,6.0,10.0,11.0,10.0,13.362793,5.2833557,3.06073,3.1880493,7.734375,92,13
2013,11.0,13.0,4.0,11.0,7.0,9.772491,4.437805,3.1192017,4.7720337,9.035492,81,12
2014,10.0,6.0,7.0,10.0,14.0,10.354675,5.1115723,4.540436,5.0523376,8.755463,86,13
2015,7.0,14.0,11.0,8.0,9.0,11.889984,4.1177063,4.408264,4.5945435,8.200317,88,13
2016,15.0,13.0,9.0,9.0,8.0,13.337738,7.3994446,4.2056885,4.8210754,8.742828,90,13
2017,9.0,12.0,7.0,9.0,9.0,11.781891,7.453369,4.3368225,4.7703247,7.4081116,95,14
2018,8.0,5.0,13.0,8.0,11.0,10.741089,4.1751404,2.9360046,3.4673157,9.492157,86,13
2019,7.0,12.0,9.0,9.0,12.0,11.575317,7.0742188,4.9652405,6.5498047,8.935791,88,13
2020,5.0,9.0,14.0,11.0,12.0,11.946442,7.6140747,6.703644,6.8256226,9.537933,93,14
2021,9.0,6.0,8.0,6.0,12.0,12.066589,5.230438,4.243927,6.631073,10.774597,81,12
2022,7.0,4.0,5.0,5.0,12.0,11.211426,6.107727,4.0569763,3.1824036,9.925171,86,12
2023,7.0,9.0,8.0,10.0,12.0,13.298126,4.911377,4.2326355,6.244934,10.884216,85,12
2024,6.0,10.0,14.0,17.0,13.0,11.903412,7.0932617,5.210022,7.1565857,8.962189,93,14
2025,10.0,5.0,8.0,8.0,13.0,12.934296,5.70166,3.7835693,2.7867737,8.990143,87,13
