seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,5.0,11.0,11.0,11.0,10.0,6.990143,0.9116821,-2.3146057,-1.3892212,2.0549927,105,16
1982,5.0,3.0,8.0,6.0,8.0,3.392517,0.8428955,-1.4360046,-2.2683105,2.853363,103,15
1983,9.0,4.0,7.0,10.0,11.0,7.126831,2.1470947,-1.7872925,-2.5878906,1.7740173,104,15
1984,10.0,7.0,11.0,8.0,8.0,5.2595825,-0.37298584,-4.2693176,-5.967224,-1.9050598,119,17
1985,6.0,6.0,7.0,7.0,12.0,5.07193,-0.541626,-5.45932,-0.68807983,1.3628235,109,16
1986,14.0,6.0,5.0,6.0,12.0,6.036438,-0.5897217,-3.8262634,-4.6700745,0.86834717,112,17
1987,2.0,6.0,6.0,7.0,8.0,4.875824,1.5388489,-1.8027344,-1.0090637,2.3444824,100,15
1988,7.0,4.0,7.0,6.0,12.0,6.1264343,1.4160156,-0.57992554,-3.5366821,1.4567871,111,16
1989,11.0,4.0,8.0,12.0,11.0,4.001007,0.98031616,0.56640625,0.19607544,3.3545837,96,14
1990,10.0,6.0,11.0,13.0,12.0,7.9728394,1.329895,-2.677826,1.137146,3.7554016,97,14
1991,12.0,8.0,9.0,12.0,12.0,9.136841,3.0898132,-1.4266052,-1.4035645,2.5798645,102,15
1992,8.0,7.0,8.0,4.0,12.0,5.9898376,2.0974426,-0.30828857,-0.9500122,2.7189636,101,15
1993,7.0,9.0,12.0,10.0,7.0,6.834076,1.6327515,-0.6315918,-0.27160645,2.029358,106,15
1994,6.0,9.0,10.0,5.0,5.0,7.424713,1.0413513,-1.7487183,-1.4284058,0.65234375,103,15
1995,6.0,11.0,13.0,5.0,15.0,6.79953,0.6251526,-2.716278,-1.2312317,2.0001526,105,15
1996,7.0,7.0,8.0,11.0,13.0,5.2443542,0.10229492,-2.4302063,-2.2252197,1.4564819,114,17
1997,11.0,7.0,6.0,8.0,9.0,5.9990234,1.688324,-1.3506775,-0.7247925,2.853424,100,15
1998,14.0,7.0,11.0,13.0,8.0,7.7556763,1.7868347,-3.1304321,-0.7751465,2.4427185,100,15
1999,9.0,3.0,5.0,7.0,12.0,5.8420715,1.3931885,-1.8790588,-1.6135559,3.0832825,101,14
2000,10.0,6.0,12.0,9.0,10.0,7.507019,0.83673096,0.16574097,-2.5362244,1.1493835,108,16
2001,11.0,4.0,12.0,4.0,14.0,6.18515,0.41400146,-4.226959,-4.088623,1.663269,100,15
2002,6.0,5.0,9.0,4.0,11.0,6.2090454,-0.90859985,-0.84628296,-0.1484375,4.0946655,92,14
2003,11.0,10.0,7.0,7.0,7.0,3.7883606,-0.4114685,-2.5797424,-1.248352,1.0549316,102,15
2004,13.0,9.0,8.0,8.0,11.0,8.243622,2.0125732,-2.1793213,-0.43878174,2.4593506,99,15
2005,12.0,8.0,9.0,8.0,9.0,8.507568,2.1690063,-2.6174622,-2.6728516,0.8461609,106,15
2006,6.0,10.0,5.0,9.0,8.0,6.0734863,-2.2431946,-3.7911072,-0.87960815,1.7601318,105,15
2007,13.0,12.0,4.0,9.0,11.0,7.101471,1.9463501,0.29418945,0.74087524,2.4406433,99,15
2008,4.0,17.0,8.0,7.0,11.0,6.0162354,1.7114563,-2.190857,-2.5037842,3.142395,102,15
2009,11.0,9.0,9.0,9.0,12.0,6.0739746,2.3845825,-0.6803894,-0.4925232,2.342682,99,15
2010,9.0,8.0,3.0,11.0,13.0,7.177124,1.2319031,-1.2692871,-0.88946533,1.6573181,103,15
2011,5.0,13.0,9.0,9.0,10.0,6.7182007,2.1040344,-4.301697,-1.1570435,0.04446411,105,15
2012,6.0,8.0,10.0,14.0,15.0,7.717346,-0.4015503,-4.0213013,-3.8536072,1.240387,111,16
2013,8.0,13.0,8.0,10.0,5.0,5.9546814,-0.13937378,-3.7054138,-3.2565613,2.6385803,98,15
2014,7.0,10.0,3.0,5.0,12.0,6.153656,0.9873047,-2.104004,-2.5157166,2.393982,101,15
2015,11.0,17.0,11.0,9.0,9.0,7.3769836,-1.0781555,-2.050293,-0.76708984,3.5961304,96,15
2016,15.0,9.0,7.0,6.0,8.0,8.404327,2.5569458,-1.6834106,-0.44424438,3.7089539,94,13
2017,9.0,5.0,11.0,4.0,10.0,5.143921,2.0855103,-1.8625488,-0.7079773,1.8413696,102,15
2018,9.0,8.0,9.0,7.0,7.0,5.499939,-0.26345825,-2.7372742,-2.9034424,4.368744,92,14
2019,6.0,6.0,6.0,6.0,11.0,7.786957,1.1611938,-1.8331299,0.06640625,3.6480408,98,15
2020,5.0,8.0,11.0,8.0,12.0,6.4079895,2.2533875,0.88378906,1.0899048,4.1661377,92,14
2021,6.0,12.0,9.0,1.0,9.0,7.375702,0.21905518,-3.6938171,0.4161682,5.6257324,88,13
2022,10.0,13.0,4.0,9.0,8.0,7.8869934,1.0680542,-3.3009644,-2.1664124,3.1463013,98,14
2023,6.0,11.0,7.0,8.0,8.0,8.290558,0.527771,-1.2951965,-0.68725586,5.973419,87,13
2024,11.0,7.0,5.0,9.0,13.0,8.447815,2.5555725,0.5501404,1.0067139,2.374817,98,14
2025,9.0,5.0,11.0,4.0,10.0,7.6829834,0.7144165,-0.83010864,-1.8529053,3.8367004,98,15
