seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,15.0,19.0,27.0,17.0,13.0,6.590271,0.6923218,-2.4941406,-1.8719788,0.54016113,126,19
1982,14.0,19.0,19.0,15.0,18.0,1.9899292,0.60479736,-2.8155518,-3.3010864,0.8956604,129,18
1983,13.0,21.0,14.0,17.0,13.0,6.296509,1.1600952,-1.9306946,-3.6063538,0.7268982,120,17
1984,14.0,19.0,24.0,21.0,19.0,5.3793335,-0.72268677,-3.825531,-5.0071716,-1.9587402,148,21
1985,9.0,19.0,23.0,14.0,15.0,4.658081,-0.8647766,-5.0650024,-2.5796509,-0.017791748,129,19
1986,19.0,24.0,21.0,17.0,15.0,4.5174255,-2.2416992,-4.042633,-4.214325,0.46542358,128,19
1987,16.0,11.0,22.0,12.0,15.0,4.2174377,0.11126709,-3.535492,-2.710907,0.27575684,128,19
1988,18.0,17.0,19.0,18.0,11.0,4.3752136,-0.73605347,-2.7688293,-4.434143,-0.22073364,127,18
1989,16.0,21.0,14.0,6.0,10.0,4.1819763,0.4663086,-0.8652344,-0.8400879,1.8981934,121,18
1990,12.0,19.0,22.0,9.0,10.0,7.0848083,0.74401855,-3.4999695,-0.20083618,2.3850403,116,17
1991,16.0,14.0,22.0,16.0,10.0,7.8118896,2.5281372,-0.91674805,-2.6677551,0.7484131,122,18
1992,16.0,12.0,12.0,20.0,11.0,5.481659,0.10253906,-1.638092,-2.2752686,1.2330017,123,18
1993,14.0,20.0,15.0,19.0,4.0,5.212738,0.7657776,-1.3790283,-2.0049438,0.8671875,122,17
1994,14.0,19.0,16.0,17.0,16.0,6.108795,0.2033081,-3.843872,-1.8320923,-0.5121155,125,18
1995,10.0,17.0,26.0,14.0,13.0,5.8197327,-0.56259155,-2.6884155,-2.033722,0.6186218,123,18
1996,17.0,20.0,23.0,15.0,15.0,5.5784607,0.35202026,-3.238678,-2.9557495,0.3781128,132,19
1997,14.0,19.0,20.0,14.0,12.0,4.257843,0.17181396,-1.5068359,-1.327301,0.47891235,121,18
1998,13.0,11.0,21.0,9.0,10.0,7.154175,0.587677,-4.336487,-2.6817932,1.822937,114,17
1999,23.0,17.0,22.0,17.0,9.0,3.888916,-0.7461548,-3.2452087,-3.4259644,-0.009918213,122,17
2000,12.0,20.0,22.0,15.0,17.0,5.737152,-0.10571289,-1.8345337,-3.5306091,0.08230591,129,19
2001,12.0,23.0,23.0,14.0,13.0,3.954834,-1.4007568,-4.130768,-5.0903015,-0.21426392,123,18
2002,14.0,21.0,20.0,10.0,12.0,5.716919,-2.438324,-1.9025879,-1.2497559,2.0858154,111,16
2003,24.0,14.0,18.0,9.0,12.0,2.9768372,-2.1939392,-3.0123901,-2.479126,0.48394775,122,18
2004,9.0,16.0,25.0,21.0,10.0,6.6693726,1.3799438,-1.4986572,-0.9022522,0.6697693,121,18
2005,12.0,23.0,24.0,22.0,18.0,7.9880676,0.58303833,-2.1011658,-3.5127563,-0.31777954,125,18
2006,21.0,20.0,20.0,16.0,19.0,5.67157,-1.8291931,-3.5907898,-2.5977173,1.1625061,132,19
2007,16.0,16.0,16.0,10.0,16.0,5.377899,-0.7399292,-0.832428,-0.5161438,0.7387085,124,18
2008,14.0,13.0,18.0,15.0,11.0,4.854309,0.01727295,-3.3685608,-2.7348633,2.6166687,117,17
2009,14.0,21.0,16.0,15.0,12.0,5.639496,1.553894,-0.73172,-1.4372864,1.2053528,121,18
2010,13.0,20.0,20.0,12.0,12.0,5.676178,-0.21456909,-2.0071716,-2.6835632,-0.15875244,130,19
2011,15.0,21.0,21.0,10.0,13.0,6.5989075,1.0349426,-3.8677979,-1.0545654,-0.018463135,126,18
2012,12.0,17.0,22.0,22.0,16.0,6.3066406,-1.4544373,-4.066925,-3.8304749,-0.14880371,126,18
2013,20.0,24.0,21.0,21.0,14.0,5.6130066,-1.6697998,-3.9203796,-3.5997925,-0.116241455,132,19
2014,21.0,18.0,23.0,15.0,13.0,6.301178,1.3582153,-2.810669,-2.9205933,0.08428955,121,18
2015,15.0,24.0,16.0,11.0,12.0,6.808502,-1.1811829,-1.6250916,-0.9404907,2.3723755,114,17
2016,14.0,15.0,18.0,20.0,11.0,6.358429,1.5224304,-2.8347168,-1.8574829,1.9698486,117,17
2017,14.0,17.0,14.0,15.0,10.0,2.3197937,-0.9586487,-3.341339,-2.301117,0.58309937,120,17
2018,17.0,26.0,24.0,19.0,8.0,4.4201965,-1.1087036,-2.0618591,-3.1125183,1.9533997,118,17
2019,11.0,22.0,14.0,11.0,11.0,6.899414,-0.036254883,-2.393921,-1.9790039,1.8430481,119,18
2020,8.0,17.0,8.0,15.0,12.0,4.9267883,0.31176758,-1.0801697,-1.1971741,2.7240295,122,18
2021,11.0,17.0,20.0,17.0,11.0,6.5594177,-0.8082886,-3.1302185,-1.8084412,2.818573,113,16
2022,19.0,20.0,21.0,18.0,13.0,7.8425903,0.47003174,-2.3110962,-2.04187,1.8104248,115,17
2023,13.0,21.0,20.0,16.0,8.0,7.289795,-0.2729187,-3.1004028,-1.981781,3.608673,110,16
2024,16.0,19.0,17.0,6.0,10.0,7.002075,0.07751465,-0.607666,-1.0645447,0.5308838,114,17
2025,14.0,20.0,21.0,15.0,14.0,6.226074,-1.0425415,-0.81851196,-0.8467407,1.8739929,118,18
