seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,14.0,10.0,11.0,10.0,10.0,24.18103,20.181885,18.785156,19.52243,21.60025,33,6
1982,12.0,10.0,6.0,18.0,14.0,23.097748,20.115082,18.649628,20.099884,22.054321,24,3
1983,21.0,15.0,18.0,21.0,24.0,24.491882,21.237152,20.145752,19.267578,20.946838,40,6
1984,8.0,7.0,18.0,12.0,18.0,23.09909,19.679321,18.697357,18.398926,20.80893,26,4
1985,20.0,9.0,16.0,20.0,18.0,24.339172,20.671356,19.39798,20.420868,21.418884,30,5
1986,12.0,16.0,8.0,15.0,15.0,23.260956,20.553375,18.247375,17.71228,19.629395,33,5
1987,21.0,9.0,7.0,12.0,17.0,23.694397,20.823547,19.295319,19.629517,21.747772,27,5
1988,22.0,13.0,24.0,17.0,25.0,25.014923,21.584381,21.413696,20.967468,21.985077,25,4
1989,9.0,6.0,12.0,9.0,11.0,22.434448,20.493683,20.48108,19.895996,20.234344,8,1
1990,12.0,11.0,21.0,19.0,15.0,22.924713,20.342041,19.67163,21.081055,20.993256,30,5
1991,11.0,14.0,14.0,9.0,19.0,24.173828,21.167053,19.875153,19.291077,21.799622,49,8
1992,11.0,8.0,18.0,18.0,22.0,22.845306,21.548737,19.835052,19.483917,22.316406,27,5
1993,13.0,15.0,15.0,8.0,14.0,23.03656,21.985168,19.833984,19.858368,20.45819,29,4
1994,17.0,13.0,10.0,16.0,14.0,24.635223,20.906372,20.30243,20.158264,20.381287,30,4
1995,8.0,17.0,15.0,18.0,19.0,23.98523,22.857117,19.621155,18.848602,20.652191,50,7
1996,15.0,11.0,18.0,15.0,18.0,23.162323,20.6875,20.298798,18.85498,21.263947,23,4
1997,19.0,8.0,18.0,12.0,14.0,24.757446,21.257996,19.72876,19.6344,21.409058,37,6
1998,11.0,17.0,21.0,22.0,14.0,24.402954,22.449371,21.041626,20.703064,22.01181,60,9
1999,21.0,19.0,14.0,6.0,18.0,25.339844,22.683014,20.666382,19.614258,22.818726,55,8
2000,9.0,16.0,20.0,22.0,21.0,23.973236,21.073608,20.681519,20.177582,21.339539,34,5
2001,20.0,14.0,17.0,8.0,14.0,24.810272,22.692291,20.627289,20.519592,21.124115,39,6
2002,6.0,12.0,13.0,8.0,15.0,23.583923,21.513092,19.394318,19.891022,22.100067,32,5
2003,15.0,20.0,10.0,8.0,12.0,23.503967,22.150208,18.960754,20.16156,20.441132,51,8
2004,20.0,9.0,18.0,11.0,16.0,24.805634,21.285645,19.596985,20.24347,21.292145,33,6
2005,11.0,16.0,23.0,22.0,15.0,23.92978,21.88916,19.481323,20.347809,19.416412,38,6
2006,11.0,12.0,24.0,15.0,17.0,24.416962,19.675476,20.662079,20.600067,20.899384,33,5
2007,18.0,13.0,16.0,12.0,22.0,24.741455,22.092438,20.5766,21.426361,22.064178,58,9
2008,17.0,14.0,19.0,19.0,13.0,23.861023,22.015411,20.668884,18.98407,21.071167,51,8
2009,16.0,8.0,13.0,15.0,19.0,24.456024,21.563171,19.495453,21.76056,21.649841,47,8
2010,18.0,11.0,15.0,20.0,13.0,24.131744,20.757416,20.12259,21.376465,22.17044,39,6
2011,15.0,10.0,20.0,12.0,9.0,23.522003,20.892487,18.341095,20.065857,19.422058,41,6
2012,22.0,23.0,16.0,19.0,17.0,25.121033,21.085419,19.949951,20.006317,21.789276,40,6
2013,16.0,18.0,19.0,16.0,15.0,23.391815,20.806366,19.601318,21.206635,22.037384,45,7
2014,17.0,21.0,9.0,14.0,14.0,23.140594,20.383179,19.563965,19.7146,20.21457,41,7
2015,13.0,13.0,10.0,15.0,15.0,24.46994,20.444061,19.357605,19.613403,21.301636,24,4
2016,16.0,20.0,23.0,12.0,12.0,25.6503,22.909668,20.94873,19.529266,20.583221,62,9
2017,13.0,11.0,11.0,11.0,11.0,25.182526,23.038452,21.485413,20.25174,20.843231,50,7
2018,23.0,11.0,21.0,12.0,9.0,25.053131,21.17514,20.197906,19.429108,21.620789,38,6
2019,11.0,18.0,18.0,20.0,15.0,24.546051,23.12622,21.447876,22.739014,22.616577,39,6
2020,10.0,15.0,11.0,5.0,17.0,24.228119,22.259674,20.988464,21.035553,22.228455,41,7
2021,15.0,25.0,12.0,7.0,14.0,24.85849,21.670776,19.293274,21.045319,22.368134,39,6
2022,14.0,7.0,18.0,19.0,15.0,24.22644,21.954132,20.9357,20.397522,22.334137,53,8
2023,18.0,23.0,11.0,9.0,17.0,25.665985,21.79358,20.207611,20.9216,22.108612,41,6
2024,7.0,19.0,7.0,8.0,14.0,24.799011,22.67212,20.756561,21.674469,21.679749,41,6
2025,18.0,13.0,12.0,11.0,13.0,25.416138,21.99881,19.79889,19.33258,21.427307,41,7
