seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,5.0,11.0,4.0,8.0,16.0,15.638489,8.2161255,6.024872,8.737671,11.951935,87,13
1982,9.0,3.0,8.0,12.0,15.0,13.667999,9.818024,7.302368,8.45874,12.677307,87,12
1983,14.0,6.0,8.0,7.0,15.0,16.169037,9.781372,8.041138,8.161591,11.964844,93,13
1984,5.0,6.0,7.0,9.0,11.0,13.500549,8.4583435,5.354004,6.303253,9.711029,91,13
1985,9.0,8.0,7.0,14.0,17.0,16.648438,10.126007,6.583008,9.655121,12.673798,92,14
1986,6.0,12.0,9.0,4.0,15.0,14.165955,8.788513,6.441437,6.2321167,11.599304,89,13
1987,7.0,10.0,9.0,6.0,18.0,14.486572,11.6180725,8.444397,9.449127,12.302429,92,14
1988,10.0,6.0,8.0,12.0,14.0,15.86853,10.605988,9.582184,8.53952,11.388733,99,14
1989,8.0,5.0,12.0,9.0,13.0,13.512604,10.19574,10.837402,11.155273,11.820557,95,14
1990,8.0,8.0,14.0,16.0,7.0,14.954163,10.705292,8.152252,12.182098,13.11319,88,13
1991,9.0,8.0,12.0,11.0,16.0,16.556366,10.432709,8.280243,8.168182,13.902893,95,14
1992,5.0,13.0,11.0,5.0,22.0,14.372498,12.141815,9.45343,8.507843,14.004913,94,14
1993,9.0,10.0,11.0,4.0,11.0,15.221771,11.474518,9.278107,9.500336,11.343384,100,14
1994,11.0,7.0,12.0,8.0,10.0,16.822784,10.286682,8.745941,8.736816,10.47113,94,14
1995,10.0,12.0,6.0,9.0,11.0,16.82132,11.709808,7.977722,8.582001,11.470581,100,15
1996,6.0,5.0,10.0,12.0,16.0,13.665253,8.685364,8.064056,7.665497,11.7164,91,13
1997,13.0,7.0,7.0,10.0,13.0,16.07309,10.79071,7.621399,9.087555,13.128693,89,13
1998,12.0,14.0,16.0,11.0,15.0,16.878998,11.743744,9.115204,11.57843,12.175995,99,15
1999,5.0,2.0,8.0,8.0,15.0,16.045502,11.745422,8.878387,8.788116,13.991913,96,14
2000,9.0,7.0,16.0,7.0,12.0,15.046295,9.867889,9.621094,7.470978,12.2034,97,14
2001,12.0,9.0,16.0,11.0,11.0,16.703583,11.0914,8.707947,10.238678,12.051575,95,14
2002,9.0,13.0,13.0,12.0,12.0,14.516418,10.555237,9.477173,9.93335,13.429047,91,14
2003,12.0,12.0,11.0,12.0,16.0,12.908173,11.260895,7.4576416,10.386139,11.538605,92,14
2004,16.0,7.0,11.0,10.0,11.0,18.038666,10.364624,7.8413086,10.134186,12.674957,97,15
2005,8.0,9.0,13.0,13.0,16.0,16.109497,12.3403015,7.9702454,8.9435425,10.530029,99,14
2006,8.0,15.0,12.0,11.0,15.0,15.897278,7.901245,9.0260315,10.303864,11.350708,88,13
2007,12.0,13.0,12.0,11.0,12.0,16.446442,11.563751,9.378265,11.300629,12.642639,94,14
2008,5.0,11.0,14.0,7.0,12.0,15.083618,11.639984,9.789642,7.2593994,12.531372,103,15
2009,12.0,8.0,13.0,11.0,16.0,15.01358,10.706268,8.66629,12.389526,12.608551,91,14
2010,12.0,10.0,9.0,11.0,15.0,15.295502,10.349213,8.622437,11.0616455,12.50766,96,14
2011,5.0,11.0,5.0,11.0,5.0,14.637329,10.574921,4.9495544,10.37912,9.848053,95,14
2012,12.0,6.0,7.0,13.0,14.0,17.29419,9.338501,7.293396,8.627014,12.156464,96,14
2013,11.0,10.0,5.0,11.0,13.0,13.864929,9.314209,7.403534,9.557526,13.423431,85,13
2014,11.0,5.0,6.0,14.0,12.0,14.779327,9.3932495,9.1996155,9.6719055,12.411133,90,14
2015,10.0,10.0,8.0,8.0,13.0,16.227386,8.86911,8.831818,8.562683,12.303314,90,14
2016,17.0,12.0,12.0,7.0,11.0,17.730408,12.000122,9.034393,8.918274,12.750946,97,14
2017,11.0,8.0,6.0,8.0,14.0,16.17038,12.166016,8.843811,8.855164,11.285217,105,15
2018,11.0,7.0,14.0,15.0,11.0,15.029266,8.315338,7.340454,8.026306,13.641998,88,13
2019,7.0,11.0,5.0,15.0,12.0,15.610382,11.538452,9.25,10.819092,12.553864,99,15
2020,8.0,13.0,13.0,13.0,16.0,16.322205,11.827911,10.740295,11.013489,13.226257,110,16
2021,8.0,3.0,9.0,11.0,13.0,16.213318,9.884979,9.028503,11.180939,14.588165,89,13
2022,7.0,3.0,5.0,7.0,16.0,15.108795,10.257019,8.533722,7.6333923,13.648102,91,13
2023,11.0,11.0,7.0,10.0,11.0,17.43982,9.1710205,8.810364,10.787689,14.470917,95,14
2024,5.0,10.0,11.0,14.0,10.0,15.679749,11.146637,9.860046,12.489441,12.758026,103,15
2025,12.0,5.0,8.0,8.0,18.0,17.105469,9.654388,8.02417,7.091919,12.634125,97,15
