seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,6.0,3.0,7.0,13.0,7.374237,0.6387329,-2.811798,-0.6481323,3.7963867,96,15
1982,11.0,2.0,4.0,9.0,15.0,4.7955933,1.3273621,-0.95199585,-0.70184326,4.2963867,91,13
1983,16.0,5.0,4.0,9.0,20.0,8.561035,2.243805,-0.47680664,-1.2259521,2.9811707,98,14
1984,10.0,4.0,9.0,8.0,10.0,5.564148,-0.309021,-3.2897644,-3.7529907,-0.4083252,107,16
1985,9.0,6.0,4.0,7.0,22.0,6.9448547,1.3839722,-2.5282898,-0.02999878,3.9442139,96,14
1986,9.0,3.0,2.0,6.0,15.0,6.142212,0.23950195,-2.803894,-2.557373,2.0857239,102,15
1987,4.0,6.0,6.0,7.0,10.0,6.4584045,2.7523804,-0.68341064,0.74676514,3.776123,95,14
1988,12.0,5.0,5.0,5.0,17.0,7.4942627,2.0836182,1.1191711,-1.0389099,3.2158508,102,15
1989,9.0,1.0,12.0,14.0,16.0,4.376068,1.1237488,1.6380615,1.8967285,3.5649414,91,13
1990,10.0,8.0,12.0,19.0,18.0,7.497406,1.78479,-1.3847656,2.6150513,4.47937,85,13
1991,10.0,6.0,6.0,5.0,19.0,9.197052,2.527832,-1.02948,-0.7991028,4.993042,95,14
1992,7.0,10.0,6.0,5.0,20.0,7.108734,2.902771,0.2706604,0.46343994,4.6989746,92,14
1993,9.0,7.0,16.0,6.0,15.0,7.419159,2.5831604,0.1663208,0.7267456,2.815796,92,13
1994,8.0,11.0,6.0,10.0,14.0,8.021149,1.6288757,-0.8687134,-1.2466125,2.0368347,94,14
1995,8.0,6.0,3.0,7.0,17.0,7.6506042,2.385559,-1.2702026,-0.35836792,3.0216064,97,14
1996,6.0,1.0,6.0,6.0,12.0,5.147064,-0.09750366,-0.73620605,-1.193634,3.0802002,99,15
1997,13.0,5.0,4.0,5.0,12.0,6.93869,2.145691,-1.269867,-0.03466797,4.2464905,89,13
1998,14.0,12.0,12.0,11.0,10.0,8.612244,2.656952,-2.423523,0.8456726,4.024414,89,14
1999,6.0,6.0,4.0,4.0,15.0,6.8485107,2.3979492,-0.8808594,-0.4225769,4.550934,87,12
2000,12.0,4.0,12.0,5.0,9.0,7.5977173,1.4932251,0.7758789,-1.5686035,2.4107666,98,14
2001,13.0,7.0,8.0,9.0,12.0,8.528442,1.6199951,-2.8598328,-0.854126,2.784851,92,14
2002,9.0,9.0,7.0,9.0,12.0,6.3826294,0.9585571,-0.29415894,0.6884155,5.5851135,81,12
2003,7.0,14.0,8.0,16.0,18.0,4.237793,0.92193604,-1.7383118,0.44900513,2.513977,91,14
2004,19.0,7.0,6.0,6.0,15.0,9.52948,1.971283,-1.1996765,1.3919067,3.840149,91,14
2005,11.0,7.0,8.0,8.0,12.0,9.6405945,3.5110168,-1.4246521,-0.6956787,2.7991638,97,14
2006,6.0,2.0,10.0,11.0,10.0,6.6546326,-1.5964966,-1.6332397,0.815979,3.054535,88,13
2007,12.0,10.0,10.0,10.0,12.0,7.634918,2.597992,0.39474487,1.9745178,4.0979614,89,13
2008,10.0,6.0,11.0,7.0,12.0,7.0580444,2.0699463,-0.739563,-1.6939087,4.4743958,88,13
2009,10.0,10.0,9.0,9.0,13.0,6.427643,2.8486633,-0.4421692,2.012207,3.7514343,90,14
2010,12.0,8.0,3.0,13.0,12.0,7.3077087,1.9515686,-0.29586792,1.1039734,3.7773438,87,12
2011,7.0,6.0,1.0,10.0,8.0,6.792755,2.4982605,-2.6094666,0.8609619,1.4986877,98,14
2012,12.0,5.0,6.0,14.0,14.0,9.006592,0.97558594,-2.2728271,-0.8628845,2.646515,98,14
2013,11.0,11.0,6.0,9.0,11.0,6.131378,0.0663147,-2.079193,-0.6786804,5.6372375,85,13
2014,9.0,6.0,3.0,13.0,15.0,6.248291,0.99005127,-0.43707275,-0.085357666,3.97583,94,14
2015,14.0,9.0,8.0,13.0,14.0,8.074188,0.08859253,-0.749115,0.12106323,4.409027,90,14
2016,15.0,9.0,5.0,14.0,17.0,9.084656,3.849121,-0.2619934,1.1985474,5.077759,94,13
2017,13.0,5.0,2.0,7.0,12.0,7.003601,3.2453918,-0.305542,0.4630127,2.7121277,99,14
2018,7.0,2.0,3.0,5.0,13.0,6.7407837,0.75497437,-1.3814087,-0.5887451,6.0438538,88,13
2019,15.0,9.0,2.0,8.0,11.0,8.922974,2.9415588,-0.34579468,2.3825684,4.739746,97,14
2020,13.0,9.0,10.0,6.0,16.0,8.303741,3.8150635,1.8113403,2.3527222,5.365753,93,14
2021,7.0,5.0,7.0,4.0,13.0,8.847412,2.3276367,-0.1458435,2.1795044,7.411743,88,13
2022,14.0,6.0,5.0,4.0,10.0,7.92984,2.032959,-0.9094238,-0.83200073,5.676605,87,13
2023,15.0,6.0,7.0,6.0,14.0,9.421783,1.6605225,0.17410278,1.4231873,7.809143,83,12
2024,6.0,7.0,5.0,16.0,14.0,8.6441345,4.112915,0.99316406,2.8469238,3.758789,96,14
2025,10.0,1.0,4.0,2.0,16.0,8.983795,1.5829163,0.3982849,-0.44366455,4.6893616,94,14
