seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,7.0,4.0,7.0,11.0,9.117676,3.0508423,-0.33868408,1.3370667,5.6031494,97,15
1982,9.0,2.0,5.0,8.0,11.0,6.388336,3.0842285,1.0500793,0.84198,6.2029724,93,13
1983,13.0,5.0,6.0,7.0,16.0,10.176971,4.25589,1.1390381,1.0066223,4.9244385,100,14
1984,9.0,2.0,7.0,6.0,10.0,7.6343994,1.6821289,-1.1071472,-1.6890869,1.6743469,111,16
1985,6.0,5.0,3.0,10.0,18.0,8.304413,3.1137085,-0.97094727,2.0913696,5.2026978,99,15
1986,8.0,3.0,2.0,6.0,11.0,8.648132,2.286621,-0.4413147,-0.5580139,4.038147,102,15
1987,5.0,8.0,4.0,6.0,12.0,7.8532104,3.908844,1.030304,2.5766907,5.9114075,94,14
1988,7.0,4.0,5.0,7.0,15.0,8.639435,3.7974243,2.8549805,0.42105103,5.1803894,104,15
1989,9.0,1.0,11.0,12.0,15.0,6.497711,3.151764,3.2745056,3.1735535,5.6943054,94,14
1990,9.0,6.0,10.0,15.0,14.0,9.658905,3.5174866,0.3380127,3.942047,6.601959,91,13
1991,11.0,5.0,6.0,5.0,16.0,11.242004,4.8919373,1.1576843,1.5725098,6.5244446,98,15
1992,4.0,6.0,7.0,3.0,17.0,8.787445,4.596924,2.2149048,2.2390747,6.2480774,92,14
1993,6.0,6.0,14.0,6.0,10.0,9.071777,4.3849487,1.5643616,2.5353088,4.8641663,94,13
1994,7.0,10.0,8.0,8.0,10.0,9.76123,3.3998718,0.80963135,1.0449524,3.6979675,96,14
1995,8.0,7.0,4.0,7.0,18.0,9.158783,3.8338928,0.59799194,1.3305359,5.017334,99,14
1996,4.0,1.0,7.0,6.0,12.0,7.2380676,2.2224426,0.8691101,0.85998535,4.889282,100,15
1997,13.0,4.0,3.0,5.0,11.0,8.748383,4.1757507,0.88482666,1.7601318,6.194916,94,14
1998,14.0,10.0,11.0,10.0,12.0,10.114624,4.254822,0.15090942,2.6080017,5.7235107,97,15
1999,5.0,7.0,5.0,7.0,15.0,8.789795,3.9581604,1.0697021,1.533844,6.3084717,95,14
2000,10.0,3.0,9.0,4.0,8.0,9.661041,3.643219,2.4560242,0.5102844,4.7008057,99,14
2001,10.0,5.0,7.0,9.0,12.0,9.393707,3.2850342,-0.87442017,0.8210449,4.650757,93,14
2002,7.0,7.0,7.0,8.0,11.0,8.43338,2.4083862,2.0930786,2.5419312,7.6619873,81,12
2003,7.0,12.0,8.0,11.0,11.0,6.2739563,2.3632202,0.3265381,1.6911926,4.636261,94,14
2004,18.0,5.0,3.0,6.0,9.0,11.180481,3.8001099,0.78652954,3.6037903,5.59433,91,14
2005,12.0,7.0,7.0,8.0,11.0,11.40033,4.652588,0.8918762,0.93292236,4.540985,98,14
2006,5.0,4.0,8.0,10.0,12.0,8.398865,0.8829346,-0.15441895,2.3186646,5.1660767,93,14
2007,10.0,10.0,9.0,9.0,8.0,9.889557,4.414398,2.245575,3.56604,5.8556213,91,13
2008,7.0,7.0,9.0,8.0,10.0,8.924683,4.3345947,0.9677124,0.5316467,6.4150696,89,13
2009,10.0,7.0,9.0,9.0,10.0,8.647949,4.920868,1.884491,3.247223,5.5813293,95,14
2010,13.0,8.0,3.0,9.0,12.0,9.270538,3.8650513,1.6229553,2.604126,5.5221252,96,14
2011,5.0,6.0,4.0,10.0,9.0,8.993103,4.5928345,-0.38516235,2.3529358,3.5707092,98,14
2012,9.0,5.0,6.0,11.0,13.0,10.578003,2.361847,-0.39276123,0.42364502,4.3929443,101,15
2013,10.0,11.0,6.0,10.0,10.0,7.9375916,1.9613342,-0.10412598,0.79623413,7.1129456,85,13
2014,7.0,6.0,3.0,9.0,12.0,8.424896,3.325592,1.0906372,1.0716553,6.0169983,91,14
2015,12.0,9.0,8.0,11.0,10.0,9.842072,2.326477,1.1494751,1.9157715,6.553009,89,14
2016,15.0,11.0,5.0,6.0,13.0,10.914337,5.162781,1.6348572,2.9307556,6.79834,92,13
2017,12.0,5.0,4.0,5.0,10.0,7.9117737,4.833954,1.5827332,2.2991638,4.688568,97,14
2018,10.0,3.0,4.0,4.0,10.0,8.488525,2.7478943,0.6467285,1.4430847,7.903351,85,13
2019,11.0,9.0,1.0,8.0,8.0,10.740021,4.3153687,1.3513794,3.3773193,6.7917786,94,14
2020,9.0,7.0,10.0,4.0,16.0,9.628387,5.007263,3.5441284,4.277832,7.165161,85,13
2021,4.0,5.0,6.0,4.0,12.0,10.377045,3.8753357,1.543457,4.091278,8.983582,88,13
2022,10.0,6.0,3.0,4.0,10.0,10.144867,3.9224243,0.6701355,1.1428833,7.2217407,89,13
2023,11.0,5.0,5.0,6.0,12.0,10.937683,3.5646057,1.8008423,3.0338135,9.610016,85,12
2024,7.0,7.0,7.0,12.0,9.0,10.744049,5.794464,3.0627441,4.0966187,5.8760986,99,15
2025,7.0,2.0,5.0,4.0,15.0,10.432892,3.7963867,2.4115906,1.7339172,6.6015625,97,15
