seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,14.0,7.0,9.0,15.0,12.321045,4.486786,2.460907,5.152405,9.1311035,90,14
1982,9.0,3.0,10.0,11.0,13.0,10.097687,6.276886,3.7714233,5.153778,9.786194,83,12
1983,10.0,8.0,9.0,8.0,18.0,13.110779,6.53891,4.6188354,4.3908997,9.249908,93,13
1984,7.0,8.0,9.0,10.0,10.0,10.222229,4.8210754,1.8271484,2.8559265,6.512146,96,14
1985,5.0,11.0,8.0,16.0,16.0,13.1223755,6.3368225,2.779602,6.140381,9.578766,94,14
1986,11.0,14.0,12.0,8.0,15.0,10.757782,4.904846,2.686615,2.9027405,8.502258,92,14
1987,6.0,12.0,9.0,10.0,18.0,10.99707,7.827545,4.9625854,6.2655945,9.261078,93,14
1988,7.0,6.0,9.0,11.0,16.0,12.638031,7.2079163,5.8568115,4.9339294,8.145905,98,14
1989,10.0,4.0,13.0,12.0,12.0,9.949249,6.603363,7.5431824,7.703491,8.938385,88,13
1990,10.0,11.0,13.0,18.0,7.0,11.541473,7.3435974,4.514679,9.123871,10.37085,88,13
1991,10.0,12.0,11.0,12.0,17.0,13.499542,7.0727234,4.896393,4.7414246,11.061676,93,14
1992,5.0,14.0,12.0,7.0,21.0,10.865112,8.481995,5.791443,5.378357,11.049011,90,14
1993,9.0,12.0,11.0,11.0,11.0,11.832916,7.8105164,5.829315,6.208832,8.230347,95,14
1994,13.0,12.0,12.0,9.0,10.0,13.883911,6.544342,5.1617737,5.3737793,7.1821594,94,14
1995,8.0,13.0,8.0,8.0,13.0,13.567413,8.135193,4.4453735,5.1715393,8.846039,98,14
1996,9.0,6.0,11.0,12.0,14.0,10.177399,5.036255,4.444275,4.325287,8.836609,91,13
1997,13.0,8.0,11.0,8.0,11.0,12.612549,7.30249,4.0157166,5.7723083,10.286957,86,13
1998,12.0,16.0,18.0,14.0,14.0,13.610687,8.035736,5.199707,8.269867,9.2838745,91,14
1999,6.0,1.0,7.0,13.0,13.0,12.451569,8.108215,5.1959534,5.343292,10.7655945,93,13
2000,12.0,9.0,20.0,8.0,14.0,11.582977,6.2417297,6.1859436,3.895874,8.858429,94,14
2001,11.0,9.0,20.0,15.0,13.0,13.404236,7.404541,4.7442017,6.748108,9.158844,93,14
2002,8.0,12.0,16.0,10.0,11.0,11.103424,6.625885,6.097931,6.5067444,10.524719,88,13
2003,11.0,15.0,14.0,12.0,16.0,9.239471,7.4704895,4.0077515,7.1372375,8.597168,90,14
2004,17.0,13.0,11.0,10.0,11.0,15.13623,6.756012,3.9523926,6.8787537,9.27887,93,14
2005,8.0,10.0,14.0,13.0,17.0,13.013214,8.801147,4.160187,5.1727905,7.627014,98,14
2006,7.0,18.0,13.0,13.0,13.0,12.612366,4.010437,5.406189,6.7457886,8.483826,90,13
2007,15.0,14.0,10.0,11.0,12.0,12.855438,7.8935547,5.7773743,8.190643,9.712738,92,14
2008,3.0,13.0,14.0,8.0,12.0,11.603241,7.9115906,5.9714966,3.9968262,9.484131,92,14
2009,12.0,9.0,16.0,13.0,13.0,11.720276,7.18692,5.2035522,8.925201,9.48056,83,13
2010,10.0,14.0,13.0,9.0,16.0,11.911774,6.72876,4.9960327,7.869629,9.589447,85,12
2011,5.0,15.0,10.0,10.0,5.0,10.998962,7.016693,1.6794739,7.3027954,6.807129,97,14
2012,12.0,5.0,9.0,12.0,11.0,14.25412,5.8731384,3.8275452,5.041382,9.209747,93,14
2013,12.0,15.0,4.0,10.0,11.0,10.594391,5.6063538,3.867859,6.189453,10.494507,81,12
2014,12.0,9.0,7.0,12.0,14.0,11.380554,5.76947,5.478241,6.155304,9.644562,86,13
2015,10.0,16.0,12.0,11.0,11.0,13.014282,5.29187,5.432312,5.493744,9.462555,90,14
2016,15.0,14.0,14.0,9.0,8.0,14.785919,8.360901,5.433319,5.7905884,9.832001,93,13
2017,10.0,13.0,8.0,10.0,14.0,12.853302,8.469238,5.372589,5.4096375,8.0824585,98,14
2018,10.0,6.0,14.0,15.0,11.0,11.692749,4.932831,3.6759644,4.470825,10.791351,85,13
2019,7.0,12.0,5.0,12.0,13.0,12.374603,7.8376465,5.6425476,7.4714966,9.633789,94,14
2020,7.0,9.0,13.0,14.0,15.0,12.753632,8.3172,7.4325867,7.8565063,10.529755,93,14
2021,9.0,4.0,9.0,9.0,13.0,13.036926,6.089203,5.346527,7.7054443,12.122528,86,12
2022,8.0,3.0,6.0,6.0,14.0,11.795593,6.6825256,4.851959,4.092102,10.847412,87,13
2023,11.0,9.0,9.0,10.0,12.0,14.368408,5.6650085,5.29245,7.1433105,11.732849,88,13
2024,8.0,15.0,13.0,15.0,16.0,12.595306,7.949066,6.2903748,9.062988,10.038025,93,14
2025,11.0,8.0,10.0,8.0,16.0,13.991394,6.229492,4.4236145,3.7998352,9.899109,87,13
