seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,7.0,18.0,19.0,14.0,15.0,9.902679,2.4938965,0.1895752,1.580658,5.995819,98,15
1982,10.0,9.0,14.0,9.0,14.0,7.4505005,4.1572876,1.2437439,1.7591553,6.2243958,90,13
1983,12.0,9.0,12.0,11.0,18.0,11.005249,4.557007,2.1245422,1.2662659,5.6102905,99,14
1984,8.0,18.0,20.0,17.0,11.0,8.376312,2.8524475,-0.051452637,-0.6430359,2.2781067,105,15
1985,7.0,14.0,12.0,13.0,15.0,9.705322,3.7800598,0.19580078,2.6400146,5.7854004,98,15
1986,13.0,13.0,11.0,11.0,15.0,8.730469,2.7328186,-0.3034973,0.16421509,4.8788757,98,15
1987,7.0,12.0,13.0,12.0,13.0,8.612213,5.0549316,2.2201843,2.7667542,5.715332,96,15
1988,6.0,6.0,9.0,16.0,14.0,9.924408,4.816559,3.176178,1.369873,5.052307,102,15
1989,8.0,11.0,12.0,15.0,11.0,7.30249,3.5906067,4.3672485,4.374359,5.8370667,92,13
1990,12.0,10.0,20.0,9.0,13.0,9.79126,4.361267,1.6974182,4.9703064,6.6300354,88,13
1991,11.0,13.0,18.0,18.0,16.0,11.492615,5.208954,1.9980164,1.9020386,6.5404663,96,14
1992,7.0,13.0,14.0,14.0,19.0,9.444092,6.1194763,3.4044495,3.2783813,7.112671,94,14
1993,10.0,16.0,18.0,14.0,12.0,9.676056,5.19458,3.2481384,3.730896,5.0025635,96,14
1994,13.0,15.0,11.0,17.0,12.0,10.501587,4.2690735,2.1494446,1.9987793,3.9150085,96,14
1995,9.0,13.0,20.0,13.0,17.0,10.783936,5.0262146,1.7796936,2.1688538,5.9580383,96,14
1996,9.0,16.0,16.0,14.0,17.0,7.6523743,2.8602905,2.177185,1.4778137,5.4490356,100,15
1997,10.0,11.0,16.0,12.0,11.0,9.475098,4.762787,1.6357422,2.3261108,6.3519287,94,14
1998,11.0,12.0,17.0,13.0,11.0,10.851013,5.216095,2.1438599,4.5166016,6.671509,91,14
1999,12.0,9.0,18.0,15.0,13.0,9.80481,5.675293,2.4845886,2.3101807,6.9831543,92,13
2000,11.0,16.0,17.0,19.0,14.0,10.309509,4.3671875,3.0290527,0.994751,5.1600647,101,15
2001,12.0,10.0,21.0,16.0,18.0,10.804291,4.600647,0.7888489,2.6393433,5.4973145,93,14
2002,12.0,19.0,20.0,15.0,12.0,9.320465,4.12735,3.0818176,3.6949768,7.5248413,87,13
2003,13.0,16.0,15.0,14.0,14.0,7.1936646,4.3876953,1.8117981,3.2673035,5.009369,94,14
2004,15.0,13.0,12.0,11.0,14.0,12.200897,4.6990967,1.736023,4.071808,6.2563477,94,14
2005,9.0,13.0,17.0,15.0,18.0,11.373291,6.3265076,1.9981995,2.2563477,5.304077,98,14
2006,9.0,19.0,15.0,17.0,17.0,9.736481,1.576355,1.8244629,3.3987427,5.300537,96,14
2007,12.0,13.0,9.0,9.0,10.0,10.680267,5.1875305,3.6232605,4.6228333,6.2844543,93,14
2008,8.0,14.0,14.0,19.0,15.0,9.842224,5.3753357,2.2600403,1.6379089,6.9733887,92,14
2009,12.0,10.0,16.0,13.0,13.0,9.684906,5.648163,2.9058838,4.5637817,6.313507,95,14
2010,10.0,13.0,18.0,13.0,20.0,10.182648,4.6492004,2.5749207,4.426697,6.2452087,91,13
2011,7.0,14.0,16.0,10.0,12.0,9.336609,4.9351196,0.33483887,3.792572,4.4556274,97,14
2012,8.0,14.0,18.0,13.0,17.0,11.801544,4.090515,1.5817871,1.3333435,5.4988403,100,15
2013,14.0,16.0,10.0,14.0,7.0,8.86441,2.8246765,1.5267944,2.1394958,6.9845276,89,13
2014,10.0,11.0,12.0,11.0,16.0,9.090088,3.918579,2.3214111,2.6830444,6.790436,92,14
2015,10.0,15.0,19.0,13.0,11.0,10.604858,2.8008423,2.5049133,2.9528503,6.8606567,91,14
2016,12.0,13.0,9.0,11.0,11.0,11.86792,6.1393127,2.720398,3.614624,6.997223,93,13
2017,11.0,14.0,12.0,15.0,12.0,10.063812,5.775879,2.4701233,2.774475,5.370392,97,14
2018,14.0,10.0,13.0,5.0,11.0,9.098206,3.2581787,1.4284668,1.4758606,7.4425964,87,13
2019,9.0,14.0,13.0,11.0,13.0,11.145111,5.612091,2.6398926,4.291443,6.984894,96,14
2020,6.0,11.0,12.0,10.0,15.0,10.324982,6.190918,4.8496704,4.748291,7.680664,90,14
2021,9.0,14.0,11.0,10.0,13.0,11.111969,4.763092,2.2325134,4.38443,8.468292,85,12
2022,6.0,12.0,9.0,9.0,12.0,10.40033,4.895447,1.6931763,1.7217712,7.562042,89,13
2023,10.0,7.0,15.0,10.0,11.0,11.907684,3.8684082,2.751709,3.7060852,9.213501,83,12
2024,9.0,7.0,15.0,13.0,15.0,10.839691,5.74411,3.4938965,4.7728577,6.129608,96,14
2025,9.0,9.0,11.0,15.0,15.0,11.222961,4.260803,2.4534912,1.4902039,6.9272766,95,14
