seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,7.0,9.0,4.0,8.0,9.0,7.623535,0.99328613,-2.2155457,-0.874115,3.367981,98,15
1982,8.0,2.0,7.0,7.0,10.0,4.3724976,1.2743835,-1.1601562,-1.5358887,3.9056702,93,13
1983,12.0,5.0,6.0,10.0,15.0,8.238831,2.4223022,-1.208374,-1.5665588,2.826233,100,14
1984,10.0,5.0,8.0,7.0,8.0,5.8780518,-0.30374146,-3.5141296,-4.556061,-1.491394,112,16
1985,7.0,4.0,3.0,9.0,16.0,6.344269,0.8470154,-3.8268127,-0.4472046,2.6760864,101,15
1986,10.0,4.0,2.0,6.0,12.0,6.7223816,0.14703369,-2.8599548,-3.3833618,1.6304932,104,16
1987,3.0,8.0,5.0,5.0,13.0,5.8537903,1.9975586,-1.3182068,0.023742676,3.4736328,94,14
1988,9.0,4.0,4.0,7.0,12.0,6.6672363,2.082489,0.69558716,-2.0966797,2.6072998,104,15
1989,8.0,5.0,8.0,13.0,16.0,4.74411,1.4609985,1.3989258,0.97180176,3.5366821,92,13
1990,10.0,5.0,12.0,16.0,12.0,8.159241,1.7326355,-1.8556824,1.8727722,4.3452454,89,13
1991,11.0,4.0,7.0,10.0,16.0,9.41217,3.1635437,-1.1072693,-1.1020203,4.2269287,98,15
1992,8.0,7.0,7.0,5.0,13.0,6.913971,2.889679,0.1359253,-0.10934448,3.9805298,93,14
1993,7.0,8.0,13.0,6.0,10.0,7.1871643,2.4873657,-0.43026733,-0.07354736,2.6652222,94,13
1994,6.0,10.0,8.0,8.0,10.0,8.030609,1.6173096,-1.4255066,-1.1725464,1.1648254,97,14
1995,9.0,9.0,7.0,7.0,16.0,7.3637695,1.7866211,-1.659668,-1.032959,2.7434387,101,15
1996,4.0,4.0,6.0,5.0,11.0,5.4373474,0.36099243,-1.5930786,-1.7516785,2.3301086,101,15
1997,12.0,7.0,3.0,7.0,10.0,6.778412,2.2808228,-1.6034851,-0.75720215,3.8810425,93,14
1998,14.0,8.0,12.0,12.0,11.0,8.068207,2.55719,-1.7249451,-0.07330322,3.0085144,91,14
1999,5.0,5.0,3.0,6.0,14.0,6.926941,2.3435364,-0.9822693,-0.90567017,4.133362,94,13
2000,12.0,3.0,9.0,4.0,12.0,7.9596252,1.5189819,0.45526123,-1.8403015,2.169464,101,15
2001,8.0,6.0,6.0,9.0,14.0,7.4341125,1.4012451,-3.0664062,-1.7775574,2.2027893,94,14
2002,7.0,5.0,12.0,7.0,11.0,6.702667,0.21810913,-0.1927185,0.08380127,5.0809937,87,13
2003,12.0,10.0,8.0,11.0,9.0,4.432434,0.32269287,-2.0473328,-0.62649536,2.3864136,98,15
2004,17.0,4.0,6.0,6.0,11.0,9.382233,2.039154,-1.433197,1.1317444,3.3035278,91,14
2005,13.0,7.0,7.0,9.0,8.0,9.640198,2.8851318,-1.4339294,-1.5367737,1.4751892,98,14
2006,5.0,5.0,7.0,9.0,11.0,6.5972595,-1.4172974,-2.3381653,0.05758667,3.0188904,94,14
2007,13.0,8.0,6.0,11.0,11.0,8.314453,2.7413635,0.42645264,1.5732422,3.4353333,97,14
2008,8.0,13.0,7.0,9.0,14.0,7.111725,2.503479,-1.1055603,-1.9634705,4.4655457,91,14
2009,10.0,9.0,10.0,8.0,13.0,6.77948,3.1226501,-0.19006348,0.7618103,3.3766174,98,15
2010,12.0,10.0,5.0,8.0,15.0,7.7417603,2.046997,-0.7536926,0.4841919,3.2598572,96,14
2011,5.0,9.0,4.0,11.0,10.0,7.380554,2.7193909,-2.7869263,0.06790161,1.2828674,101,15
2012,9.0,5.0,5.0,11.0,13.0,8.733398,0.4675598,-2.7444153,-2.234375,2.218689,103,15
2013,11.0,13.0,6.0,8.0,12.0,6.033844,0.06173706,-2.2808838,-1.7638855,4.6436462,91,14
2014,7.0,7.0,3.0,9.0,12.0,6.5988464,1.3111572,-1.3339233,-1.4362793,3.70755,93,14
2015,10.0,16.0,9.0,10.0,9.0,8.088409,0.07421875,-1.0239563,-0.42974854,4.4813843,91,14
2016,14.0,9.0,7.0,6.0,13.0,9.274261,3.400055,-0.28164673,0.24468994,4.6453247,92,13
2017,13.0,6.0,9.0,7.0,10.0,6.112335,2.7972717,-0.79122925,-0.12109375,2.6177368,97,14
2018,8.0,3.0,5.0,5.0,10.0,6.612335,0.8324585,-1.6015625,-1.1677856,5.808899,87,13
2019,10.0,5.0,2.0,5.0,11.0,9.00943,2.2610474,-0.8725586,1.1268616,4.484253,97,14
2020,9.0,6.0,9.0,7.0,16.0,7.583618,3.1790771,1.5701599,2.160614,5.14032,86,13
2021,5.0,4.0,9.0,4.0,9.0,8.393951,1.9380188,-1.0384827,1.5851135,6.7141724,87,12
2022,8.0,9.0,4.0,6.0,11.0,8.271912,1.9426575,-1.6023865,-1.3406677,4.8096924,91,13
2023,10.0,8.0,4.0,7.0,15.0,9.189484,1.6838989,-0.27389526,0.8911743,7.659149,83,12
2024,8.0,9.0,9.0,12.0,11.0,8.985687,3.8082886,1.1227112,1.7068176,3.3955688,99,15
2025,9.0,2.0,6.0,5.0,15.0,8.666595,1.8338928,-0.030517578,-0.57318115,4.385315,97,15
