seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,8.0,22.0,21.0,12.0,7.0,12.477142,5.595978,2.938324,3.7869873,8.028687,102,15
1982,17.0,14.0,17.0,10.0,11.0,10.95874,7.5452576,4.63797,4.9529724,8.466064,97,14
1983,11.0,14.0,16.0,15.0,17.0,13.609955,7.928467,5.540619,4.082611,7.789215,101,15
1984,12.0,22.0,22.0,18.0,15.0,11.375732,6.5089417,3.003296,2.1641235,4.887726,108,16
1985,11.0,19.0,20.0,16.0,13.0,12.901428,6.9932556,3.2309875,4.980957,7.178833,101,15
1986,17.0,18.0,21.0,16.0,14.0,11.69989,5.9124146,2.82193,2.593048,6.827667,103,15
1987,7.0,15.0,14.0,12.0,13.0,11.767426,8.666931,5.3825684,5.7061157,7.3904114,97,15
1988,12.0,11.0,12.0,17.0,16.0,12.900543,8.316284,6.0267334,4.01355,6.6911926,106,15
1989,14.0,14.0,16.0,15.0,13.0,10.9410095,7.2596436,6.900238,6.4338684,7.804291,93,14
1990,12.0,16.0,23.0,11.0,15.0,12.723999,8.166229,4.571167,7.2566223,8.909424,89,13
1991,10.0,15.0,19.0,19.0,17.0,14.348511,8.321228,4.960968,4.248657,7.654236,102,15
1992,7.0,19.0,17.0,14.0,17.0,12.439606,9.4019165,6.414154,5.929901,8.4878845,96,14
1993,10.0,17.0,18.0,16.0,14.0,12.482056,8.291534,6.2588806,6.1892395,7.2643433,105,15
1994,13.0,16.0,16.0,15.0,13.0,13.0625,7.2099,5.313202,4.7354126,6.2349243,100,14
1995,10.0,16.0,25.0,15.0,16.0,13.363159,8.160095,4.917145,4.8595886,7.644989,99,14
1996,9.0,21.0,15.0,15.0,15.0,11.2221985,6.378174,5.155426,3.941162,6.9222107,105,15
1997,13.0,13.0,18.0,15.0,10.0,12.004242,8.060364,4.5946045,4.850769,8.29068,94,14
1998,13.0,14.0,21.0,15.0,8.0,13.4062195,7.9975586,4.870331,6.570282,8.617523,94,14
1999,13.0,12.0,16.0,17.0,15.0,12.767487,8.886871,5.533539,5.116913,8.63681,96,14
2000,12.0,17.0,20.0,18.0,11.0,13.027008,7.8167725,5.521698,3.842926,7.6441345,99,14
2001,13.0,14.0,26.0,14.0,17.0,12.861969,8.098633,4.0631714,5.458069,7.7428284,96,14
2002,13.0,18.0,19.0,11.0,10.0,12.368225,7.3036194,5.5467224,6.248108,9.547485,89,13
2003,16.0,21.0,19.0,14.0,12.0,10.361694,7.6109314,4.473358,5.717682,6.8706055,96,14
2004,18.0,16.0,15.0,12.0,11.0,14.230255,8.177002,4.890808,6.628174,8.469635,91,14
2005,9.0,16.0,19.0,12.0,18.0,14.255859,9.200684,5.0825195,4.440796,7.4295044,98,14
2006,12.0,22.0,14.0,17.0,14.0,13.303741,4.8938293,4.8117065,5.1694336,7.229126,96,14
2007,13.0,14.0,10.0,10.0,11.0,13.309662,8.4062805,6.5386047,7.354248,8.485901,93,14
2008,10.0,16.0,19.0,15.0,14.0,12.770996,8.704407,5.5558167,4.486847,8.415924,97,14
2009,11.0,16.0,20.0,10.0,13.0,12.79361,8.566315,5.6683044,7.127594,8.461945,96,15
2010,10.0,20.0,13.0,15.0,18.0,12.698608,7.7957764,5.266449,6.296814,7.539673,93,13
2011,5.0,24.0,19.0,9.0,12.0,12.436249,7.583832,3.2448425,6.004608,6.447632,102,15
2012,8.0,16.0,17.0,16.0,17.0,14.490784,7.4440613,4.918518,3.7988281,7.49411,101,15
2013,13.0,23.0,11.0,13.0,7.0,11.753082,5.681244,4.302063,4.7034607,8.717468,90,13
2014,14.0,16.0,16.0,16.0,15.0,12.165405,7.1224365,5.5009155,5.129944,8.177521,92,14
2015,9.0,18.0,17.0,12.0,9.0,13.34967,5.780884,5.533478,5.3952026,8.323486,92,14
2016,13.0,17.0,14.0,15.0,10.0,14.169556,9.018219,5.4698486,5.8016663,8.761871,90,13
2017,14.0,16.0,17.0,16.0,11.0,12.763428,9.181488,5.728302,5.8130493,7.982727,97,14
2018,11.0,16.0,17.0,12.0,10.0,12.082275,6.5267944,4.3962708,4.283905,8.954254,88,13
2019,5.0,17.0,9.0,10.0,13.0,13.570526,8.660248,6.583374,6.993347,9.301636,91,14
2020,6.0,15.0,15.0,11.0,12.0,13.281158,9.405273,7.9017944,7.3771667,9.649628,90,14
2021,9.0,13.0,16.0,9.0,13.0,13.828827,8.139557,5.319702,7.418152,10.1944275,86,12
2022,8.0,12.0,10.0,8.0,10.0,13.554169,8.487213,5.5807495,4.747986,9.439117,90,13
2023,7.0,10.0,16.0,10.0,10.0,14.720337,7.013153,6.082794,6.5141907,11.000946,86,13
2024,13.0,16.0,16.0,14.0,15.0,13.881165,8.944794,6.719879,6.907654,8.417908,94,14
2025,12.0,10.0,12.0,13.0,10.0,13.6840515,7.957306,5.8117065,4.272644,8.488037,92,14
