seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,4.0,7.0,6.0,5.0,12.0,13.833954,6.4167175,4.0024414,5.560974,9.735626,91,14
1982,7.0,4.0,8.0,9.0,11.0,12.086334,8.687927,5.434265,5.806122,9.680939,86,12
1983,10.0,5.0,5.0,5.0,15.0,14.5589905,8.535278,6.23703,5.124756,9.031433,96,14
1984,4.0,7.0,7.0,7.0,8.0,12.662476,7.1186523,3.6898499,3.4639587,6.270355,102,15
1985,5.0,6.0,5.0,10.0,13.0,14.453552,7.986908,4.4360046,6.646332,9.683228,96,14
1986,10.0,8.0,3.0,5.0,10.0,12.613373,6.751831,4.205139,3.9847412,8.847412,96,14
1987,3.0,9.0,11.0,7.0,15.0,13.2153015,9.875916,6.5681763,7.207367,9.58844,96,15
1988,6.0,6.0,5.0,6.0,13.0,14.220001,9.302734,7.3511963,5.7599487,8.94989,103,15
1989,7.0,4.0,10.0,11.0,11.0,11.972656,8.401459,8.844879,8.516113,9.491364,91,13
1990,7.0,6.0,13.0,14.0,11.0,13.655945,9.069336,5.71994,9.128815,10.786377,87,13
1991,10.0,6.0,8.0,10.0,16.0,15.257721,9.059662,6.2589417,6.1225586,10.962158,95,14
1992,6.0,11.0,9.0,7.0,18.0,13.397034,10.771851,7.730957,7.137726,10.726593,93,14
1993,8.0,8.0,11.0,6.0,13.0,13.747498,9.646576,7.6816406,7.4544983,8.832031,97,14
1994,12.0,7.0,9.0,8.0,7.0,14.374542,8.513916,6.7750244,6.635071,8.591248,95,14
1995,5.0,8.0,7.0,7.0,9.0,14.895233,9.546631,6.056488,6.6028748,9.796234,98,14
1996,6.0,6.0,5.0,8.0,12.0,12.117126,7.280304,6.453003,5.991913,9.522583,99,15
1997,11.0,8.0,7.0,5.0,9.0,13.58139,8.828644,5.616211,6.9852905,11.0659485,91,14
1998,12.0,8.0,14.0,9.0,11.0,14.955536,9.868683,6.477997,8.906799,10.583771,95,14
1999,5.0,4.0,4.0,9.0,12.0,14.098724,10.190704,6.7262573,6.763275,10.811035,92,13
2000,9.0,7.0,12.0,6.0,10.0,13.804138,8.478394,7.462158,5.3928833,9.641296,95,14
2001,10.0,8.0,14.0,11.0,13.0,14.6987915,9.352997,5.948242,7.795685,10.006775,89,13
2002,7.0,10.0,8.0,7.0,9.0,13.149597,8.1354065,6.971985,7.761963,11.428009,85,13
2003,9.0,10.0,10.0,12.0,11.0,11.297119,8.809265,6.0410767,7.9121094,9.074585,92,14
2004,15.0,10.0,5.0,6.0,9.0,15.800354,8.792908,5.688843,8.052277,10.197571,93,14
2005,6.0,10.0,9.0,8.0,12.0,15.137848,10.450226,6.0242615,5.649414,8.4201355,97,14
2006,6.0,9.0,9.0,13.0,12.0,14.292145,5.682129,7.1325073,7.7025146,9.438446,93,14
2007,13.0,11.0,5.0,8.0,8.0,14.366791,9.403595,7.414734,9.137268,10.303894,91,13
2008,2.0,8.0,8.0,7.0,14.0,13.952637,9.47467,6.7761536,5.7997437,10.115326,95,14
2009,9.0,6.0,9.0,10.0,11.0,13.405762,9.558899,6.8753967,8.965698,9.907776,91,14
2010,12.0,6.0,6.0,10.0,14.0,13.815399,8.6041565,6.154358,8.152313,9.458801,92,13
2011,5.0,11.0,3.0,10.0,5.0,13.356873,8.465851,3.6227417,7.706421,7.896179,96,14
2012,8.0,5.0,6.0,12.0,9.0,15.628754,8.01886,5.4745483,5.0328674,9.24469,95,14
2013,11.0,13.0,3.0,10.0,7.0,12.721863,6.916168,5.34906,6.4438477,10.416016,86,13
2014,11.0,6.0,5.0,9.0,11.0,13.180511,7.8421326,6.699463,6.641815,9.726349,88,13
2015,9.0,10.0,11.0,7.0,10.0,14.529541,6.6045227,6.445587,6.4098206,9.416382,91,14
2016,13.0,6.0,4.0,8.0,6.0,15.511139,10.092377,6.6716003,7.024536,10.049164,94,13
2017,10.0,10.0,5.0,7.0,9.0,14.257629,10.181091,6.7838745,6.7687073,8.754669,98,14
2018,9.0,5.0,10.0,6.0,10.0,13.293793,6.9949646,5.3632507,5.2042847,10.033783,86,13
2019,6.0,12.0,5.0,6.0,11.0,14.38382,9.751495,7.265747,7.9535217,9.99884,95,14
2020,4.0,9.0,7.0,9.0,11.0,14.733673,10.442657,8.822632,8.354797,10.593597,100,15
2021,6.0,3.0,6.0,4.0,9.0,14.872589,8.413971,6.2261047,8.0979,11.28653,86,12
2022,6.0,3.0,5.0,4.0,12.0,14.247345,9.048309,6.3488464,5.335907,10.52771,87,13
2023,7.0,5.0,8.0,10.0,10.0,16.055908,8.020599,6.953949,7.3897095,11.625946,87,13
2024,7.0,7.0,9.0,12.0,11.0,14.909882,9.909485,7.680359,8.438843,9.612061,96,14
2025,10.0,2.0,5.0,5.0,11.0,15.23172,8.633057,6.399109,4.828186,9.607697,89,13
