seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,13.0,7.0,7.0,10.0,10.0,23.997986,19.86969,18.407715,19.108734,21.176117,39,6
1982,13.0,10.0,6.0,17.0,14.0,22.885315,19.878387,18.214844,19.682861,21.668884,44,6
1983,17.0,13.0,14.0,21.0,22.0,24.249817,20.974915,19.924103,18.85376,20.532959,46,7
1984,5.0,6.0,17.0,11.0,15.0,23.060272,19.499054,18.373749,18.038727,20.186554,31,5
1985,18.0,9.0,15.0,18.0,15.0,24.16214,20.500488,19.043335,19.98352,20.976288,37,6
1986,11.0,12.0,8.0,15.0,15.0,23.073212,20.185638,17.952026,17.43332,19.254639,32,5
1987,19.0,7.0,7.0,10.0,16.0,23.461914,20.593018,19.02295,19.18753,21.349731,32,5
1988,22.0,10.0,20.0,15.0,23.0,24.815796,21.379944,21.113037,20.588104,21.578888,39,6
1989,9.0,3.0,10.0,8.0,8.0,22.286285,20.322662,20.240997,19.70163,19.966217,48,7
1990,12.0,11.0,20.0,17.0,12.0,22.8042,20.189667,19.238098,20.783234,20.764648,40,6
1991,11.0,11.0,11.0,9.0,16.0,23.95874,20.950867,19.47107,18.86441,21.446411,61,9
1992,8.0,7.0,15.0,17.0,20.0,22.752869,21.331543,19.472076,19.09085,21.924774,39,6
1993,10.0,13.0,17.0,8.0,15.0,22.989563,21.718384,19.653564,19.515198,20.01236,49,7
1994,15.0,11.0,9.0,16.0,13.0,24.460632,20.583984,19.87677,19.75772,19.89856,45,7
1995,3.0,17.0,13.0,17.0,17.0,23.799896,22.560669,19.210571,18.403687,19.964844,49,7
1996,9.0,9.0,15.0,14.0,17.0,22.986237,20.44458,19.989594,18.610992,20.756134,25,4
1997,13.0,7.0,17.0,10.0,13.0,24.472412,21.017517,19.360321,19.45166,21.164276,27,5
1998,11.0,14.0,24.0,22.0,13.0,24.197174,22.124115,20.737549,20.346222,21.784637,32,5
1999,20.0,16.0,10.0,6.0,17.0,25.027039,22.476501,20.389862,19.320312,22.412903,50,7
2000,10.0,12.0,16.0,18.0,19.0,23.806793,20.82724,20.30954,19.669525,20.991882,23,3
2001,19.0,10.0,16.0,8.0,15.0,24.69455,22.448578,20.325867,20.21054,20.49759,40,6
2002,8.0,12.0,10.0,7.0,16.0,23.443542,21.315613,19.078522,19.536743,21.70404,35,6
2003,14.0,19.0,9.0,8.0,13.0,23.22174,21.892548,18.589386,19.95932,20.205109,34,6
2004,18.0,8.0,16.0,10.0,14.0,24.636017,21.020752,19.178467,19.653778,20.91449,61,10
2005,8.0,16.0,22.0,20.0,14.0,23.809998,21.63858,19.055725,19.76358,19.188568,47,7
2006,13.0,12.0,21.0,17.0,16.0,24.10318,19.156158,20.279968,20.256165,20.42514,31,5
2007,17.0,11.0,13.0,12.0,18.0,24.449005,21.883057,20.160614,20.944214,21.688812,50,8
2008,15.0,11.0,18.0,18.0,12.0,23.643036,21.641663,20.367188,18.526917,20.815796,52,8
2009,14.0,7.0,12.0,11.0,20.0,24.264282,21.30484,19.180847,21.401855,21.29486,38,6
2010,15.0,11.0,17.0,20.0,13.0,23.954346,20.447815,19.680359,20.813202,21.762695,31,4
2011,13.0,8.0,18.0,11.0,6.0,23.348572,20.5484,17.84082,19.814331,19.020966,28,4
2012,19.0,18.0,19.0,16.0,14.0,24.898071,20.824585,19.601135,19.568756,21.454224,30,5
2013,14.0,15.0,15.0,14.0,13.0,23.1875,20.5495,19.336914,20.795258,21.658447,32,5
2014,14.0,15.0,8.0,12.0,12.0,22.903168,20.093811,19.341736,19.507782,19.937592,34,6
2015,9.0,12.0,8.0,14.0,15.0,24.265167,20.191956,19.050842,19.182983,20.854645,35,6
2016,12.0,17.0,23.0,12.0,9.0,25.32196,22.565826,20.526154,19.201569,20.344604,56,8
2017,12.0,10.0,10.0,8.0,9.0,25.041504,22.813995,21.143585,19.878418,20.42221,58,9
2018,18.0,9.0,19.0,12.0,8.0,24.68814,20.832916,19.802551,19.056976,21.401276,39,6
2019,10.0,16.0,17.0,22.0,14.0,24.474854,22.918732,21.081482,22.345917,22.183716,40,6
2020,8.0,14.0,8.0,4.0,16.0,24.143402,22.08377,20.733612,20.802765,21.85617,40,6
2021,11.0,25.0,11.0,4.0,15.0,24.716553,21.518616,19.100647,20.773224,22.07129,41,6
2022,14.0,5.0,20.0,17.0,12.0,23.937073,21.595734,20.61261,20.001709,22.03247,39,6
2023,19.0,21.0,9.0,7.0,15.0,25.432434,21.466095,19.937195,20.712433,21.780853,34,5
2024,7.0,17.0,7.0,6.0,12.0,24.493835,22.313843,20.503815,21.428894,21.337372,33,5
2025,16.0,8.0,10.0,10.0,11.0,25.325714,21.675842,19.621307,18.96283,21.102661,35,6
