seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,1.0,2.0,6.0,17.0,12.256866,3.301178,1.5553589,5.22995,9.005798,89,14
1982,10.0,2.0,4.0,11.0,14.0,9.606934,5.050293,3.1824036,5.1176147,10.091675,83,12
1983,12.0,6.0,7.0,4.0,17.0,12.785431,5.5899353,4.0066833,4.6789246,9.480469,95,14
1984,6.0,3.0,5.0,8.0,10.0,9.462433,3.438385,0.9328308,2.4179077,6.412201,97,14
1985,11.0,6.0,4.0,11.0,16.0,13.432312,5.7117615,2.011383,6.1297607,9.825714,90,13
1986,5.0,5.0,3.0,4.0,13.0,9.943726,4.196289,1.4996948,2.3625793,8.6241455,92,14
1987,7.0,4.0,8.0,6.0,16.0,10.893921,7.1514893,4.2426453,6.0931396,9.52359,92,14
1988,9.0,4.0,4.0,10.0,14.0,12.426605,5.9664,5.4177246,4.5411377,8.164764,97,14
1989,5.0,2.0,11.0,10.0,12.0,9.293762,5.7280884,7.473755,7.9176025,8.750763,93,14
1990,7.0,5.0,8.0,18.0,9.0,10.974457,6.001129,3.9299927,9.359772,10.194061,88,13
1991,9.0,5.0,6.0,7.0,14.0,13.141418,5.795929,3.8986816,4.3334656,11.775177,87,13
1992,4.0,9.0,8.0,6.0,22.0,10.772614,8.270416,5.219269,4.712433,11.42868,94,14
1993,10.0,7.0,9.0,4.0,12.0,11.669067,7.374359,5.536072,5.9505005,8.34317,103,15
1994,11.0,6.0,7.0,6.0,8.0,13.609131,5.8451233,4.4029236,5.279022,7.358307,95,14
1995,8.0,9.0,3.0,7.0,10.0,13.559906,7.5404663,3.476532,4.810608,8.646027,100,15
1996,4.0,0.0,7.0,8.0,14.0,9.506409,3.814392,3.9320068,4.227173,9.068481,94,14
1997,11.0,5.0,7.0,9.0,12.0,12.275574,5.9270935,3.260498,5.2502136,10.573883,90,14
1998,12.0,10.0,13.0,12.0,15.0,13.575653,7.6679688,4.826599,8.519226,9.290588,91,14
1999,5.0,3.0,5.0,5.0,18.0,12.193848,7.369568,4.2901917,4.734894,11.370026,95,14
2000,7.0,2.0,14.0,4.0,11.0,11.348022,5.058258,6.0897827,3.7142334,8.934692,96,14
2001,12.0,10.0,12.0,10.0,8.0,13.866974,6.8253174,4.31662,7.018921,9.11618,92,14
2002,8.0,7.0,8.0,8.0,11.0,10.220978,6.027191,5.428833,6.2338867,10.560822,88,13
2003,9.0,10.0,6.0,9.0,17.0,8.72876,7.0069275,3.250763,6.924103,8.819366,89,13
2004,17.0,4.0,4.0,6.0,11.0,15.169159,5.942108,3.2430725,6.244293,9.598694,93,14
2005,7.0,8.0,9.0,10.0,12.0,12.802887,8.647125,3.4517822,5.38266,7.370819,95,14
2006,9.0,5.0,10.0,12.0,13.0,11.88916,3.043518,4.9396057,7.239197,8.301605,89,13
2007,10.0,12.0,9.0,10.0,10.0,12.725037,7.728119,5.3023376,7.995758,9.719879,93,14
2008,4.0,7.0,12.0,6.0,9.0,11.279266,7.231659,5.5272217,3.275116,9.580292,97,14
2009,10.0,6.0,7.0,12.0,17.0,11.387695,6.7437744,4.4704285,9.393951,9.7030945,82,13
2010,13.0,4.0,5.0,13.0,15.0,12.1521,6.1431885,4.380829,8.018494,9.886353,92,13
2011,6.0,7.0,3.0,10.0,6.0,10.838867,6.2604065,0.71984863,6.925354,6.795349,94,14
2012,14.0,5.0,6.0,13.0,15.0,14.217926,4.9982605,3.2584534,5.2693787,9.313965,94,14
2013,9.0,9.0,3.0,10.0,13.0,10.031494,5.1840515,3.3663025,6.498474,10.909515,81,12
2014,6.0,6.0,6.0,13.0,12.0,10.711914,4.9462585,5.221466,6.4437866,9.653503,87,13
2015,12.0,7.0,7.0,7.0,15.0,12.90506,4.4895935,4.7807617,5.1901245,9.670807,91,14
2016,15.0,9.0,9.0,7.0,9.0,14.804901,8.186829,4.921234,5.4136353,10.236542,96,14
2017,11.0,8.0,4.0,6.0,13.0,12.86731,8.185059,4.7083435,5.1877136,8.048248,99,14
2018,9.0,5.0,10.0,11.0,11.0,11.407166,3.7708435,3.4014282,4.4941406,11.093811,85,13
2019,7.0,10.0,2.0,15.0,12.0,12.150818,7.74704,5.194092,7.933319,9.907532,95,14
2020,6.0,11.0,11.0,10.0,15.0,12.751831,8.00177,7.0074463,7.709961,10.709442,99,15
2021,8.0,3.0,6.0,9.0,13.0,13.14856,5.6555786,4.7469177,7.975464,12.279083,88,13
2022,7.0,2.0,4.0,9.0,15.0,11.2751465,5.9572754,4.323456,3.9178772,11.233673,87,13
2023,12.0,7.0,5.0,8.0,10.0,14.407837,5.1156006,4.490692,7.3733826,11.901398,89,13
2024,6.0,10.0,7.0,15.0,11.0,11.986328,7.159363,5.7700195,9.356842,10.226013,94,14
2025,10.0,1.0,2.0,6.0,13.0,13.838135,5.0134277,3.6524048,3.5709229,10.435944,92,14
