seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,12.0,12.0,17.0,14.0,16.0,5.651428,0.05407715,-3.9319458,-3.7216187,-1.1585999,130,19
1982,9.0,15.0,18.0,13.0,17.0,1.1707458,-0.28033447,-3.8479614,-4.431488,-0.40145874,134,19
1983,10.0,18.0,12.0,16.0,7.0,5.56662,0.3241577,-2.9178467,-4.598358,-0.98498535,124,18
1984,12.0,14.0,17.0,20.0,16.0,4.901123,-1.8365784,-4.91687,-5.8958435,-3.130188,151,22
1985,9.0,17.0,20.0,12.0,14.0,3.4855957,-1.8070068,-5.8293457,-3.2789917,-1.2452087,138,20
1986,19.0,18.0,17.0,13.0,16.0,3.7775574,-2.9440002,-4.75708,-5.1345825,-0.9526062,132,20
1987,15.0,12.0,20.0,13.0,16.0,3.3613281,-0.84884644,-4.5599365,-4.046692,-0.74609375,133,20
1988,15.0,16.0,14.0,12.0,11.0,3.7550354,-1.8392639,-3.690155,-5.31192,-0.9673462,133,19
1989,14.0,17.0,11.0,4.0,11.0,3.4844666,-0.37194824,-2.1135254,-2.2810059,1.0508728,127,18
1990,15.0,14.0,17.0,8.0,8.0,6.4572754,-0.2640686,-4.321808,-1.3677673,1.6309814,122,18
1991,14.0,14.0,18.0,16.0,11.0,7.0184326,1.9274902,-1.5114746,-3.484192,-0.43060303,127,19
1992,16.0,11.0,8.0,14.0,11.0,4.6694946,-0.7927246,-2.6950684,-3.1679382,-0.110809326,133,20
1993,14.0,18.0,12.0,18.0,6.0,4.3237305,-0.11325073,-2.2896118,-3.1098022,-0.55148315,129,18
1994,13.0,18.0,13.0,10.0,13.0,5.5051575,-0.44256592,-5.2736206,-2.7177734,-2.0376892,129,19
1995,10.0,17.0,24.0,9.0,11.0,5.0781555,-1.7661133,-3.6237488,-3.1880188,-0.6288452,129,19
1996,16.0,14.0,19.0,12.0,16.0,5.0228577,-0.3630371,-4.3215637,-4.239807,-1.1769409,141,21
1997,14.0,16.0,11.0,12.0,10.0,3.5505676,-0.69281006,-3.0864868,-2.5561829,-0.92803955,126,19
1998,10.0,9.0,18.0,9.0,11.0,6.684845,0.06335449,-5.853607,-4.393402,0.54299927,123,18
1999,22.0,12.0,19.0,11.0,8.0,3.1907043,-1.9126892,-4.2943726,-4.6498413,-1.620575,133,19
2000,12.0,18.0,20.0,12.0,17.0,4.9036255,-1.1140747,-2.9509277,-4.679596,-1.4519348,138,20
2001,14.0,22.0,14.0,12.0,14.0,3.3637085,-2.3836365,-5.861023,-6.3466187,-1.8161621,134,20
2002,14.0,17.0,18.0,10.0,9.0,4.785431,-3.8547974,-3.4393005,-2.254303,0.7477722,118,17
2003,20.0,10.0,12.0,8.0,9.0,2.5522766,-3.3659973,-4.2875366,-4.3104553,-1.1138916,126,19
2004,11.0,13.0,18.0,16.0,6.0,5.813843,0.18762207,-2.703949,-2.135376,-0.7498474,129,19
2005,12.0,18.0,20.0,16.0,14.0,7.0166626,-0.5711975,-3.229126,-4.42511,-1.5176697,140,20
2006,18.0,16.0,13.0,12.0,19.0,5.1607056,-2.6245422,-4.3571167,-3.6695557,-0.06411743,136,20
2007,16.0,10.0,13.0,10.0,13.0,5.913971,-1.6985474,-2.1514893,-2.3841553,-0.44259644,132,19
2008,9.0,11.0,9.0,10.0,7.0,3.9148254,-1.1165771,-4.7287292,-3.9282837,0.9320984,123,18
2009,14.0,18.0,16.0,15.0,10.0,4.5434875,0.7357178,-1.8737793,-2.7721863,0.2015686,127,19
2010,14.0,17.0,13.0,11.0,12.0,4.6360474,-1.197998,-3.0292969,-4.323517,-1.7834778,138,20
2011,15.0,17.0,17.0,6.0,7.0,5.817932,0.08584595,-4.955017,-2.4658508,-1.7361755,133,19
2012,10.0,12.0,12.0,16.0,15.0,5.462494,-2.470337,-5.2438965,-5.194824,-1.905426,135,20
2013,17.0,18.0,12.0,16.0,12.0,5.160919,-2.3385925,-5.204376,-4.765991,-1.7196655,141,21
2014,17.0,13.0,19.0,10.0,12.0,5.754486,0.41879272,-4.3097534,-4.6122437,-1.5211487,125,19
2015,11.0,19.0,10.0,7.0,17.0,5.943878,-1.9527588,-2.4218445,-2.7920532,1.0115967,121,18
2016,15.0,14.0,8.0,15.0,10.0,5.5216675,0.70355225,-4.1104736,-3.0543213,0.5241089,123,18
2017,13.0,13.0,13.0,11.0,6.0,2.4902954,-1.539856,-4.047943,-3.197174,-0.6512451,124,18
2018,15.0,16.0,19.0,16.0,9.0,4.1338806,-1.9281921,-2.753479,-4.235565,0.6651001,121,18
2019,11.0,16.0,9.0,9.0,7.0,6.337158,-1.0192871,-3.8088684,-3.7693176,0.3380127,124,18
2020,7.0,15.0,8.0,12.0,12.0,3.9451904,-0.5222473,-2.598297,-3.2888184,1.0354004,126,19
2021,10.0,10.0,18.0,15.0,10.0,5.897003,-2.0088196,-4.412964,-3.2685242,0.7692261,124,18
2022,18.0,16.0,17.0,13.0,8.0,7.026703,-0.6428528,-3.5647278,-3.5529175,-0.061767578,120,17
2023,12.0,15.0,16.0,10.0,9.0,6.640869,-1.2099304,-4.671234,-3.7087097,1.6827698,117,17
2024,15.0,13.0,13.0,5.0,8.0,6.173645,-1.295929,-2.01297,-2.9727173,-1.1279602,119,17
2025,14.0,14.0,12.0,10.0,14.0,5.6908264,-2.2914124,-2.1513367,-1.9104614,0.45718384,123,18
