seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,27.0,7.0,10.0,11.0,26.0,25.222473,23.78836,24.44757,25.894073,26.221527,31,5
1982,17.0,1.0,15.0,12.0,24.0,24.388916,25.187897,25.498474,25.043793,25.748474,30,4
1983,17.0,9.0,0.0,12.0,8.0,24.51947,24.536316,20.753998,26.455872,27.15387,31,5
1984,21.0,17.0,1.0,12.0,25.0,25.30951,24.50473,23.185059,25.591614,25.787933,33,5
1985,21.0,5.0,18.0,0.0,24.0,25.112152,23.60904,25.444885,25.32425,25.964874,34,5
1986,29.0,9.0,12.0,19.0,30.0,25.656006,24.332886,25.422485,25.49701,25.496735,29,5
1987,23.0,4.0,2.0,26.0,23.0,25.238861,23.1604,25.664062,26.60205,26.381744,36,6
1988,20.0,12.0,10.0,11.0,27.0,25.823456,25.449066,25.59137,26.966888,26.820892,18,3
1989,19.0,15.0,0.0,2.0,25.0,25.80838,24.373291,21.302979,24.179443,25.985413,13,2
1990,25.0,11.0,15.0,5.0,8.0,25.797852,24.946198,25.782135,25.625885,27.003326,28,4
1991,27.0,19.0,2.0,22.0,26.0,25.949188,25.655518,25.215149,26.653076,26.910461,35,6
1992,30.0,7.0,3.0,2.0,23.0,25.869202,24.04721,23.754883,25.672241,26.90512,28,5
1993,15.0,2.0,2.0,13.0,23.0,24.612823,24.314056,23.37387,26.105042,25.923126,29,4
1994,30.0,8.0,11.0,5.0,26.0,25.494995,24.377197,24.733765,26.021698,26.785583,29,4
1995,17.0,0.0,5.0,13.0,27.0,24.668793,22.652008,24.22522,25.72287,26.587616,42,6
1996,15.0,14.0,10.0,22.0,29.0,24.767975,24.915436,25.65393,26.69748,26.364288,22,4
1997,4.0,9.0,14.0,1.0,24.0,24.677979,25.163239,25.23175,23.85788,26.27835,27,5
1998,28.0,4.0,2.0,3.0,14.0,26.269897,25.138702,23.724854,27.414856,27.507355,27,5
1999,28.0,11.0,12.0,24.0,31.0,25.933136,24.825348,25.352814,26.2883,26.800934,35,5
2000,29.0,4.0,14.0,4.0,17.0,25.534943,24.941101,25.720459,25.046997,26.565063,31,5
2001,26.0,5.0,1.0,5.0,31.0,25.795776,23.506592,23.575378,24.444061,26.734741,36,6
2002,27.0,9.0,2.0,11.0,30.0,25.832672,26.140411,23.44748,25.90503,27.035553,29,5
2003,20.0,11.0,13.0,18.0,23.0,25.882172,24.49347,25.272552,27.031952,26.921112,26,4
2004,26.0,6.0,11.0,11.0,20.0,26.057281,24.915955,25.499603,26.026855,26.79422,32,5
2005,25.0,8.0,7.0,17.0,29.0,25.849823,26.278961,23.493103,27.166473,27.247345,39,6
2006,15.0,13.0,25.0,23.0,27.0,26.427124,26.085022,26.499512,27.037445,26.77243,24,4
2007,15.0,1.0,0.0,16.0,23.0,25.918945,24.673859,22.9122,26.581451,26.834045,38,6
2008,26.0,12.0,7.0,4.0,29.0,25.610687,24.670593,23.612854,24.874786,26.393677,33,5
2009,25.0,18.0,19.0,18.0,29.0,26.371216,25.650879,25.898773,26.703735,26.999603,35,6
2010,18.0,6.0,9.0,22.0,23.0,25.67163,26.003418,26.33255,27.131073,27.12854,34,5
2011,28.0,9.0,2.0,24.0,29.0,25.870483,25.287994,24.486725,26.19278,26.759583,38,6
2012,23.0,5.0,13.0,27.0,24.0,25.793365,24.026764,24.64386,26.212769,26.793182,30,5
2013,26.0,12.0,15.0,20.0,29.0,25.92218,24.509674,25.374176,26.294464,26.759338,28,5
2014,28.0,17.0,17.0,13.0,30.0,25.772278,25.17154,25.935333,26.72815,26.580658,31,5
2015,26.0,12.0,10.0,25.0,27.0,26.176361,26.098846,24.06424,26.806519,26.847015,29,5
2016,19.0,2.0,1.0,11.0,30.0,26.239258,23.436981,25.178558,27.332825,27.547821,33,5
2017,28.0,14.0,18.0,10.0,31.0,26.610504,25.784943,25.94992,26.447906,27.03714,44,7
2018,24.0,13.0,2.0,22.0,31.0,26.175812,26.148712,24.624023,26.951782,26.675598,36,6
2019,28.0,6.0,17.0,14.0,31.0,26.644287,25.677551,25.940552,26.310669,26.899445,38,6
2020,29.0,4.0,2.0,4.0,28.0,26.485626,25.555817,24.783386,26.516388,27.360687,38,6
2021,22.0,21.0,19.0,15.0,24.0,26.516266,26.333557,26.376892,26.53946,26.643219,32,5
2022,30.0,8.0,11.0,6.0,29.0,26.14273,25.220245,24.426025,25.765015,27.115662,31,5
2023,19.0,10.0,8.0,14.0,28.0,26.403442,25.174652,25.192963,26.24524,26.501678,32,5
2024,30.0,10.0,3.0,12.0,28.0,26.509888,26.23236,26.105011,26.923492,28.046417,33,5
2025,10.0,0.0,9.0,16.0,31.0,26.405304,25.292542,26.158142,27.291504,27.7919,33,5
