seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,16.0,9.0,10.0,11.0,8.217773,0.695282,-1.6052551,-0.104766846,4.7852173,98,15
1982,13.0,8.0,12.0,8.0,11.0,5.9840393,2.272461,-0.26220703,0.70047,5.2959595,92,13
1983,11.0,9.0,12.0,8.0,17.0,9.480103,2.6166992,0.5371094,-0.088409424,4.5979614,98,14
1984,7.0,15.0,12.0,14.0,12.0,6.474701,1.2692261,-1.9764099,-2.1575623,1.0559998,106,15
1985,5.0,13.0,11.0,11.0,13.0,8.63736,2.0596924,-1.3439026,0.84225464,4.3650513,99,15
1986,11.0,8.0,6.0,9.0,13.0,7.098694,0.9066162,-1.8727112,-1.5726318,3.498108,100,15
1987,5.0,9.0,12.0,10.0,17.0,7.230011,3.7210693,0.75201416,1.3854675,4.373596,95,14
1988,8.0,7.0,8.0,11.0,14.0,8.660126,2.9665222,1.4317627,-0.1899414,3.3526306,104,15
1989,9.0,8.0,10.0,16.0,12.0,5.8055725,1.9490356,3.0421753,2.8478394,4.3536377,92,13
1990,9.0,9.0,19.0,12.0,12.0,8.095551,3.1105347,0.08444214,3.526703,5.5951843,89,13
1991,9.0,11.0,10.0,14.0,15.0,9.989075,3.191742,0.49197388,0.29623413,5.1862793,97,14
1992,7.0,14.0,10.0,12.0,17.0,7.8606567,4.884796,1.8937378,1.7295227,5.7215576,96,14
1993,10.0,13.0,14.0,14.0,13.0,8.253326,3.4923096,1.9317017,2.4213257,3.938324,98,14
1994,13.0,10.0,13.0,13.0,14.0,8.985504,2.4187317,0.6621704,0.5314026,2.661499,96,14
1995,9.0,10.0,19.0,10.0,12.0,9.173096,3.6132507,0.21853638,0.33465576,4.6035156,98,14
1996,7.0,11.0,11.0,15.0,13.0,6.23761,1.3740234,0.68200684,-0.36166382,3.9558716,101,15
1997,14.0,11.0,12.0,11.0,10.0,7.6688232,2.7451782,-0.14447021,0.98550415,4.972107,94,14
1998,11.0,12.0,14.0,13.0,10.0,9.592773,3.6176453,0.15682983,2.9840698,5.2355957,91,14
1999,7.0,11.0,12.0,14.0,14.0,8.182617,3.9497986,0.64193726,0.74453735,5.7864075,93,13
2000,8.0,7.0,17.0,14.0,11.0,8.393372,2.4282837,1.2803345,-0.5420532,3.999237,99,14
2001,10.0,12.0,15.0,17.0,17.0,9.062805,3.1243591,-0.7312317,1.4899292,4.371521,96,14
2002,10.0,14.0,13.0,8.0,9.0,7.634094,2.375,1.1810913,1.8506775,6.0436707,88,13
2003,11.0,14.0,18.0,12.0,14.0,5.5154724,2.9848022,0.10772705,2.08078,3.6521606,95,14
2004,18.0,14.0,10.0,9.0,15.0,10.597534,3.025879,3.0517578e-05,2.3321838,4.905731,93,14
2005,9.0,13.0,10.0,12.0,18.0,9.769012,4.6790466,0.3180542,0.38409424,3.7234192,99,14
2006,8.0,15.0,12.0,17.0,16.0,8.323425,-0.29663086,0.5314331,1.625824,3.6742554,97,14
2007,13.0,13.0,9.0,10.0,10.0,8.797607,3.3607178,1.7519836,3.2707214,5.1455994,94,14
2008,4.0,12.0,15.0,16.0,14.0,8.242462,3.9060974,0.72454834,0.104156494,5.4921875,95,14
2009,10.0,9.0,13.0,11.0,9.0,7.9055786,3.8711853,1.009552,3.3899536,5.0279846,95,14
2010,11.0,11.0,13.0,13.0,16.0,8.31192,2.9560547,0.55718994,3.1064148,4.7013855,93,13
2011,8.0,12.0,11.0,11.0,11.0,7.505829,2.9227905,-1.7128296,2.319336,2.942749,97,14
2012,9.0,11.0,14.0,13.0,15.0,10.374237,2.497589,0.1871643,-0.49325562,4.1902466,100,15
2013,11.0,15.0,6.0,12.0,6.0,7.1327515,0.92041016,-0.25631714,1.0339661,6.005005,90,13
2014,11.0,11.0,10.0,13.0,14.0,7.396637,1.9759827,0.92230225,1.4688721,5.4187317,92,14
2015,8.0,12.0,14.0,10.0,9.0,8.865601,0.67407227,0.93948364,1.3347778,5.2600403,92,14
2016,11.0,11.0,8.0,11.0,9.0,10.373474,4.443451,0.7757263,1.6447144,5.7635193,92,13
2017,8.0,11.0,12.0,14.0,7.0,8.510956,4.2244263,0.72125244,1.3408508,4.1973877,97,14
2018,11.0,8.0,12.0,6.0,9.0,7.291748,1.1774902,-0.14910889,-0.14471436,6.0803223,87,13
2019,6.0,12.0,6.0,8.0,12.0,8.798645,3.8858643,1.3089294,2.97583,5.549469,95,14
2020,5.0,11.0,10.0,12.0,13.0,8.720154,4.478485,3.219696,3.2526245,6.416168,91,14
2021,7.0,7.0,11.0,8.0,11.0,9.406128,2.712555,0.54351807,3.210785,7.1460266,88,13
2022,5.0,8.0,6.0,5.0,11.0,8.450562,3.2242737,0.526886,0.19476318,6.487732,89,13
2023,8.0,8.0,14.0,11.0,10.0,10.3316345,1.9696045,1.1091614,2.3833618,8.289032,86,13
2024,8.0,7.0,11.0,13.0,13.0,9.165131,3.919342,2.1122742,3.2553406,5.108917,96,14
2025,12.0,6.0,6.0,10.0,12.0,9.253082,2.4702454,0.8215637,-0.43115234,5.5237427,95,14
