seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,17.0,23.0,24.0,20.0,20.0,2.5888977,-2.9164124,-6.645813,-6.093506,-3.2401428,128,19
1982,19.0,19.0,26.0,21.0,21.0,-1.8482971,-3.693512,-7.1759644,-7.303314,-2.486023,128,18
1983,13.0,24.0,21.0,21.0,17.0,2.4152222,-3.0300293,-6.3499756,-7.603302,-3.32193,121,17
1984,16.0,20.0,22.0,26.0,26.0,2.0306396,-5.127594,-8.091003,-8.456268,-5.62558,142,21
1985,15.0,23.0,28.0,20.0,18.0,0.6061096,-4.875702,-9.237274,-5.8469543,-3.7055664,128,19
1986,23.0,27.0,25.0,20.0,18.0,0.9673157,-6.3095703,-8.398529,-8.434723,-3.627594,129,19
1987,20.0,18.0,24.0,18.0,21.0,0.3565979,-4.338928,-7.5977783,-6.877533,-3.3188171,129,19
1988,20.0,20.0,25.0,22.0,14.0,0.60147095,-5.5279846,-6.826996,-8.03775,-3.4353943,128,18
1989,18.0,23.0,18.0,8.0,19.0,0.4501648,-3.6263123,-5.277649,-5.0321045,-0.24264526,124,18
1990,18.0,22.0,26.0,15.0,13.0,3.491394,-3.808899,-7.3138123,-4.093384,-0.33825684,119,17
1991,17.0,16.0,25.0,20.0,18.0,3.9526367,-1.3070374,-4.4137573,-6.5469666,-3.2465515,127,19
1992,18.0,20.0,17.0,19.0,17.0,1.6877136,-4.240906,-5.8881836,-6.0487366,-2.6575623,131,19
1993,18.0,24.0,22.0,23.0,11.0,1.5517883,-3.3115845,-5.285553,-5.7581177,-3.018982,130,19
1994,17.0,26.0,23.0,22.0,23.0,2.6716309,-3.8875732,-8.346191,-5.1461487,-4.393341,129,19
1995,16.0,23.0,26.0,18.0,10.0,1.9208984,-5.253723,-6.886566,-6.3213806,-3.4050903,123,18
1996,20.0,21.0,26.0,20.0,19.0,2.1004944,-3.375946,-7.2381287,-7.190796,-3.8791199,133,19
1997,21.0,20.0,22.0,18.0,17.0,0.40026855,-4.4778748,-6.514618,-5.522278,-4.122406,125,19
1998,13.0,17.0,27.0,15.0,16.0,4.0100403,-3.3697205,-8.9133,-7.6057434,-2.2480469,116,17
1999,23.0,22.0,26.0,21.0,13.0,0.06555176,-5.2271423,-7.0095825,-7.580353,-4.440979,128,18
2000,16.0,26.0,26.0,20.0,18.0,1.8995056,-4.4007263,-6.2087708,-7.470642,-4.0068054,132,19
2001,18.0,28.0,24.0,22.0,19.0,0.2763977,-5.8644714,-9.268402,-9.144226,-4.3937073,125,18
2002,17.0,24.0,21.0,15.0,11.0,1.7337952,-6.9042664,-6.3699036,-4.7478333,-1.8896484,115,17
2003,28.0,20.0,21.0,16.0,16.0,-0.46725464,-6.562439,-7.1723022,-7.4454956,-3.6249695,124,18
2004,16.0,18.0,25.0,24.0,17.0,2.9733276,-3.6508179,-5.947174,-4.607086,-3.2120667,130,19
2005,15.0,26.0,26.0,22.0,17.0,4.105133,-4.1185913,-6.7450256,-7.441925,-3.989502,136,20
2006,21.0,27.0,27.0,19.0,22.0,2.422058,-5.8237915,-7.162506,-6.437134,-2.57016,132,19
2007,21.0,21.0,22.0,14.0,19.0,3.0861206,-4.5129395,-5.3264465,-5.5309143,-3.1089478,128,19
2008,15.0,17.0,21.0,19.0,13.0,0.6826172,-4.5192566,-8.140259,-6.849121,-1.1265564,116,17
2009,21.0,24.0,18.0,21.0,17.0,1.4448853,-2.4192505,-5.1085205,-5.692383,-2.2915344,124,19
2010,19.0,23.0,26.0,21.0,18.0,1.6662598,-4.268585,-5.8164673,-6.899719,-3.9922485,134,19
2011,16.0,22.0,28.0,15.0,13.0,2.8906555,-3.3097534,-7.6271057,-5.285919,-3.897766,132,19
2012,16.0,24.0,27.0,22.0,15.0,2.433197,-5.602936,-8.22113,-8.134155,-4.5117188,123,18
2013,26.0,28.0,26.0,21.0,18.0,2.2546082,-5.5431824,-8.3055725,-7.5587463,-4.1218567,137,20
2014,20.0,23.0,27.0,17.0,18.0,2.820984,-2.5446167,-7.234619,-7.4386597,-3.5039062,121,18
2015,16.0,28.0,22.0,13.0,17.0,2.794098,-5.200287,-5.309021,-5.4227295,-0.66989136,116,17
2016,17.0,18.0,21.0,25.0,12.0,2.4332275,-2.6723328,-7.490814,-6.026367,-2.2778625,122,17
2017,23.0,21.0,19.0,15.0,13.0,-0.80911255,-5.0869446,-7.718109,-6.181244,-2.9358826,123,18
2018,23.0,26.0,26.0,22.0,11.0,1.0083313,-5.7062683,-6.4162903,-7.69812,-2.0682373,119,17
2019,21.0,24.0,20.0,14.0,11.0,3.191925,-4.477783,-7.1653748,-7.260376,-1.9987793,119,18
2020,13.0,22.0,10.0,15.0,15.0,0.51504517,-4.3545837,-6.528839,-6.4086914,-0.74575806,123,18
2021,17.0,20.0,19.0,20.0,14.0,2.9417114,-5.744995,-8.453308,-6.371002,-1.4309082,117,17
2022,19.0,20.0,23.0,18.0,17.0,4.12677,-4.1221313,-6.559723,-6.3856506,-2.2609253,115,17
2023,13.0,23.0,22.0,16.0,10.0,3.646698,-4.760498,-8.50293,-6.810669,0.0025024414,111,16
2024,20.0,22.0,22.0,10.0,11.0,3.4657593,-4.254822,-5.0161133,-5.9068604,-3.4920654,115,17
2025,17.0,25.0,24.0,20.0,18.0,2.716919,-5.798065,-5.262085,-4.568268,-2.1694946,117,17
