seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,12.0,20.0,26.0,19.0,15.0,5.9144287,-0.348114,-3.612976,-2.7157898,0.17654419,108,16
1982,12.0,15.0,20.0,16.0,13.0,1.9978638,-0.39260864,-3.1973267,-4.258911,1.2123718,106,15
1983,14.0,17.0,15.0,18.0,20.0,5.59021,1.0045166,-2.9077759,-4.0627747,-0.0067443848,108,16
1984,16.0,15.0,21.0,17.0,21.0,3.9837646,-1.6936951,-5.7226562,-6.4496765,-3.417694,124,18
1985,7.0,18.0,20.0,19.0,14.0,3.5266418,-1.7980652,-6.4509583,-2.6233215,-0.07180786,113,17
1986,21.0,20.0,21.0,15.0,16.0,4.9032593,-1.9886475,-4.8110046,-5.8623962,-0.6970215,114,17
1987,12.0,12.0,18.0,16.0,17.0,3.461731,0.3110962,-3.4257507,-2.672577,0.72891235,107,16
1988,12.0,13.0,17.0,17.0,14.0,4.611206,0.104400635,-1.8526001,-5.4453125,-0.32662964,112,16
1989,19.0,10.0,15.0,17.0,14.0,2.9350586,-0.16265869,-1.2070312,-1.4955444,2.0390015,96,14
1990,15.0,20.0,22.0,12.0,12.0,6.848755,0.24707031,-4.2893066,-0.6612854,2.2601013,98,14
1991,18.0,15.0,18.0,20.0,15.0,7.755554,1.982605,-2.6943054,-3.2411804,0.74368286,105,16
1992,14.0,15.0,17.0,15.0,13.0,4.596985,0.7094116,-1.8720093,-2.7376404,1.1547546,106,16
1993,11.0,20.0,20.0,20.0,16.0,5.573883,0.39608765,-2.0193787,-1.53302,0.49209595,106,15
1994,15.0,16.0,20.0,17.0,15.0,6.491974,-0.35003662,-3.3460999,-2.9143982,-0.9109192,105,15
1995,8.0,21.0,24.0,12.0,19.0,5.3859863,-0.49697876,-3.8687744,-3.1104736,0.5612488,107,16
1996,16.0,22.0,19.0,18.0,18.0,4.094452,-0.79159546,-4.0191345,-3.3388367,-0.038848877,115,17
1997,16.0,19.0,21.0,16.0,11.0,4.6083374,0.33877563,-2.8840942,-2.4751282,1.1062927,101,15
1998,18.0,12.0,25.0,17.0,11.0,6.5863647,0.5185547,-4.2305603,-3.166809,1.0377197,101,15
1999,19.0,13.0,25.0,15.0,14.0,4.312683,0.042541504,-3.3120728,-3.2955627,1.177887,103,15
2000,18.0,24.0,19.0,22.0,21.0,6.081604,-0.3187561,-1.0476074,-3.6677856,-0.50961304,109,16
2001,13.0,19.0,24.0,18.0,21.0,4.71109,-0.96273804,-5.0134583,-4.698395,-0.5102844,103,15
2002,13.0,18.0,25.0,13.0,15.0,5.034088,-2.134674,-2.2201538,-1.9498596,2.601532,93,14
2003,20.0,15.0,19.0,12.0,14.0,2.4826355,-1.571167,-3.7960815,-2.7557678,-0.2484436,104,16
2004,16.0,18.0,19.0,17.0,12.0,6.701233,1.1340942,-3.059021,-2.0969238,0.9039612,101,15
2005,14.0,19.0,24.0,23.0,19.0,7.470154,0.91470337,-3.3258362,-4.0717163,-1.2349548,107,15
2006,18.0,25.0,13.0,15.0,14.0,5.052185,-2.9561157,-4.7999573,-2.7420654,0.18630981,108,16
2007,19.0,19.0,13.0,12.0,21.0,5.7624207,0.8423462,-0.9123535,-0.86276245,0.418396,102,15
2008,12.0,24.0,25.0,16.0,14.0,4.6156006,0.50146484,-3.4576416,-4.3272705,1.8713684,102,15
2009,13.0,17.0,21.0,14.0,15.0,4.837158,1.1237488,-2.254547,-2.3775635,0.81832886,100,15
2010,17.0,19.0,20.0,17.0,19.0,6.0943604,0.0362854,-2.4822693,-2.59021,-0.016204834,111,16
2011,10.0,19.0,25.0,12.0,19.0,5.4499207,0.8834839,-4.951172,-3.607666,-1.9152832,105,15
2012,15.0,17.0,19.0,20.0,19.0,6.7382507,-1.6547852,-5.1981506,-5.1307983,-0.89764404,114,17
2013,17.0,25.0,21.0,19.0,11.0,4.8629456,-1.3694153,-4.7507935,-4.8559265,0.29153442,105,16
2014,18.0,25.0,19.0,12.0,18.0,4.9823303,-0.0440979,-3.8243103,-4.096924,0.76776123,101,15
2015,14.0,26.0,21.0,12.0,16.0,6.035309,-2.1015625,-3.261444,-2.6941528,2.2151184,99,15
2016,18.0,16.0,19.0,16.0,10.0,7.136383,1.1409302,-2.8237,-2.5326843,2.1591492,97,14
2017,16.0,18.0,22.0,15.0,16.0,3.8850098,0.7182312,-2.759552,-2.5925598,0.5800476,103,15
2018,14.0,17.0,18.0,17.0,9.0,4.3043213,-1.601532,-4.1039124,-4.7670593,2.5162048,94,14
2019,13.0,20.0,14.0,10.0,13.0,6.2943115,-0.27929688,-3.228119,-1.7130737,2.022644,100,15
2020,13.0,13.0,17.0,17.0,15.0,5.119812,0.7390747,-0.66293335,-0.72683716,2.841919,94,14
2021,14.0,24.0,20.0,14.0,10.0,6.148987,-0.681427,-4.5927124,-1.6209106,4.1217346,90,13
2022,18.0,20.0,22.0,16.0,10.0,6.9237976,-0.063079834,-3.812439,-3.8208008,1.3959961,101,15
2023,10.0,25.0,17.0,12.0,10.0,6.9690247,-0.55303955,-2.7213745,-2.5542603,4.5342712,90,13
2024,17.0,20.0,17.0,9.0,18.0,7.124634,0.8390503,-0.8604431,-0.6835327,0.49404907,100,15
2025,16.0,22.0,21.0,15.0,16.0,6.256317,-0.59173584,-2.0951843,-3.1492615,2.2991638,100,15
