seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,6.0,5.0,6.0,11.0,10.402161,2.4925842,0.32138062,2.2597656,6.9211426,96,15
1982,12.0,3.0,6.0,9.0,11.0,7.958618,4.309784,1.4753723,2.339386,7.118347,90,13
1983,11.0,6.0,6.0,4.0,16.0,11.524231,4.508423,2.2127075,1.5775146,6.268738,99,14
1984,3.0,3.0,9.0,7.0,13.0,8.557098,2.8207397,-0.3899231,-0.12249756,3.112915,101,15
1985,10.0,5.0,4.0,10.0,14.0,10.432587,4.1125183,0.41885376,3.4776917,6.929077,98,15
1986,8.0,4.0,2.0,5.0,13.0,8.98053,2.9985352,0.13287354,0.48654175,5.8812866,97,15
1987,5.0,7.0,7.0,7.0,17.0,8.974335,5.684967,2.8492432,3.6419373,6.44162,97,15
1988,8.0,3.0,5.0,11.0,12.0,10.4617,5.0381775,3.8159485,2.28479,5.7926025,104,15
1989,5.0,2.0,13.0,13.0,12.0,7.738434,3.9891968,5.211334,5.2381897,6.3531494,93,14
1990,10.0,6.0,12.0,16.0,13.0,9.972473,4.729248,2.234314,5.9805603,7.521576,90,13
1991,10.0,4.0,6.0,11.0,20.0,11.784943,5.0825195,2.289734,2.4295044,7.988861,97,14
1992,7.0,11.0,8.0,7.0,19.0,9.796661,6.785919,3.9057922,3.6063843,8.092682,95,14
1993,10.0,7.0,14.0,5.0,13.0,10.12027,5.8060303,4.2703857,4.382202,5.83078,99,14
1994,14.0,8.0,8.0,8.0,7.0,11.063324,4.7292175,2.767456,2.7462463,4.8687134,97,14
1995,8.0,7.0,8.0,5.0,12.0,11.177338,5.8083496,2.5353394,2.6557922,6.699524,97,14
1996,3.0,6.0,7.0,9.0,10.0,8.064148,3.250946,2.851532,2.159546,6.4584656,97,14
1997,13.0,5.0,7.0,7.0,11.0,10.078888,4.8623047,1.6795044,3.094818,7.63855,92,14
1998,12.0,11.0,16.0,8.0,11.0,11.478546,5.740265,2.636322,5.2806396,7.577942,93,14
1999,6.0,3.0,6.0,10.0,15.0,10.624603,6.227478,3.0750122,3.078827,8.342102,92,13
2000,10.0,5.0,13.0,7.0,8.0,10.363098,4.267914,3.9484558,1.6936951,6.361603,98,14
2001,13.0,7.0,12.0,11.0,12.0,11.668945,5.1975403,1.8581238,3.842926,6.598694,93,14
2002,11.0,8.0,8.0,8.0,8.0,9.421387,4.276581,3.6766968,4.264099,8.359985,86,13
2003,8.0,14.0,7.0,10.0,12.0,7.358246,5.0025024,2.221405,4.4873962,5.9974976,93,14
2004,17.0,8.0,3.0,5.0,11.0,12.915344,5.0246277,1.9563904,4.7051086,7.109253,94,14
2005,7.0,7.0,7.0,7.0,10.0,11.55835,6.730713,2.1872864,2.9080505,5.7901917,96,14
2006,7.0,6.0,10.0,11.0,10.0,10.049561,1.66156,2.9708862,4.7227173,6.0965576,94,14
2007,12.0,10.0,5.0,8.0,8.0,11.140167,5.625519,3.857788,5.694916,7.1853943,93,14
2008,6.0,8.0,6.0,9.0,11.0,10.307617,5.760193,2.8578796,2.2282104,7.5773315,94,14
2009,9.0,9.0,7.0,11.0,10.0,9.858551,5.878479,3.2033386,5.8420715,7.1088867,93,14
2010,11.0,4.0,5.0,10.0,17.0,10.5616455,5.000244,2.7693787,5.37027,7.1022034,96,14
2011,7.0,5.0,4.0,10.0,5.0,9.562378,5.064514,0.25109863,4.459778,5.099243,98,14
2012,12.0,5.0,6.0,13.0,12.0,12.280243,4.2450256,1.8475037,2.1820374,6.5904236,96,14
2013,10.0,8.0,4.0,11.0,6.0,9.159332,3.5131226,1.6870422,3.5374756,8.399994,89,13
2014,8.0,6.0,8.0,12.0,11.0,9.409943,3.8332825,2.952301,3.4492188,7.521698,91,14
2015,10.0,9.0,9.0,8.0,12.0,10.93396,3.0385132,3.312439,3.4561157,7.4299316,93,14
2016,13.0,8.0,5.0,5.0,9.0,12.475708,6.8106384,3.2312317,4.0746155,7.72876,99,14
2017,12.0,9.0,5.0,7.0,6.0,10.950043,6.485321,3.0477905,3.5846252,5.793213,100,15
2018,8.0,4.0,9.0,5.0,10.0,9.654877,3.1341858,1.8652344,1.8647156,8.313049,87,13
2019,8.0,11.0,3.0,7.0,12.0,10.926422,6.18396,3.1757812,4.9952393,7.535431,97,14
2020,5.0,8.0,9.0,9.0,15.0,10.6214905,6.7391357,5.459015,5.1785583,8.3508,96,14
2021,7.0,4.0,5.0,4.0,11.0,11.630463,4.635742,2.775238,5.126465,9.317993,91,13
2022,5.0,4.0,4.0,3.0,12.0,10.433319,5.1427307,2.0651855,1.8675842,8.537872,89,13
2023,9.0,5.0,9.0,9.0,9.0,12.538574,4.0010376,3.115509,4.2271423,9.731354,90,13
2024,6.0,7.0,5.0,14.0,15.0,11.227844,6.0914307,4.037018,5.3813477,7.17511,97,14
2025,8.0,3.0,3.0,5.0,10.0,11.895172,4.5590515,2.611206,1.942627,7.883362,96,14
