seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,7.0,23.0,22.0,12.0,8.0,11.310364,4.523285,1.9498596,2.7835693,6.9159546,97,15
1982,18.0,13.0,18.0,13.0,11.0,9.649902,6.24942,3.4931335,3.7737427,7.315399,94,13
1983,12.0,13.0,17.0,16.0,18.0,12.468872,6.7618103,4.342682,3.015808,6.621063,98,14
1984,11.0,23.0,26.0,20.0,15.0,10.136902,5.196808,1.988739,1.0743713,3.6696472,108,16
1985,11.0,21.0,22.0,15.0,17.0,11.664978,5.8773193,2.088379,3.9116821,6.132599,100,15
1986,16.0,18.0,21.0,18.0,14.0,10.524567,4.855591,1.6566467,1.502655,5.730652,102,15
1987,6.0,15.0,15.0,12.0,14.0,10.606384,7.318939,4.233032,4.495453,6.312195,96,15
1988,13.0,12.0,14.0,17.0,17.0,11.69455,7.0044556,4.8375244,2.8338623,5.6115417,106,15
1989,14.0,15.0,16.0,19.0,16.0,9.650574,5.948822,5.8646545,5.368103,6.669403,93,14
1990,14.0,17.0,22.0,15.0,16.0,11.575775,6.8693237,3.4084167,5.9952087,7.617279,89,13
1991,10.0,12.0,23.0,20.0,18.0,13.140228,7.0662537,3.9408875,3.2290955,6.615753,100,15
1992,9.0,20.0,15.0,17.0,18.0,11.354431,8.132507,5.2688904,4.746826,7.357422,97,15
1993,12.0,21.0,20.0,17.0,15.0,11.367523,7.1484985,5.1312256,5.1003723,6.162079,104,15
1994,13.0,17.0,17.0,16.0,15.0,11.905243,6.133301,4.135559,3.6297302,4.9785156,99,14
1995,13.0,19.0,27.0,17.0,18.0,12.112915,7.022217,3.8056335,3.6860962,6.5511475,98,14
1996,11.0,23.0,16.0,18.0,18.0,10.055298,5.149048,4.0386047,2.6817017,5.8518677,105,15
1997,15.0,14.0,19.0,15.0,11.0,10.864105,6.824188,3.5780945,3.8220215,7.0853577,94,14
1998,15.0,18.0,24.0,13.0,10.0,12.379944,7.0772705,3.7962341,5.3924255,7.422119,90,14
1999,13.0,13.0,16.0,17.0,16.0,11.526001,7.693573,4.400635,3.9022217,7.5481567,91,13
2000,15.0,21.0,19.0,19.0,11.0,11.854645,6.5751343,4.328766,2.6053162,6.409729,100,14
2001,16.0,16.0,26.0,17.0,16.0,11.834381,6.784973,2.9501343,4.297333,6.6015015,93,14
2002,14.0,24.0,20.0,11.0,9.0,11.186371,6.182068,4.527588,5.000885,8.243256,89,13
2003,19.0,24.0,21.0,17.0,15.0,9.201263,6.465851,3.3789062,4.6090393,5.745178,97,15
2004,20.0,17.0,15.0,13.0,13.0,13.097778,6.8971863,3.7180786,5.4157715,7.2395325,89,14
2005,10.0,18.0,21.0,19.0,19.0,13.064667,8.077026,4.0968018,3.5050354,6.2929688,98,14
2006,12.0,24.0,17.0,18.0,18.0,11.953552,3.845642,3.6833801,3.9884644,6.0168457,97,14
2007,17.0,16.0,13.0,12.0,11.0,12.147461,7.1893616,5.4212036,6.172577,7.3279724,98,14
2008,12.0,20.0,21.0,18.0,17.0,11.550659,7.611084,4.449402,3.292389,7.3216553,95,14
2009,11.0,17.0,21.0,12.0,14.0,11.686188,7.380615,4.531189,5.8635254,7.248474,97,15
2010,12.0,16.0,15.0,15.0,19.0,11.606537,6.7496033,4.1824646,5.2736206,6.419342,94,13
2011,10.0,23.0,25.0,9.0,13.0,11.138123,6.5869446,2.1794434,4.8775635,5.349518,98,14
2012,11.0,17.0,22.0,17.0,16.0,13.322449,6.294739,3.8187866,2.6198425,6.316101,101,15
2013,14.0,23.0,14.0,13.0,7.0,10.62912,4.6636047,3.2573547,3.603424,7.5803223,88,13
2014,14.0,15.0,18.0,20.0,19.0,10.969147,5.939636,4.3365173,4.0588074,7.144562,92,14
2015,11.0,21.0,19.0,13.0,9.0,12.160492,4.70697,4.39505,4.320465,7.335541,91,14
2016,14.0,16.0,16.0,15.0,11.0,13.1492,7.937958,4.3690796,4.6363525,7.6558228,91,13
2017,14.0,14.0,15.0,19.0,11.0,11.470428,7.7904663,4.378296,4.4774475,6.7470093,97,14
2018,13.0,16.0,19.0,12.0,11.0,10.763763,5.368225,3.302246,3.0205078,7.9582825,87,13
2019,9.0,17.0,12.0,12.0,15.0,12.477905,7.5127563,5.196991,5.7558594,8.005493,94,14
2020,8.0,18.0,13.0,12.0,13.0,11.961884,8.136963,6.701355,6.133972,8.459412,91,14
2021,9.0,15.0,16.0,10.0,12.0,12.684265,6.9801025,4.1973267,6.068939,8.912537,88,13
2022,7.0,12.0,12.0,11.0,10.0,12.201111,7.061554,4.263977,3.5100403,8.273376,91,13
2023,9.0,11.0,17.0,9.0,11.0,13.528839,5.893097,4.9066467,5.266205,9.878265,83,12
2024,13.0,18.0,16.0,18.0,16.0,12.633667,7.670685,5.44046,5.7338257,7.128601,97,14
2025,12.0,8.0,13.0,15.0,11.0,12.530609,6.6755066,4.617401,3.1522827,7.4604187,94,14
