seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,6.0,6.0,3.0,7.0,14.0,10.15213,3.9587402,0.9828491,2.458313,6.617218,97,15
1982,8.0,2.0,3.0,9.0,12.0,7.735443,4.252533,2.419983,2.0872803,7.1428833,90,13
1983,13.0,5.0,4.0,7.0,17.0,11.129089,5.46994,2.390808,2.111969,5.7732544,98,14
1984,7.0,3.0,7.0,9.0,10.0,8.417633,2.784027,0.18893433,-0.28622437,2.9548035,106,15
1985,6.0,4.0,3.0,9.0,21.0,9.540619,4.4246826,0.61102295,3.473114,6.171051,98,15
1986,9.0,3.0,3.0,5.0,11.0,9.792572,3.5047302,0.78796387,0.90405273,5.176178,99,15
1987,4.0,7.0,4.0,6.0,10.0,9.150177,5.33786,2.656067,3.9276428,6.9838867,90,14
1988,11.0,5.0,5.0,4.0,13.0,9.861786,4.833679,4.1564026,1.8070679,6.2342834,100,14
1989,9.0,1.0,13.0,12.0,15.0,7.6454163,4.196228,4.549988,4.616089,6.779419,91,13
1990,10.0,6.0,8.0,18.0,15.0,10.535431,4.750244,1.7658386,5.1925964,7.465576,82,12
1991,10.0,4.0,5.0,6.0,15.0,12.216339,5.8397827,2.464264,2.8830566,7.7170105,96,14
1992,6.0,6.0,5.0,5.0,19.0,9.926544,5.6930847,3.2037659,3.3829346,7.2748413,91,14
1993,7.0,6.0,13.0,5.0,15.0,10.218018,5.685913,2.936676,4.013275,5.867584,92,13
1994,8.0,9.0,7.0,7.0,12.0,10.705261,4.631195,2.1088867,2.0888977,4.908966,96,14
1995,6.0,5.0,3.0,7.0,16.0,10.095673,5.1065063,2.0819397,2.5809631,6.0739136,97,14
1996,6.0,1.0,4.0,5.0,12.0,8.693054,3.4959717,2.448883,2.0878906,6.237213,95,14
1997,10.0,5.0,4.0,5.0,11.0,10.064301,5.442322,2.1852722,3.1567078,7.389618,90,14
1998,14.0,11.0,12.0,10.0,10.0,11.661743,5.533844,1.4897766,3.9959412,6.7789917,94,14
1999,4.0,6.0,5.0,6.0,15.0,10.0278015,5.117401,2.4690247,2.9135132,7.2669373,92,13
2000,10.0,4.0,9.0,4.0,8.0,10.814453,4.8955994,3.8621826,1.8718567,5.9993896,98,14
2001,16.0,6.0,8.0,8.0,11.0,10.688324,4.4913635,0.46707153,2.3475647,5.945038,88,13
2002,7.0,8.0,7.0,8.0,10.0,9.471344,3.8231812,3.288086,3.7833557,8.780029,81,12
2003,6.0,12.0,8.0,12.0,15.0,7.5056458,3.542633,1.5684814,2.8017273,5.588928,91,14
2004,18.0,5.0,4.0,6.0,13.0,12.154327,5.0068054,1.8339539,4.802643,6.6643677,90,14
2005,10.0,7.0,7.0,7.0,13.0,12.346069,5.7627563,2.0566406,2.2543945,6.0707397,97,14
2006,6.0,1.0,10.0,10.0,11.0,9.647247,1.9684143,1.2512512,3.6596985,6.3413696,87,13
2007,9.0,10.0,10.0,8.0,10.0,10.70871,5.1987915,3.2643433,4.73468,7.180542,89,13
2008,10.0,6.0,9.0,8.0,10.0,9.936432,5.419586,2.2246704,1.866394,7.5577393,89,13
2009,9.0,9.0,9.0,10.0,13.0,9.470337,6.0683594,2.8694763,4.5336,6.6305237,94,14
2010,12.0,8.0,3.0,9.0,11.0,10.052734,4.972931,3.016571,3.644287,6.447113,92,13
2011,6.0,5.0,0.0,10.0,7.0,9.852875,5.6558228,0.9232178,3.6297913,4.5145874,98,14
2012,10.0,6.0,5.0,11.0,12.0,11.608704,3.4785156,0.89398193,2.0728455,5.541687,100,15
2013,8.0,9.0,6.0,10.0,12.0,9.326477,3.285736,1.1234436,2.3801575,8.357544,81,12
2014,9.0,4.0,3.0,11.0,12.0,9.700134,4.3434753,2.6424866,2.7172546,7.104828,90,14
2015,14.0,8.0,7.0,11.0,14.0,10.792786,3.5653076,2.511963,3.1322632,7.238983,90,14
2016,15.0,9.0,4.0,8.0,13.0,11.676575,6.2931213,2.7209778,4.171936,7.566559,93,13
2017,13.0,4.0,2.0,5.0,11.0,9.103546,6.1488647,2.8087769,3.6188965,5.6605835,96,14
2018,8.0,2.0,3.0,3.0,11.0,9.739258,3.7722473,1.9038086,2.4191284,8.727234,86,13
2019,12.0,9.0,2.0,7.0,10.0,11.603088,5.5327454,2.386383,4.8863525,7.75708,91,14
2020,9.0,8.0,11.0,4.0,16.0,10.824066,6.266693,4.551361,5.524597,8.061584,88,13
2021,4.0,5.0,7.0,3.0,11.0,11.519745,5.082947,2.7017212,5.3888245,9.97641,86,12
2022,11.0,7.0,5.0,5.0,11.0,10.920227,5.0105896,1.7260742,2.113739,8.069153,87,13
2023,12.0,6.0,7.0,6.0,12.0,11.84729,4.6049194,2.9687805,4.1706543,10.277344,84,12
2024,5.0,7.0,6.0,13.0,11.0,11.762848,6.9074097,4.0964355,5.0319214,6.9926147,98,14
2025,9.0,1.0,4.0,3.0,16.0,11.364136,4.867218,3.3789978,3.0637817,7.674286,94,14
