seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,10.0,18.0,14.0,10.0,12.0,3.64505,-0.63638306,-6.0875244,-8.532867,-5.015869
1982,10.0,13.0,10.0,3.0,13.0,0.68099976,-2.2086792,-6.3938293,-8.626099,-2.234436
1983,14.0,5.0,5.0,8.0,9.0,3.3571167,-1.6008911,-5.331665,-8.631378,-4.6007385
1984,11.0,11.0,18.0,6.0,12.0,3.1380005,-2.7917786,-5.885742,-9.678192,-5.937134
1985,5.0,9.0,17.0,14.0,13.0,1.8079834,-3.4521484,-8.200134,-6.297638,-3.4534302
1986,12.0,12.0,10.0,7.0,19.0,2.5427246,-4.914856,-8.610809,-9.809998,-5.3644714
1987,12.0,11.0,13.0,8.0,9.0,1.9664001,-3.2652283,-7.5689697,-7.964386,-2.7453918
1988,12.0,8.0,9.0,4.0,13.0,2.2197266,-4.4744263,-6.5157166,-8.641602,-3.7217407
1989,9.0,15.0,11.0,4.0,14.0,1.7055054,-2.1516113,-4.755249,-4.5282288,-0.30413818
1990,12.0,11.0,11.0,7.0,12.0,4.0375977,-2.3556213,-7.28714,-4.569336,-0.67004395
1991,11.0,7.0,13.0,10.0,5.0,5.3114624,0.013793945,-3.0116272,-5.5198975,-2.781189
1992,9.0,12.0,9.0,8.0,5.0,2.950653,-2.7825317,-5.8607483,-5.733856,-1.9782715
1993,10.0,12.0,13.0,13.0,7.0,2.8179932,-2.280548,-4.536804,-5.209137,-2.7731934
1994,11.0,11.0,8.0,15.0,11.0,3.2850342,-2.5836792,-7.4155273,-4.8118896,-3.7200317
1995,6.0,11.0,16.0,10.0,12.0,3.2987976,-3.594513,-5.5513916,-5.291626,-3.327423
1996,12.0,20.0,12.0,5.0,13.0,4.1748962,-1.8079529,-6.135254,-6.9184875,-3.0505981
1997,11.0,10.0,17.0,9.0,11.0,1.9969177,-3.1036987,-4.884796,-6.595093,-3.5012817
1998,14.0,8.0,12.0,3.0,15.0,4.774658,-1.522583,-7.2335205,-8.397491,-2.017273
1999,19.0,12.0,13.0,11.0,9.0,1.785492,-4.0651245,-5.8551025,-7.228821,-3.8912659
2000,8.0,14.0,17.0,4.0,10.0,3.3764343,-2.99234,-5.5111084,-8.630737,-4.3194885
2001,15.0,16.0,9.0,7.0,14.0,1.4403381,-4.7778015,-8.301788,-9.501221,-4.2864075
2002,11.0,6.0,12.0,5.0,5.0,2.8345642,-5.1026,-5.602112,-5.031067,-1.7533875
2003,14.0,9.0,12.0,5.0,11.0,1.7619019,-5.570648,-7.2491455,-9.5971985,-4.344055
2004,6.0,12.0,13.0,11.0,8.0,3.8832397,-3.1115723,-4.7589417,-5.6430664,-2.8661194
2005,9.0,13.0,17.0,9.0,10.0,4.7477417,-3.2470093,-5.7745667,-7.839447,-3.6595154
2006,7.0,19.0,15.0,9.0,15.0,4.0584717,-2.978241,-6.5720825,-6.2659607,-1.4645996
2007,9.0,10.0,8.0,9.0,10.0,4.219818,-2.8175964,-5.587982,-5.273346,-2.1588745
2008,8.0,8.0,8.0,11.0,12.0,2.5143738,-2.928009,-7.5324707,-7.084015,-1.5852356
2009,8.0,11.0,11.0,13.0,11.0,3.0609436,-0.9501953,-3.8973389,-5.932434,-1.1013794
2010,13.0,7.0,15.0,7.0,11.0,2.4997559,-3.047699,-4.8336487,-6.3841553,-2.1351929
2011,9.0,12.0,14.0,9.0,9.0,3.922943,-1.1145325,-6.735901,-5.671173,-2.138031
2012,10.0,15.0,14.0,8.0,11.0,3.8938904,-4.0033264,-6.6406555,-8.338318,-4.1076965
2013,20.0,16.0,17.0,8.0,13.0,3.7219543,-3.7972412,-7.9381714,-7.9754333,-3.6717224
2014,14.0,18.0,11.0,13.0,13.0,4.1218567,-0.7251587,-6.4848633,-6.938385,-3.326538
2015,11.0,12.0,13.0,12.0,12.0,4.031769,-3.0368652,-5.0522766,-5.138336,-0.6394348
2016,16.0,9.0,10.0,8.0,6.0,2.857666,-1.8347168,-6.0438232,-6.44635,-2.0314636
2017,15.0,11.0,10.0,9.0,12.0,0.23477173,-4.0223694,-6.5112915,-6.115265,-3.2612305
2018,12.0,15.0,15.0,9.0,11.0,2.5715637,-3.6390686,-5.3898315,-8.52652,-1.2694397
2019,11.0,9.0,9.0,5.0,9.0,4.6322327,-2.8671875,-6.5846252,-7.7113953,-1.8635254
2020,7.0,10.0,7.0,6.0,8.0,2.1721191,-2.716278,-4.6083374,-7.216461,-0.7935486
2021,13.0,7.0,12.0,9.0,11.0,4.1197815,-3.6611633,-7.171936,-6.1649475,-0.88638306
2022,10.0,11.0,15.0,4.0,12.0,5.274597,-1.5827026,-5.586914,-6.816742,-1.6538086
2023,8.0,12.0,5.0,9.0,8.0,4.848755,-2.518219,-7.1707153,-7.4656677,0.8154907
2024,12.0,8.0,13.0,6.0,8.0,5.101654,-2.7742615,-5.0944214,-7.238983,-2.7113647
2025,14.0,12.0,12.0,10.0,14.0,3.995453,-3.409027,-4.0202637,-4.667328,-1.9395142
