seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,17.0,24.0,29.0,24.0,18.0,5.614258,-0.71447754,-3.9164429,-2.8309937,-0.38519287
1982,22.0,26.0,28.0,18.0,23.0,1.4360962,-0.799469,-3.9242554,-5.2363586,0.3375244
1983,16.0,26.0,19.0,25.0,16.0,4.613556,0.34872437,-3.1737976,-4.385376,-0.49850464
1984,20.0,25.0,26.0,26.0,23.0,3.482727,-2.373932,-6.1419067,-6.6686096,-3.7930908
1985,15.0,26.0,28.0,21.0,16.0,2.964264,-1.9822388,-6.768738,-3.6950684,-0.8457031
1986,26.0,25.0,26.0,24.0,22.0,4.519562,-2.9858093,-5.1496277,-5.6639404,-1.1170349
1987,21.0,20.0,27.0,20.0,21.0,2.8685608,-0.48571777,-4.408783,-3.2290955,0.08810425
1988,20.0,20.0,24.0,19.0,18.0,3.7554321,-0.9128113,-2.7059326,-6.3757935,-0.89837646
1989,20.0,25.0,22.0,15.0,20.0,2.2661743,-0.6539612,-2.555664,-2.0339966,1.7810059
1990,16.0,23.0,25.0,12.0,17.0,6.038727,-0.47961426,-4.817688,-1.4526062,1.8450928
1991,19.0,21.0,24.0,21.0,17.0,6.8011475,1.6384277,-2.9536133,-3.9167786,0.07357788
1992,20.0,21.0,19.0,25.0,15.0,4.083618,-0.45980835,-2.6072388,-3.2607117,0.52023315
1993,18.0,27.0,24.0,23.0,12.0,4.748871,-0.26272583,-2.5107117,-1.8755798,-0.10406494
1994,16.0,24.0,25.0,19.0,24.0,5.8146973,-1.0432434,-4.1931763,-3.2933655,-1.2769165
1995,14.0,25.0,26.0,19.0,18.0,4.600708,-1.2171326,-4.3980713,-4.0078125,0.12088013
1996,21.0,26.0,25.0,22.0,23.0,3.830841,-1.0175476,-4.587677,-3.4916992,-0.5786133
1997,23.0,26.0,28.0,21.0,18.0,3.947815,-0.5756836,-3.3754578,-2.7234497,0.13156128
1998,19.0,18.0,28.0,15.0,17.0,6.015686,-0.04714966,-5.183075,-4.1490784,0.6368103
1999,27.0,24.0,26.0,24.0,15.0,3.5047607,-0.8226013,-4.0470276,-3.8276672,0.02670288
2000,20.0,27.0,26.0,25.0,23.0,5.0277405,-0.9940796,-1.9855957,-4.0493164,-1.1039429
2001,19.0,25.0,27.0,21.0,25.0,3.6710205,-1.7039795,-5.6441956,-5.5384827,-0.68151855
2002,18.0,28.0,27.0,19.0,21.0,4.3752747,-3.137909,-2.9603577,-2.3469543,1.8120117
2003,22.0,21.0,26.0,15.0,15.0,1.677887,-2.437683,-4.1051636,-3.274475,-0.77560425
2004,17.0,24.0,24.0,23.0,12.0,5.93454,0.55270386,-3.3701172,-2.667694,0.26989746
2005,15.0,22.0,27.0,25.0,24.0,7.087616,0.23422241,-3.5991516,-4.5783386,-1.514679
2006,25.0,31.0,25.0,23.0,20.0,4.6193542,-3.3256226,-5.3289795,-3.6743774,-0.17810059
2007,22.0,21.0,20.0,14.0,22.0,5.133667,-0.23635864,-1.406311,-1.4967651,-0.4230652
2008,20.0,24.0,27.0,23.0,15.0,3.9701233,-1.0111694,-4.2068176,-4.6767883,1.9828491
2009,16.0,20.0,21.0,17.0,16.0,4.626831,0.25106812,-2.6782227,-2.7886353,0.28674316
2010,18.0,25.0,27.0,16.0,22.0,5.409607,-0.90859985,-3.2026672,-3.5390625,-0.584198
2011,18.0,26.0,29.0,16.0,23.0,4.9935303,0.06564331,-5.4659424,-3.9861145,-1.6537476
2012,20.0,27.0,26.0,24.0,22.0,5.9181824,-2.2068787,-5.6577454,-5.8283997,-0.85983276
2013,21.0,27.0,23.0,24.0,16.0,4.4072876,-2.427124,-5.449829,-5.1240845,-0.42330933
2014,20.0,26.0,27.0,18.0,22.0,4.477295,-0.43432617,-4.439331,-4.175293,0.12887573
2015,16.0,27.0,22.0,17.0,19.0,5.249298,-2.6019287,-3.5932312,-2.6982422,1.7420044
2016,19.0,18.0,28.0,24.0,11.0,6.2641296,0.26968384,-3.2622375,-2.834198,1.3934021
2017,23.0,23.0,24.0,23.0,19.0,3.0889893,-0.20559692,-3.4481812,-2.642395,0.13442993
2018,18.0,31.0,26.0,23.0,11.0,3.826477,-2.1090088,-4.239197,-5.4408875,1.6274109
2019,14.0,23.0,19.0,15.0,15.0,5.526306,-1.1797485,-3.5724487,-2.6853333,1.2971191
2020,13.0,23.0,19.0,21.0,20.0,4.1524963,-0.41378784,-1.9938354,-1.3417969,2.6459045
2021,18.0,25.0,24.0,21.0,13.0,5.401245,-1.6226501,-5.026062,-2.2147522,3.3123474
2022,19.0,23.0,26.0,19.0,18.0,6.8101807,-0.94299316,-4.078186,-4.1003113,1.2279053
2023,13.0,26.0,25.0,17.0,11.0,6.488678,-1.1773987,-3.5071106,-2.9064636,4.1925354
2024,22.0,24.0,25.0,11.0,23.0,6.5811462,-0.42251587,-1.3094788,-1.1365967,-0.015106201
2025,18.0,28.0,26.0,19.0,17.0,5.4259644,-1.2836304,-2.3722534,-3.1552124,1.4776001
