seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,16.0,25.0,28.0,20.0,12.0,8.243195,2.1650696,-0.96939087,-0.28851318,1.9620361
1982,17.0,21.0,23.0,18.0,18.0,3.8188477,2.0213318,-0.9148865,-1.74646,2.217041
1983,13.0,24.0,19.0,19.0,13.0,7.6087036,2.7764587,-0.05291748,-1.7031555,2.3304138
1984,16.0,25.0,26.0,24.0,22.0,6.526703,0.74487305,-2.1367798,-3.645752,-0.6126709
1985,11.0,23.0,26.0,16.0,14.0,6.0732117,0.7941284,-3.6684265,-1.0686646,1.3356323
1986,24.0,28.0,24.0,20.0,17.0,6.5067444,-0.16952515,-2.5096436,-2.8703918,1.1328735
1987,15.0,16.0,24.0,14.0,18.0,5.6371765,1.6150818,-2.1365051,-1.2406311,1.6908264
1988,18.0,16.0,23.0,21.0,13.0,5.933777,1.1640015,-0.9403076,-3.2288513,0.91760254
1989,20.0,24.0,15.0,9.0,11.0,5.353607,1.9411926,0.19555664,0.47521973,3.417511
1990,14.0,21.0,25.0,10.0,10.0,8.367554,2.262085,-1.6841431,1.3276672,3.7341309
1991,16.0,20.0,22.0,20.0,14.0,9.032837,4.0770264,0.53012085,-1.1304016,2.133667
1992,16.0,16.0,13.0,21.0,10.0,6.799591,1.8185425,0.081329346,-0.72821045,2.574585
1993,14.0,21.0,21.0,18.0,7.0,6.8294373,2.2896729,0.33410645,-0.2362976,2.2434998
1994,14.0,24.0,24.0,17.0,18.0,7.49527,1.7069092,-1.644104,-0.31307983,1.0735168
1995,10.0,23.0,26.0,12.0,13.0,7.125824,1.4376831,-1.1390686,-0.5267639,2.1595154
1996,20.0,22.0,24.0,20.0,17.0,6.705658,1.7621765,-1.3930054,-1.4790039,1.4518127
1997,18.0,20.0,25.0,18.0,13.0,6.061432,1.8818665,0.1244812,0.45187378,1.931488
1998,14.0,15.0,27.0,11.0,11.0,8.325592,2.5591125,-2.2481995,-0.92407227,2.9378357
1999,24.0,20.0,23.0,19.0,11.0,5.613037,1.0005188,-1.3305969,-1.6131592,1.7650146
2000,13.0,27.0,25.0,19.0,19.0,7.4138184,1.8946533,-0.3717041,-1.6993408,1.5598755
2001,16.0,29.0,23.0,19.0,17.0,6.003601,0.66012573,-2.3694458,-3.3641968,1.2131653
2002,17.0,27.0,25.0,13.0,16.0,7.2772217,-0.32040405,-0.23873901,0.12008667,3.364502
2003,26.0,19.0,24.0,13.0,16.0,4.5158386,-0.108062744,-1.1727295,-0.5050049,1.7745056
2004,12.0,20.0,27.0,21.0,12.0,8.183014,3.2907104,0.19735718,0.618927,2.124817
2005,11.0,24.0,28.0,23.0,17.0,9.498871,2.5421448,-0.32022095,-1.7262878,1.2162476
2006,19.0,29.0,24.0,17.0,18.0,7.5436096,-0.05517578,-1.8056946,-1.1589355,2.2787476
2007,16.0,18.0,20.0,13.0,19.0,5.993103,0.65133667,1.0304565,1.2634277,2.3082275
2008,17.0,19.0,19.0,17.0,12.0,6.4338684,1.9137573,-1.3786621,-1.161438,4.0038147
2009,16.0,22.0,22.0,18.0,17.0,7.412445,2.9960632,0.6029053,0.13946533,2.5509033
2010,15.0,22.0,28.0,18.0,13.0,7.458008,1.6265259,-0.3935852,-0.97195435,1.4189148
2011,15.0,23.0,23.0,11.0,14.0,7.757904,2.6175537,-2.172577,0.19839478,1.1810913
2012,13.0,19.0,24.0,23.0,16.0,7.8357544,0.06112671,-2.3727722,-2.6041565,1.1902161
2013,20.0,25.0,24.0,22.0,11.0,6.482849,-0.30355835,-2.1270142,-1.9573975,1.489685
2014,20.0,21.0,25.0,12.0,14.0,7.518921,2.707672,-1.17099,-1.1949158,1.8546753
2015,14.0,28.0,21.0,11.0,14.0,7.9283447,0.29537964,-0.16931152,0.5353699,3.7548523
2016,15.0,17.0,22.0,24.0,10.0,8.16333,3.1080627,-0.7026062,-0.15066528,3.4241333
2017,17.0,19.0,19.0,16.0,11.0,3.6455994,0.78396606,-1.7375183,-0.9389038,1.7976379
2018,17.0,28.0,25.0,21.0,10.0,5.985077,0.72216797,-0.586853,-1.8027039,3.3534546
2019,12.0,23.0,20.0,14.0,11.0,8.414001,1.910553,-0.41940308,-0.17016602,3.4363403
2020,13.0,21.0,15.0,18.0,13.0,6.606842,2.0670166,0.9189148,0.85131836,4.557831
2021,13.0,23.0,21.0,17.0,12.0,8.131134,0.9138794,-1.7193909,-0.56256104,4.8350525
2022,21.0,23.0,24.0,19.0,14.0,9.459686,2.2504272,-0.36984253,-0.5066223,3.2688599
2023,12.0,25.0,24.0,19.0,7.0,8.75116,1.6708374,-0.88879395,-0.030059814,5.4744873
2024,18.0,24.0,23.0,9.0,15.0,8.761017,2.0897827,1.3861694,0.76834106,2.2687683
2025,15.0,26.0,24.0,18.0,13.0,7.948639,1.2585144,1.0533142,0.490448,3.4042053
