seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,19.0,27.0,21.0,20.0,22.0,0.9005127,-4.6511536,-9.880524,-9.1605835,-5.959503
1982,26.0,19.0,24.0,21.0,22.0,-3.2583923,-5.732025,-9.887543,-10.158447,-4.632721
1983,19.0,25.0,23.0,17.0,18.0,0.3777771,-5.0081787,-8.826782,-10.840576,-5.919464
1984,15.0,24.0,25.0,23.0,25.0,0.5227356,-7.046631,-10.076813,-11.046814,-7.7427673
1985,20.0,22.0,25.0,21.0,21.0,-1.4483337,-6.891083,-12.816528,-7.9759827,-5.1901245
1986,24.0,30.0,27.0,22.0,18.0,-0.5328369,-8.46579,-11.247986,-10.820465,-6.2073975
1987,26.0,21.0,26.0,21.0,23.0,-1.4161072,-7.2752075,-10.545044,-9.330261,-5.085205
1988,22.0,26.0,26.0,24.0,21.0,-1.3803406,-7.379181,-8.638306,-10.563263,-5.3030396
1989,19.0,25.0,18.0,14.0,19.0,-1.8213196,-5.4598694,-7.823303,-7.89917,-2.4530334
1990,21.0,21.0,24.0,14.0,12.0,1.4848633,-6.3885193,-10.48288,-6.5587463,-3.4828796
1991,15.0,17.0,25.0,20.0,19.0,2.3679504,-3.1861267,-6.9781494,-9.0224,-5.121704
1992,19.0,21.0,19.0,21.0,14.0,0.0010070801,-6.517029,-8.602875,-8.021301,-4.938446
1993,18.0,23.0,23.0,20.0,12.0,-0.3722229,-5.895874,-7.658722,-8.086029,-5.5279236
1994,19.0,25.0,26.0,22.0,25.0,0.20950317,-6.4431458,-10.774658,-7.570526,-6.157593
1995,15.0,24.0,27.0,18.0,12.0,-0.36236572,-7.4765625,-9.342987,-9.089111,-5.677765
1996,22.0,24.0,28.0,21.0,17.0,0.64785767,-6.052643,-9.363556,-9.213593,-5.840149
1997,25.0,22.0,21.0,19.0,20.0,-1.3443604,-6.8983154,-8.71225,-8.121185,-6.2431335
1998,15.0,21.0,24.0,14.0,18.0,1.6505127,-5.082306,-11.422668,-10.396545,-4.3942566
1999,28.0,26.0,28.0,23.0,19.0,-1.9152527,-7.506653,-9.184357,-9.575775,-6.5947876
2000,19.0,30.0,21.0,18.0,23.0,0.02368164,-6.8124695,-9.089539,-11.123718,-6.1332397
2001,23.0,29.0,22.0,25.0,22.0,-2.2308044,-8.345642,-11.736389,-11.203766,-6.7516174
2002,21.0,25.0,21.0,17.0,17.0,-0.23632812,-9.148163,-8.925293,-6.5155334,-4.13739
2003,28.0,27.0,26.0,11.0,17.0,-1.8826904,-9.067108,-9.594757,-10.860413,-6.00531
2004,17.0,21.0,20.0,25.0,20.0,0.8505554,-6.306549,-8.958313,-7.429138,-5.089081
2005,20.0,28.0,27.0,22.0,26.0,2.1644287,-6.4630127,-9.343842,-9.788239,-5.4911194
2006,21.0,26.0,27.0,21.0,23.0,0.77279663,-8.098114,-10.125977,-8.192352,-4.3038025
2007,20.0,24.0,19.0,19.0,23.0,1.1514282,-6.296692,-8.537689,-8.178955,-5.1529846
2008,18.0,24.0,21.0,21.0,12.0,-0.8921814,-6.7813416,-10.821381,-9.524811,-2.5621948
2009,21.0,25.0,22.0,21.0,22.0,-0.48345947,-4.3027344,-7.522278,-8.417938,-3.62854
2010,20.0,24.0,29.0,23.0,23.0,-1.0899963,-6.5772705,-7.972687,-8.762817,-5.4608154
2011,19.0,25.0,26.0,15.0,24.0,0.8437195,-5.122467,-10.188202,-7.2923584,-5.435974
2012,19.0,25.0,28.0,25.0,18.0,0.79364014,-7.350342,-10.451538,-10.484833,-6.438507
2013,28.0,28.0,23.0,25.0,27.0,0.24502563,-7.8578186,-10.940826,-9.585114,-5.4735107
2014,22.0,25.0,28.0,18.0,17.0,1.320404,-4.757965,-9.699524,-9.485779,-5.286438
2015,18.0,29.0,20.0,16.0,14.0,1.3173523,-6.6027527,-7.7443542,-7.84021,-1.8773193
2016,17.0,24.0,29.0,27.0,17.0,-0.0071411133,-4.761688,-9.235596,-8.200165,-4.2748413
2017,28.0,23.0,17.0,18.0,17.0,-3.096283,-6.9809875,-9.768707,-8.168854,-4.9978027
2018,22.0,27.0,27.0,21.0,17.0,-0.74334717,-7.0206604,-8.22168,-9.67984,-3.5383606
2019,20.0,27.0,23.0,17.0,18.0,1.3374634,-6.121704,-9.437927,-8.98819,-4.3090515
2020,21.0,27.0,19.0,17.0,15.0,-1.335083,-5.809845,-8.332825,-8.742615,-2.0714722
2021,25.0,26.0,27.0,23.0,15.0,0.87631226,-7.120453,-10.041077,-7.710907,-2.7796326
2022,19.0,25.0,22.0,19.0,20.0,2.4127197,-5.232544,-9.160492,-8.280304,-3.4045715
2023,17.0,28.0,26.0,21.0,12.0,1.7434692,-6.4529724,-10.381866,-8.860596,-0.4468689
2024,22.0,26.0,22.0,14.0,16.0,2.040985,-6.180298,-7.9565735,-8.547302,-5.087494
2025,22.0,25.0,22.0,21.0,22.0,0.81655884,-7.8974,-7.1674805,-6.891144,-4.416626
