seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,11.0,8.0,5.0,9.0,14.0,15.989746,10.408508,6.6867676,7.6559143,10.736542
1982,9.0,7.0,7.0,8.0,11.0,13.614532,10.963562,8.362244,7.6696777,10.861298
1983,12.0,7.0,6.0,7.0,14.0,15.938995,11.437866,7.9749756,7.239563,9.61792
1984,10.0,6.0,9.0,4.0,12.0,14.227753,9.243866,6.716522,5.0300903,7.894745
1985,7.0,4.0,3.0,12.0,19.0,14.728424,10.361511,6.7167053,8.589508,10.12384
1986,8.0,7.0,4.0,8.0,15.0,15.590485,9.853668,6.8719177,6.4877625,9.611237
1987,9.0,11.0,6.0,7.0,14.0,14.565247,11.40506,8.619019,9.098419,11.117706
1988,13.0,8.0,6.0,8.0,18.0,15.034546,11.5477295,10.2291565,7.1311035,10.661774
1989,11.0,2.0,14.0,13.0,14.0,13.816132,10.4210205,10.254913,10.021423,11.297333
1990,10.0,9.0,10.0,18.0,14.0,16.044708,11.028931,8.357422,10.722931,11.704773
1991,10.0,5.0,9.0,6.0,14.0,17.701324,12.085297,8.564423,8.177063,11.793396
1992,11.0,9.0,9.0,8.0,20.0,15.713318,12.181519,9.830383,8.795837,12.083801
1993,11.0,9.0,16.0,8.0,12.0,16.017334,11.56665,9.634216,9.162872,9.945618
1994,7.0,16.0,10.0,8.0,14.0,16.303802,11.381165,8.327393,7.6292725,9.327789
1995,10.0,8.0,4.0,10.0,13.0,15.586639,11.172638,8.181885,8.034882,10.240601
1996,8.0,3.0,7.0,8.0,13.0,14.742462,9.78363,7.9863586,7.4217224,10.1831665
1997,11.0,6.0,4.0,7.0,13.0,15.526978,11.612671,8.1527405,8.240784,11.079498
1998,13.0,10.0,11.0,11.0,10.0,16.339905,12.0590515,8.448212,9.453796,11.001282
1999,6.0,7.0,5.0,7.0,17.0,15.946289,11.749054,8.733063,8.629913,11.994812
2000,9.0,6.0,14.0,7.0,10.0,16.595612,11.414398,10.1770935,7.287079,10.420044
2001,19.0,9.0,11.0,13.0,14.0,16.612305,11.128784,7.8685303,8.412811,11.040009
2002,9.0,9.0,5.0,7.0,10.0,15.64447,10.226196,9.349976,8.979279,12.758942
2003,11.0,14.0,8.0,13.0,15.0,13.817596,10.509399,8.152679,8.355621,10.129211
2004,18.0,7.0,7.0,7.0,13.0,17.314178,11.466675,7.96344,9.617523,10.945587
2005,10.0,12.0,11.0,8.0,12.0,17.542084,12.501404,8.734619,8.304169,10.547272
2006,8.0,4.0,10.0,10.0,14.0,15.46582,8.332764,7.4296265,9.196411,11.03064
2007,17.0,14.0,12.0,9.0,11.0,16.338135,11.739166,9.686981,10.029541,11.169159
2008,14.0,8.0,10.0,8.0,11.0,15.46225,11.644043,8.333832,7.592499,11.343323
2009,10.0,9.0,10.0,11.0,14.0,15.431641,12.397827,9.033569,9.365143,10.749939
2010,16.0,11.0,4.0,15.0,14.0,16.003296,11.359955,8.734161,8.619507,10.697998
2011,12.0,10.0,3.0,12.0,10.0,16.0195,12.162567,6.665924,9.2161255,9.173218
2012,12.0,7.0,6.0,10.0,13.0,16.502472,10.007416,7.3478394,7.7923584,10.614838
2013,15.0,11.0,8.0,12.0,14.0,14.907806,9.978668,7.5760193,7.7941895,12.338562
2014,11.0,6.0,6.0,12.0,10.0,15.42392,10.59613,8.285706,8.13504,10.685883
2015,15.0,8.0,11.0,10.0,14.0,16.577545,9.954071,8.511566,7.8619385,11.251068
2016,15.0,8.0,8.0,12.0,14.0,16.819672,12.588287,9.361725,9.370117,11.314667
2017,15.0,6.0,3.0,7.0,15.0,15.191528,12.219391,8.861969,8.728455,9.785248
2018,14.0,4.0,6.0,8.0,10.0,15.49646,10.302124,7.8702393,7.9363403,12.508331
2019,15.0,9.0,3.0,12.0,14.0,17.028168,11.61261,8.477631,9.842621,12.072723
2020,11.0,11.0,12.0,7.0,14.0,16.336609,12.51532,10.561462,10.267456,12.097839
2021,5.0,7.0,8.0,3.0,11.0,16.616882,11.109161,9.218842,10.225555,13.630676
2022,8.0,9.0,6.0,5.0,15.0,16.527863,10.862427,7.602478,7.809662,12.157227
2023,11.0,8.0,9.0,9.0,17.0,17.50412,11.05307,8.4747925,9.680084,13.919373
2024,9.0,7.0,7.0,13.0,13.0,17.025238,12.5555725,10.23761,10.307556,11.228027
2025,13.0,3.0,7.0,5.0,16.0,17.131683,10.955811,9.310974,8.423401,12.018494
