seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,8.0,25.0,24.0,16.0,12.0,9.042786,2.1016235,-0.45858765,0.60614014,4.890991
1982,13.0,15.0,17.0,10.0,13.0,6.3359375,2.951416,0.5316162,0.61950684,5.1744385
1983,16.0,14.0,16.0,17.0,18.0,9.974884,3.902954,1.1478882,0.29803467,4.7912292
1984,14.0,21.0,26.0,19.0,16.0,7.578308,2.122467,-1.0089111,-1.9064636,1.3797913
1985,8.0,19.0,17.0,18.0,14.0,8.328003,3.036316,-1.1529236,1.400238,4.7927246
1986,19.0,20.0,19.0,19.0,17.0,8.019043,1.7366943,-1.5545654,-1.2944336,3.8877869
1987,8.0,13.0,19.0,11.0,12.0,7.43277,3.8817139,0.8899536,1.4732361,4.562317
1988,10.0,11.0,19.0,16.0,16.0,8.663086,3.7688599,2.005066,-0.13739014,3.9555054
1989,16.0,13.0,13.0,16.0,13.0,6.35907,2.6205444,3.2011414,3.2712708,4.8891907
1990,15.0,15.0,22.0,10.0,14.0,9.267639,3.3894348,0.5430908,3.9285583,5.5864563
1991,13.0,17.0,23.0,22.0,13.0,10.673065,4.386444,1.1262512,0.6864319,5.6198425
1992,9.0,11.0,16.0,19.0,17.0,8.69342,4.8728943,2.2434387,1.9091797,6.1447144
1993,12.0,19.0,19.0,17.0,11.0,8.598206,4.2820435,1.9551697,2.3782043,3.764679
1994,17.0,20.0,15.0,15.0,14.0,9.740875,3.2684937,0.73773193,0.61868286,2.7585754
1995,10.0,19.0,25.0,13.0,18.0,9.72522,4.1099243,0.698822,0.96224976,4.872589
1996,15.0,19.0,23.0,15.0,19.0,6.763916,1.8136902,0.88653564,-0.061065674,4.0642395
1997,15.0,16.0,20.0,15.0,10.0,8.489136,3.8460388,0.6669922,0.90200806,5.0673523
1998,11.0,15.0,23.0,16.0,11.0,9.747192,4.08255,1.0584412,3.1509705,5.436035
1999,15.0,11.0,21.0,17.0,13.0,8.824646,4.4490967,1.461792,0.94467163,5.892273
2000,19.0,22.0,16.0,22.0,16.0,9.498566,3.5344849,1.9389648,-0.13360596,3.6571655
2001,11.0,17.0,22.0,15.0,19.0,9.81012,3.4771118,-0.37393188,1.2337341,4.32251
2002,12.0,21.0,22.0,16.0,15.0,8.333923,2.979126,1.8803711,2.382843,6.2685547
2003,22.0,20.0,22.0,14.0,12.0,6.397583,3.2225952,0.38815308,1.6486206,3.8214417
2004,17.0,20.0,20.0,17.0,13.0,11.281006,3.9059448,0.55078125,2.7581177,4.987915
2005,11.0,16.0,21.0,19.0,19.0,10.805389,5.2330627,1.0158386,1.1148987,4.177429
2006,11.0,28.0,17.0,17.0,19.0,8.547333,0.8972168,0.3577881,2.0648499,4.074463
2007,14.0,17.0,17.0,14.0,13.0,9.8461,4.416748,2.4317932,3.5415344,5.062866
2008,11.0,23.0,15.0,19.0,16.0,8.913391,4.7550354,1.1381226,0.47161865,5.875244
2009,15.0,16.0,19.0,15.0,13.0,8.633789,4.639038,1.6322937,3.3735352,5.2540894
2010,10.0,18.0,22.0,17.0,22.0,9.244904,3.8217773,1.4187317,3.2350159,5.128296
2011,10.0,24.0,25.0,8.0,16.0,8.431488,4.190674,-0.35385132,2.3962402,3.2549133
2012,13.0,17.0,21.0,20.0,18.0,10.813995,3.178955,0.5327759,0.29013062,4.341217
2013,15.0,23.0,16.0,18.0,7.0,8.088593,1.8991699,0.28933716,0.60040283,5.857422
2014,18.0,20.0,12.0,11.0,18.0,8.25708,3.2168274,0.84490967,1.21521,5.6235046
2015,13.0,23.0,22.0,15.0,14.0,9.901489,1.980835,1.4530945,2.0267944,5.9854736
2016,17.0,17.0,15.0,13.0,11.0,11.02356,5.40921,1.7867126,2.4508362,6.073242
2017,14.0,14.0,16.0,18.0,12.0,9.014679,4.73526,1.4074707,1.6726074,4.536682
2018,19.0,20.0,22.0,14.0,11.0,8.297089,2.6148987,0.39169312,0.49179077,6.890869
2019,9.0,21.0,13.0,8.0,18.0,10.443024,4.709564,1.7566833,3.2991333,6.2313232
2020,6.0,15.0,17.0,11.0,18.0,9.506744,5.423279,4.0807495,3.6362305,6.916992
2021,10.0,17.0,23.0,11.0,13.0,10.248352,4.1246033,1.3302612,3.5118713,7.8492737
2022,11.0,18.0,12.0,15.0,12.0,9.717255,4.0708923,0.5908203,0.92645264,6.6734314
2023,11.0,19.0,20.0,11.0,11.0,11.1026,3.4638672,1.9580688,2.5205078,8.585754
2024,12.0,19.0,19.0,13.0,18.0,10.306305,5.063202,2.5781555,3.8085938,5.0824585
2025,11.0,22.0,18.0,20.0,16.0,10.441162,3.608551,1.8125916,0.9053345,6.060425
