seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,4.0,12.0,6.0,8.0,10.0,9.288727,1.5604248,-0.5996704,1.1374207,6.1681213
1982,10.0,7.0,10.0,9.0,11.0,7.151245,3.4676208,0.8406677,1.975769,6.627899
1983,10.0,7.0,8.0,6.0,15.0,10.32196,3.6343994,1.8521118,1.0979614,5.8739624
1984,5.0,8.0,7.0,8.0,12.0,7.6195374,2.191162,-0.5739746,-0.5114746,2.7122803
1985,6.0,9.0,8.0,9.0,14.0,9.922485,3.323822,-0.05429077,2.112671,5.821808
1986,10.0,9.0,6.0,6.0,12.0,8.082672,1.8833923,-0.5198364,-0.2673645,4.990509
1987,3.0,10.0,11.0,7.0,16.0,8.275482,5.0180054,2.0255127,2.9023438,5.815033
1988,7.0,4.0,8.0,7.0,12.0,9.848602,4.2649536,2.6694336,1.2464905,4.7404175
1989,9.0,5.0,11.0,13.0,12.0,7.2423096,3.3242798,4.43042,4.2257996,5.5542603
1990,9.0,5.0,15.0,16.0,14.0,9.084808,4.2718506,1.3274841,4.869507,7.055084
1991,10.0,7.0,7.0,12.0,17.0,10.927948,4.1773987,1.5935059,1.6370544,6.9067383
1992,6.0,14.0,9.0,11.0,18.0,8.740295,6.162903,3.0405579,2.9407654,7.167267
1993,10.0,10.0,12.0,11.0,15.0,9.325867,4.9032593,3.1827393,3.4871826,4.97348
1994,13.0,8.0,11.0,12.0,7.0,10.062408,3.537262,2.0101929,2.0052795,4.1119995
1995,4.0,7.0,11.0,11.0,11.0,10.475494,4.6494446,1.3782959,2.0108337,6.0145874
1996,7.0,11.0,6.0,12.0,13.0,7.330841,2.426056,1.6611328,1.1348877,5.4604797
1997,12.0,11.0,8.0,8.0,10.0,8.957886,4.042206,0.9273987,2.5343628,6.5741577
1998,12.0,10.0,13.0,10.0,8.0,10.69635,4.9236145,1.4420166,4.4267273,6.458954
1999,7.0,6.0,6.0,12.0,14.0,9.381866,5.110504,1.8273315,2.3242798,7.279724
2000,9.0,10.0,16.0,12.0,12.0,9.260132,3.4941711,2.7590332,0.8432617,5.506134
2001,9.0,7.0,13.0,14.0,14.0,10.1315,4.409088,0.8428955,3.1257324,5.9410095
2002,10.0,9.0,9.0,5.0,9.0,8.372314,3.1845093,2.3363647,3.3401184,7.510895
2003,11.0,15.0,13.0,12.0,11.0,6.437744,4.0354614,1.3942566,3.6072693,5.019165
2004,16.0,14.0,3.0,7.0,12.0,11.920258,4.218292,0.8832092,3.8385315,6.33136
2005,7.0,11.0,11.0,9.0,15.0,10.893005,5.7598267,1.6290894,1.5763855,4.8993225
2006,7.0,11.0,9.0,14.0,14.0,9.47348,0.8126831,2.1510315,3.1280212,5.24115
2007,13.0,12.0,6.0,8.0,8.0,9.835571,4.530884,2.680542,4.8348083,6.4743347
2008,4.0,13.0,10.0,10.0,15.0,9.45462,4.9036865,2.024292,1.4529114,6.4933777
2009,9.0,9.0,13.0,10.0,10.0,8.847443,4.977783,2.4047852,4.9656677,6.212921
2010,11.0,7.0,9.0,9.0,17.0,9.312592,4.038788,1.6534729,4.4298096,5.809082
2011,5.0,9.0,8.0,11.0,7.0,8.739258,3.828308,-0.57559204,3.5508118,4.224823
2012,7.0,7.0,9.0,11.0,9.0,11.5065,3.493225,1.1609497,0.8444214,5.4786987
2013,11.0,14.0,4.0,10.0,7.0,8.167786,2.3277588,0.97354126,2.4518127,7.2718506
2014,10.0,10.0,9.0,10.0,13.0,8.619446,3.1178894,2.2815552,2.8115845,6.718933
2015,9.0,9.0,11.0,8.0,8.0,10.11618,1.8109436,2.1299438,2.3619385,6.43808
2016,14.0,7.0,8.0,7.0,7.0,11.393951,5.413513,1.8156128,2.8024902,6.833832
2017,10.0,11.0,7.0,9.0,8.0,9.641754,5.4710083,2.0896606,2.6844788,5.328125
2018,9.0,4.0,12.0,5.0,9.0,8.648956,2.1712036,0.99560547,1.1488953,7.194641
2019,5.0,13.0,6.0,7.0,12.0,9.623535,5.1967163,2.657013,4.1197205,6.7376404
2020,4.0,9.0,8.0,9.0,13.0,9.911316,5.6905823,4.3896484,4.51239,7.56131
2021,7.0,3.0,9.0,5.0,9.0,10.442352,3.5429382,1.8321838,4.5372925,8.497864
2022,6.0,2.0,5.0,4.0,11.0,9.514587,4.259186,1.7732544,1.4260864,7.7785645
2023,8.0,7.0,8.0,8.0,10.0,11.572144,3.1481628,2.5438232,3.677826,9.2211
2024,8.0,7.0,9.0,11.0,11.0,10.612061,5.3631897,3.3457642,4.6004333,6.5412292
2025,11.0,6.0,4.0,10.0,11.0,10.529419,3.6579285,1.976654,0.9015503,6.597107
