seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,16.0,28.0,30.0,21.0,18.0,8.19696,1.0804749,-2.027954,-0.657959,3.389618
1982,22.0,18.0,27.0,18.0,20.0,5.0951843,1.8569641,-1.1528015,-1.6228333,3.7583008
1983,19.0,25.0,22.0,22.0,18.0,8.962799,3.1257935,-0.48550415,-1.3734436,3.2713013
1984,19.0,27.0,29.0,24.0,23.0,6.377899,0.31802368,-2.7945251,-3.898468,-1.3137207
1985,15.0,22.0,27.0,23.0,19.0,7.1114197,1.6501465,-3.3829956,-0.85873413,2.6169739
1986,23.0,25.0,25.0,25.0,20.0,7.022156,0.3901062,-2.8840637,-3.4548645,1.5672302
1987,17.0,19.0,27.0,18.0,23.0,6.3938904,3.0299683,-0.7839966,-0.069488525,2.9848022
1988,15.0,19.0,22.0,20.0,21.0,7.439972,2.6124573,0.46643066,-2.5342102,2.033905
1989,27.0,21.0,20.0,21.0,19.0,5.2998962,1.4753723,1.7894592,1.5045166,3.4823914
1990,16.0,25.0,28.0,15.0,19.0,8.527283,2.0932922,-1.5261841,2.2939453,4.281708
1991,20.0,23.0,26.0,24.0,19.0,9.86377,3.2884521,-0.42349243,-1.3883057,3.660675
1992,15.0,21.0,24.0,23.0,16.0,7.638397,3.5526733,0.6911621,-0.13220215,4.020813
1993,15.0,23.0,24.0,23.0,19.0,7.8057556,2.655548,0.28796387,0.526886,2.3327942
1994,20.0,25.0,24.0,22.0,19.0,8.937195,1.6671143,-0.925354,-1.862793,0.95858765
1995,16.0,24.0,28.0,21.0,19.0,8.385071,2.3463135,-1.4429626,-1.5722351,2.8885803
1996,21.0,26.0,27.0,22.0,22.0,5.7289734,0.58551025,-1.4620361,-2.050537,2.1750488
1997,24.0,25.0,27.0,19.0,15.0,7.3916016,2.6816711,-1.0293274,-1.442688,3.4864807
1998,17.0,21.0,30.0,15.0,17.0,8.566315,2.9994812,-0.26223755,0.5451355,3.7626038
1999,20.0,23.0,27.0,23.0,19.0,7.6602173,3.2928467,-0.78219604,-1.0711365,4.1795654
2000,21.0,28.0,22.0,28.0,21.0,8.384949,2.0872803,0.41122437,-1.99823,1.361908
2001,18.0,22.0,27.0,22.0,21.0,8.308533,1.8234863,-2.0963135,-1.8591309,2.0350952
2002,16.0,29.0,26.0,20.0,17.0,7.185211,1.2120361,0.099975586,-0.015960693,4.725525
2003,27.0,24.0,27.0,22.0,15.0,4.914093,1.5257874,-1.5254211,-0.36010742,2.2888489
2004,19.0,27.0,26.0,21.0,15.0,10.128723,2.5483093,-0.94259644,0.5623779,3.3782349
2005,19.0,19.0,25.0,24.0,23.0,9.732788,3.8806152,-0.78445435,-1.5426025,1.7675781
2006,23.0,29.0,27.0,21.0,23.0,7.63739,-0.6163635,-2.1027527,-0.9262085,2.0690002
2007,19.0,25.0,19.0,15.0,17.0,8.729279,3.0550842,0.91415405,1.8548889,3.314911
2008,15.0,27.0,22.0,23.0,22.0,7.481781,3.531128,-0.7937317,-1.6860046,4.3969727
2009,20.0,20.0,23.0,17.0,17.0,7.558075,3.2807617,-0.039733887,1.447815,3.778839
2010,17.0,23.0,26.0,20.0,26.0,8.1336975,2.3937988,-0.31262207,0.116363525,3.110321
2011,21.0,26.0,30.0,14.0,22.0,7.6154785,3.2306824,-2.1054993,-1.100647,1.0528259
2012,20.0,28.0,28.0,23.0,24.0,9.689362,1.4190063,-1.6048584,-2.0818481,2.3879395
2013,24.0,26.0,27.0,26.0,15.0,6.9573975,0.31347656,-1.5610046,-1.8955994,4.1348877
2014,23.0,29.0,23.0,18.0,21.0,7.3269043,2.0055847,-1.2008667,-1.2383423,3.648285
2015,18.0,27.0,27.0,19.0,16.0,8.940399,0.3000183,-0.2012024,0.6047058,4.552185
2016,21.0,21.0,27.0,20.0,13.0,10.057587,4.2433167,0.776001,0.7819214,4.6350403
2017,22.0,25.0,23.0,21.0,16.0,7.584076,3.8056335,0.117370605,0.25595093,2.9859009
2018,20.0,26.0,28.0,21.0,14.0,7.150482,1.3091736,-0.83062744,-0.7364197,5.3286133
2019,18.0,24.0,24.0,16.0,19.0,9.3594055,3.3969421,0.06109619,1.6701355,4.627075
2020,13.0,19.0,24.0,22.0,20.0,8.310303,4.2532043,2.8421326,2.4710693,5.4002686
2021,16.0,25.0,26.0,16.0,12.0,9.426941,2.9917908,0.11798096,2.1479797,6.176544
2022,15.0,25.0,24.0,20.0,14.0,8.858185,2.9631958,-0.98916626,-0.5414429,5.0961914
2023,14.0,28.0,25.0,16.0,12.0,10.168488,2.5381165,0.6498108,1.1035461,7.221039
2024,19.0,24.0,25.0,18.0,21.0,9.564575,4.233307,1.2380371,2.222107,3.56781
2025,17.0,30.0,25.0,22.0,19.0,9.317749,2.3561707,0.83724976,-0.45150757,4.8905334
