seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,3.0,10.0,4.0,9.0,11.0,13.828461,6.865753,4.52829,5.7492676,9.516541
1982,9.0,3.0,8.0,7.0,12.0,11.860199,8.714905,5.04834,5.124176,8.815765
1983,10.0,6.0,5.0,5.0,13.0,14.752319,8.82428,6.0308533,4.7230225,8.083801
1984,4.0,6.0,10.0,7.0,11.0,12.466675,6.8576355,3.5466614,3.2948608,5.683502
1985,5.0,8.0,5.0,10.0,12.0,13.823944,8.052521,4.509491,6.8134766,9.3526
1986,11.0,6.0,6.0,4.0,13.0,12.974457,7.548828,4.767914,4.5244446,8.843018
1987,4.0,9.0,8.0,7.0,12.0,12.960388,9.797821,7.036499,7.2896423,9.298981
1988,5.0,4.0,5.0,8.0,11.0,14.00119,9.607758,7.939148,6.117798,9.115784
1989,7.0,5.0,10.0,12.0,10.0,11.722168,8.196106,8.242737,8.461517,9.59903
1990,10.0,9.0,14.0,12.0,10.0,13.782654,9.007599,6.5542603,9.091248,10.139893
1991,9.0,8.0,7.0,10.0,15.0,15.125916,9.484039,6.2195435,6.3249207,10.443359
1992,7.0,9.0,8.0,7.0,17.0,13.525848,10.336182,8.07254,7.5789795,10.804413
1993,9.0,9.0,15.0,8.0,8.0,13.728638,9.8472595,8.080994,8.297424,9.1354065
1994,11.0,11.0,9.0,8.0,6.0,14.289276,8.947418,6.913269,6.4406433,7.873932
1995,7.0,7.0,7.0,4.0,11.0,14.708893,9.559235,6.39624,6.5064087,9.760162
1996,7.0,10.0,7.0,9.0,11.0,12.079498,7.3668823,6.858124,6.064453,8.907806
1997,10.0,6.0,7.0,6.0,11.0,13.513519,9.251801,5.8625793,6.6135254,10.641968
1998,10.0,9.0,12.0,11.0,10.0,14.557922,9.666718,7.0606384,8.924896,10.813965
1999,6.0,7.0,6.0,9.0,13.0,14.186096,10.485321,7.4011536,7.208496,10.965851
2000,9.0,4.0,14.0,5.0,10.0,14.21637,8.884857,7.6365356,5.541626,9.411285
2001,10.0,8.0,10.0,11.0,13.0,14.55661,9.163971,5.659729,7.064972,9.566406
2002,8.0,9.0,8.0,9.0,8.0,13.3333435,8.685394,7.7295227,8.06842,11.686523
2003,8.0,13.0,8.0,10.0,12.0,11.479858,8.961853,6.64093,7.8731384,9.241821
2004,12.0,9.0,8.0,6.0,11.0,15.654358,9.0572815,6.3666687,8.718567,10.458099
2005,7.0,8.0,6.0,7.0,12.0,15.022369,10.209015,6.0518494,6.1143494,8.604065
2006,7.0,9.0,7.0,11.0,10.0,14.010559,6.142456,6.684082,7.881073,9.512817
2007,10.0,9.0,7.0,8.0,8.0,14.740112,9.470703,7.773834,8.567902,9.923401
2008,5.0,7.0,8.0,10.0,13.0,13.914825,9.622559,6.6190796,5.8320007,10.37677
2009,8.0,7.0,9.0,10.0,9.0,13.788879,9.870636,7.1272583,8.602814,9.776215
2010,11.0,8.0,8.0,10.0,17.0,14.18222,8.985809,6.611084,8.195496,9.541107
2011,4.0,9.0,5.0,10.0,5.0,13.608307,9.00589,4.26416,7.719452,8.141785
2012,8.0,4.0,5.0,9.0,13.0,15.659393,8.2673645,5.6307983,5.0603943,8.916321
2013,11.0,8.0,3.0,11.0,5.0,12.939484,7.0374756,5.6877747,6.6369324,10.812256
2014,8.0,8.0,6.0,9.0,12.0,13.32666,8.054932,6.761566,6.671112,10.113495
2015,10.0,10.0,10.0,10.0,12.0,14.570068,7.1171265,6.836609,7.152313,10.291046
2016,11.0,6.0,4.0,7.0,8.0,15.4418335,10.20932,6.947815,7.6774597,10.266724
2017,10.0,7.0,6.0,10.0,7.0,14.1345215,10.035736,6.5348816,6.36734,8.437622
2018,9.0,5.0,5.0,4.0,9.0,13.331055,7.439636,5.2726135,4.8745728,9.677246
2019,5.0,11.0,4.0,7.0,11.0,14.7378235,9.630066,6.741699,7.539215,9.777679
2020,5.0,8.0,9.0,7.0,14.0,14.401855,10.260956,8.532318,7.978882,10.243652
2021,7.0,4.0,8.0,4.0,11.0,14.915527,8.9001465,6.053406,7.6055603,10.733673
2022,6.0,6.0,3.0,2.0,12.0,14.453796,9.109955,5.6831055,5.195404,9.963837
2023,8.0,5.0,9.0,9.0,10.0,15.77359,8.223267,6.527588,6.9431763,11.427673
2024,8.0,6.0,8.0,13.0,12.0,14.726776,9.717957,7.285095,7.6395874,8.905426
2025,6.0,2.0,5.0,5.0,12.0,15.1285095,8.704102,6.2190857,4.771179,9.289856
