seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,26.0,12.0,10.0,2.0,22.0,26.558594,26.365662,26.635162,28.363708,29.685455
1982,22.0,9.0,4.0,2.0,10.0,25.99405,26.444946,26.795898,28.80423,29.317505
1983,19.0,7.0,4.0,0.0,2.0,27.255463,27.618256,28.133087,28.393951,29.322357
1984,18.0,20.0,17.0,18.0,19.0,26.377777,26.97229,27.133942,27.4935,28.105042
1985,23.0,8.0,10.0,11.0,19.0,26.527588,26.592896,26.685394,27.897736,29.275238
1986,20.0,16.0,9.0,10.0,23.0,25.894684,26.758484,27.275482,27.514526,28.499847
1987,16.0,14.0,5.0,13.0,8.0,26.181183,27.634338,27.89206,28.439667,29.493134
1988,19.0,19.0,3.0,10.0,18.0,26.624023,26.546051,26.93454,29.07312,29.201385
1989,20.0,11.0,4.0,3.0,17.0,26.97461,27.056274,28.003326,28.781128,29.154999
1990,16.0,9.0,5.0,0.0,7.0,26.812256,26.836395,27.487396,28.756073,29.38742
1991,22.0,11.0,5.0,3.0,20.0,26.540802,27.391998,28.352844,29.313354,29.77295
1992,18.0,10.0,2.0,2.0,0.0,26.46344,26.04956,26.46231,28.042755,29.609467
1993,24.0,9.0,0.0,5.0,15.0,26.267914,25.710907,26.485504,27.66159,28.880219
1994,24.0,15.0,6.0,12.0,9.0,26.422577,26.285278,26.37851,27.461212,29.235474
1995,22.0,2.0,9.0,5.0,8.0,26.680206,26.583954,27.303162,28.799225,28.927002
1996,22.0,2.0,6.0,8.0,7.0,25.958435,26.08075,27.452698,28.532104,29.632904
1997,24.0,13.0,3.0,1.0,16.0,26.32251,25.446838,26.342834,27.88092,29.336304
1998,29.0,24.0,9.0,3.0,5.0,26.683075,27.072693,27.264404,28.496552,30.083221
1999,22.0,17.0,1.0,9.0,14.0,25.789703,26.271912,26.798615,29.079529,29.744263
2000,21.0,6.0,8.0,15.0,10.0,26.164032,26.256653,27.280151,27.027557,28.168549
2001,17.0,7.0,8.0,5.0,10.0,26.927246,26.275787,27.581024,27.852386,29.39914
2002,23.0,15.0,6.0,9.0,12.0,26.479462,26.551636,27.193054,28.837372,29.855743
2003,24.0,5.0,3.0,19.0,25.0,26.678802,26.479248,27.802338,28.539124,29.066833
2004,23.0,5.0,6.0,3.0,15.0,26.926361,26.585175,27.164978,28.55893,29.976593
2005,19.0,2.0,9.0,9.0,16.0,26.7229,26.210724,27.324402,28.15622,29.323944
2006,23.0,15.0,8.0,2.0,19.0,25.814667,26.079102,27.065979,28.438995,28.62384
2007,27.0,4.0,1.0,6.0,18.0,26.620422,26.19519,27.223206,28.210022,29.73639
2008,17.0,6.0,1.0,13.0,20.0,26.430664,26.463104,26.75589,28.480469,27.487366
2009,14.0,11.0,3.0,2.0,23.0,26.776703,26.761292,27.212433,28.730255,29.259308
2010,23.0,16.0,6.0,8.0,17.0,26.733887,27.07843,27.537048,29.231262,30.194092
2011,29.0,16.0,7.0,8.0,12.0,25.948395,25.651764,26.565613,27.12024,28.641724
2012,15.0,8.0,7.0,4.0,19.0,26.707764,26.673004,26.928192,28.603973,29.059967
2013,12.0,10.0,6.0,10.0,22.0,26.861908,27.67517,28.303009,28.510132,29.43924
2014,28.0,6.0,6.0,14.0,13.0,26.728485,26.390808,27.419281,28.53894,30.052856
2015,20.0,17.0,3.0,8.0,22.0,26.823822,27.056244,27.13208,28.779083,29.413086
2016,25.0,18.0,4.0,12.0,17.0,26.854218,26.951752,27.286926,28.968506,30.016663
2017,14.0,7.0,11.0,6.0,27.0,26.998108,27.39032,27.755402,28.838531,28.834473
2018,24.0,11.0,6.0,5.0,22.0,27.022095,26.582397,27.219543,29.063995,29.821503
2019,25.0,14.0,1.0,8.0,16.0,27.304626,27.373383,26.96817,29.500183,30.316406
2020,28.0,20.0,12.0,10.0,25.0,27.638275,27.490173,28.22992,29.482635,29.907227
2021,21.0,17.0,19.0,11.0,22.0,27.553589,27.018188,27.098785,28.111664,29.671906
2022,29.0,12.0,10.0,8.0,17.0,26.404144,26.679413,27.409393,28.507599,29.66391
2023,23.0,14.0,5.0,0.0,14.0,26.57962,27.060303,26.884369,28.73999,29.714508
2024,26.0,15.0,12.0,2.0,12.0,27.513672,27.41809,27.572876,29.37436,30.790497
2025,23.0,16.0,4.0,2.0,27.0,27.542816,27.220337,27.709137,29.531769,29.703339
