seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,7.0,12.0,6.0,11.0,6.0,4.793579,-0.010437012,-4.9949646,-5.3283997,-2.694458
1982,5.0,9.0,11.0,2.0,11.0,1.2992249,-0.93743896,-5.5130005,-7.136627,-0.8687439
1983,9.0,5.0,5.0,8.0,7.0,4.6320496,-0.2038269,-4.560211,-6.77771,-2.7944336
1984,6.0,6.0,9.0,7.0,12.0,4.3370056,-1.7946777,-5.179352,-7.8010254,-4.106903
1985,3.0,6.0,9.0,8.0,9.0,3.0582275,-2.3397217,-7.904724,-4.408722,-1.7030334
1986,10.0,6.0,8.0,4.0,13.0,3.5641174,-4.1151733,-7.4541626,-7.818451,-3.246338
1987,9.0,8.0,11.0,6.0,8.0,3.051941,-2.4180603,-6.835602,-6.031616,-0.98516846
1988,8.0,10.0,3.0,2.0,10.0,3.4572449,-2.1680908,-4.590515,-6.0509033,-1.4569397
1989,10.0,4.0,10.0,3.0,12.0,2.7561646,-1.0088196,-3.4102173,-3.465271,0.625
1990,12.0,6.0,6.0,5.0,8.0,5.325653,-1.2700806,-6.7992554,-2.8357544,0.5303955
1991,9.0,8.0,6.0,8.0,6.0,6.0678406,1.0067139,-2.8208008,-4.8601685,-1.2408142
1992,7.0,7.0,7.0,5.0,6.0,3.9344177,-1.3910522,-4.9427795,-4.1118774,-0.8392639
1993,7.0,8.0,8.0,10.0,1.0,4.0749817,-1.2115479,-3.498169,-4.1738586,-1.0012512
1994,8.0,9.0,7.0,6.0,9.0,4.215393,-1.491272,-6.324585,-4.2676697,-1.9589844
1995,6.0,4.0,11.0,7.0,10.0,4.2349854,-2.5240173,-4.8023376,-5.143585,-1.2823486
1996,8.0,7.0,9.0,3.0,7.0,4.9157715,-1.3242493,-5.634735,-5.627472,-2.0455933
1997,11.0,10.0,6.0,6.0,10.0,3.17099,-1.3572693,-4.0722656,-4.9559937,-1.8955688
1998,9.0,7.0,7.0,2.0,9.0,6.00708,-0.4467163,-7.164276,-7.0677185,-0.67251587
1999,13.0,5.0,7.0,6.0,7.0,2.8418884,-2.7644043,-4.744507,-5.1444397,-2.1400452
2000,7.0,8.0,13.0,4.0,11.0,4.4468384,-1.4153137,-4.8305664,-7.519989,-2.2252502
2001,5.0,9.0,6.0,3.0,10.0,2.902649,-3.489502,-6.965912,-8.194275,-2.9851074
2002,7.0,3.0,6.0,5.0,5.0,3.8684082,-4.530426,-5.0354004,-4.3182983,-0.28625488
2003,8.0,2.0,8.0,4.0,8.0,2.4283142,-4.7877197,-6.6647034,-7.369507,-2.5437012
2004,6.0,6.0,10.0,9.0,7.0,4.9340515,-1.6109619,-4.491211,-4.616913,-1.5030823
2005,7.0,9.0,9.0,5.0,8.0,5.8934326,-1.876709,-4.2652283,-5.614746,-2.2523499
2006,9.0,10.0,7.0,7.0,11.0,4.8739014,-3.0620117,-6.728058,-4.5615845,-0.17266846
2007,9.0,11.0,4.0,6.0,8.0,5.5455017,-1.6452026,-5.129364,-3.75885,-0.5913086
2008,6.0,4.0,2.0,5.0,8.0,3.3590393,-1.8703003,-7.0378723,-5.5750732,0.7704773
2009,8.0,9.0,8.0,6.0,9.0,4.0248413,0.43728638,-3.1117554,-4.4227295,0.029510498
2010,11.0,9.0,8.0,7.0,7.0,4.0091553,-2.0835876,-4.422394,-4.832428,-1.3344727
2011,9.0,12.0,2.0,6.0,2.0,5.1736755,0.30245972,-6.6013794,-3.5105896,-0.9953308
2012,5.0,5.0,6.0,4.0,13.0,4.9067383,-3.1196594,-6.9235535,-7.417694,-2.5546875
2013,16.0,10.0,5.0,6.0,10.0,4.714264,-3.5278625,-7.3971863,-6.1171265,-1.5516968
2014,7.0,8.0,4.0,6.0,9.0,5.264435,0.27230835,-5.0747375,-4.9778748,-1.8155823
2015,7.0,4.0,9.0,7.0,11.0,4.856415,-2.4440613,-3.9867249,-3.7000732,0.36587524
2016,12.0,8.0,4.0,6.0,3.0,4.792267,-0.0848999,-5.3421936,-5.251709,-0.638855
2017,8.0,10.0,7.0,6.0,5.0,1.881897,-3.193756,-6.4417114,-4.5703125,-1.2249451
2018,12.0,10.0,10.0,7.0,7.0,4.1828003,-2.3953857,-3.9672241,-5.9350586,0.35324097
2019,7.0,4.0,5.0,4.0,4.0,5.170685,-1.8461304,-5.371826,-5.734314,-0.34036255
2020,8.0,10.0,6.0,5.0,12.0,3.4898376,-1.312439,-3.9653625,-5.079834,0.84884644
2021,9.0,3.0,11.0,6.0,12.0,5.368805,-2.2962646,-5.8398743,-4.141083,0.90914917
2022,7.0,8.0,7.0,4.0,11.0,6.2903137,-0.6086731,-5.1019897,-5.6369934,-0.026733398
2023,7.0,7.0,6.0,5.0,8.0,5.965576,-1.4555359,-6.0456543,-5.9289246,1.7680969
2024,10.0,8.0,7.0,3.0,6.0,6.260193,-1.6499023,-3.5844116,-4.4101257,-1.2728577
2025,6.0,8.0,5.0,4.0,11.0,5.759491,-2.2755127,-2.9718018,-3.8389282,-0.0057373047
