seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,13.0,6.0,3.0,8.0,11.0,24.002014,19.829468,18.108612,18.343445,20.191132
1982,9.0,7.0,6.0,10.0,10.0,23.385956,20.276123,18.147064,18.856506,20.059021
1983,8.0,19.0,13.0,17.0,20.0,23.99701,20.73935,19.805359,18.557404,19.704163
1984,7.0,3.0,12.0,10.0,14.0,22.967865,19.746674,18.027771,17.81726,18.997986
1985,14.0,14.0,6.0,16.0,12.0,23.782806,20.472961,18.470306,18.886292,20.111786
1986,6.0,17.0,6.0,9.0,14.0,22.978455,20.095642,17.509521,17.137787,18.897797
1987,18.0,6.0,5.0,6.0,14.0,23.75357,20.97171,18.710388,18.380188,20.44925
1988,10.0,9.0,14.0,9.0,18.0,24.585114,21.024658,20.08554,19.606995,21.081116
1989,6.0,5.0,7.0,3.0,5.0,22.288788,20.189056,19.700531,19.10263,19.242645
1990,10.0,9.0,10.0,11.0,9.0,23.199982,20.397278,18.923523,20.05194,19.730316
1991,9.0,5.0,13.0,6.0,11.0,24.196655,20.883423,19.493927,18.449219,20.756775
1992,13.0,8.0,9.0,12.0,13.0,23.294373,21.541595,19.579773,18.468384,21.826477
1993,11.0,12.0,15.0,5.0,13.0,23.193573,21.355988,19.989594,18.84433,19.316711
1994,12.0,10.0,8.0,12.0,11.0,24.016815,21.09021,19.513397,18.54486,18.600952
1995,9.0,8.0,12.0,14.0,14.0,24.07077,22.16159,19.47525,18.21457,18.842194
1996,13.0,4.0,9.0,11.0,12.0,22.867645,20.079437,19.10019,18.609924,20.139496
1997,6.0,3.0,12.0,8.0,9.0,23.559113,20.107147,18.74469,18.816101,20.516632
1998,12.0,11.0,13.0,20.0,14.0,23.800293,21.65271,20.330414,20.335724,20.3013
1999,17.0,15.0,8.0,2.0,15.0,24.783173,22.425629,19.898376,19.219818,21.905304
2000,6.0,11.0,9.0,11.0,13.0,23.966583,20.704346,19.772095,18.063904,19.131409
2001,14.0,12.0,11.0,10.0,14.0,25.491943,22.323578,20.038147,19.945312,19.507324
2002,9.0,9.0,6.0,4.0,12.0,23.480774,20.786133,18.731903,18.539215,20.158447
2003,12.0,15.0,5.0,5.0,11.0,22.84082,20.865692,18.217834,19.042664,18.91858
2004,10.0,5.0,15.0,7.0,12.0,24.892212,21.091522,18.865204,18.835876,19.713379
2005,3.0,16.0,10.0,14.0,14.0,24.155243,22.39392,19.21698,19.591095,18.959778
2006,13.0,9.0,10.0,10.0,14.0,24.104767,19.458496,20.131897,19.176514,19.236237
2007,17.0,11.0,15.0,6.0,10.0,24.161957,21.627167,19.827911,19.156586,19.623169
2008,15.0,7.0,10.0,11.0,8.0,24.256866,21.39038,20.435211,18.56546,19.839722
2009,17.0,5.0,7.0,3.0,13.0,24.059906,20.739044,18.96585,20.347382,20.173248
2010,10.0,9.0,9.0,18.0,6.0,23.727905,20.546692,19.041473,19.77649,20.500671
2011,10.0,11.0,8.0,10.0,6.0,23.431946,20.267975,17.626709,19.2081,18.502655
2012,12.0,15.0,14.0,10.0,8.0,24.756165,20.821198,19.4617,19.134705,20.61142
2013,12.0,10.0,7.0,7.0,11.0,22.550781,20.178528,18.877472,19.678986,20.44638
2014,9.0,7.0,6.0,12.0,11.0,22.57016,20.271942,18.798737,18.904144,18.896759
2015,8.0,13.0,6.0,8.0,9.0,23.7128,20.1279,18.86618,18.138763,19.22763
2016,7.0,13.0,15.0,8.0,10.0,24.728577,22.1362,20.109344,18.615936,19.663757
2017,5.0,9.0,5.0,6.0,9.0,25.025848,22.124847,19.845184,18.849365,19.40326
2018,11.0,11.0,13.0,11.0,7.0,24.190857,20.44986,19.335114,18.639679,20.141968
2019,4.0,12.0,6.0,12.0,10.0,24.008911,22.349304,20.105957,20.844482,20.643219
2020,13.0,13.0,7.0,5.0,11.0,24.483215,22.170044,20.91452,20.588348,21.099182
2021,11.0,22.0,9.0,8.0,9.0,24.534637,21.805359,19.52185,20.391418,21.484009
2022,9.0,7.0,8.0,10.0,12.0,23.476501,20.621887,19.273346,18.479248,20.656708
2023,10.0,16.0,4.0,7.0,7.0,25.235046,21.575592,19.49881,19.787018,20.549652
2024,11.0,14.0,4.0,7.0,10.0,24.438019,21.777405,19.686005,20.932922,20.446106
2025,11.0,10.0,13.0,7.0,9.0,25.689789,21.171112,19.204285,18.034607,19.902863
