seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,30.0,30.0,31.0,28.0,31.0,6.888733,7.1202393,6.9100647,6.764862,7.3249207
1982,30.0,30.0,29.0,28.0,31.0,7.157837,7.1457825,7.143982,6.7388,7.078705
1983,29.0,31.0,31.0,28.0,31.0,6.8840637,7.546234,7.9782104,8.203369,8.424683
1984,30.0,31.0,31.0,29.0,31.0,7.232147,6.784088,5.9706116,5.9673157,6.640625
1985,29.0,31.0,31.0,28.0,31.0,6.8074646,6.636627,6.2322083,6.3824463,6.296295
1986,30.0,31.0,31.0,28.0,31.0,6.5045166,6.54541,6.7301025,6.0969543,6.2611084
1987,27.0,31.0,31.0,28.0,31.0,7.121521,7.353302,7.276642,7.496582,7.4580383
1988,30.0,31.0,31.0,29.0,31.0,8.058472,8.036346,7.323578,8.071991,7.1815186
1989,29.0,31.0,31.0,28.0,31.0,7.204193,6.4096985,6.6955566,6.592743,6.429413
1990,28.0,29.0,31.0,28.0,31.0,7.190674,7.803711,7.086975,7.7960205,7.632019
1991,30.0,29.0,30.0,27.0,31.0,7.508423,7.7250977,7.900177,7.8526,7.528351
1992,29.0,25.0,31.0,28.0,28.0,7.2013245,8.1935425,8.048401,8.045471,8.435089
1993,27.0,26.0,29.0,27.0,31.0,7.3992615,8.010254,7.1350403,6.9804077,6.923065
1994,30.0,31.0,31.0,28.0,31.0,7.158539,7.7302246,6.8263245,6.8378906,7.1382446
1995,30.0,30.0,31.0,28.0,31.0,7.305786,7.6553345,7.3381042,7.2571106,6.823578
1996,29.0,29.0,31.0,29.0,30.0,7.7406616,6.985779,7.0215454,7.0788574,7.1795654
1997,29.0,30.0,31.0,27.0,30.0,7.0970764,7.0421753,6.6370544,6.970001,6.999176
1998,30.0,31.0,31.0,28.0,31.0,8.097748,8.833038,8.92276,8.804382,9.147278
1999,30.0,29.0,31.0,28.0,31.0,6.995636,7.4072876,7.213623,6.8306274,6.5527954
2000,28.0,31.0,31.0,29.0,29.0,7.532715,7.1295776,6.6250305,6.7044067,6.307617
2001,26.0,30.0,31.0,28.0,31.0,8.139618,7.255249,6.845764,6.6513977,6.9466248
2002,30.0,31.0,31.0,28.0,31.0,7.556549,7.388855,7.695923,7.0873413,7.529175
2003,30.0,30.0,31.0,28.0,31.0,7.7427673,8.252136,8.273041,7.8925476,7.6598816
2004,28.0,31.0,30.0,29.0,30.0,7.895935,7.9362183,7.6997375,7.7237244,7.6531677
2005,29.0,30.0,28.0,28.0,31.0,7.828949,7.4395447,7.6309814,7.654175,7.5724487
2006,29.0,31.0,31.0,28.0,31.0,7.7702026,7.573059,6.8141785,7.709137,7.5793457
2007,30.0,31.0,31.0,27.0,31.0,7.333252,7.747467,7.8148193,7.4861145,6.9627075
2008,30.0,29.0,31.0,29.0,30.0,7.2518005,7.1100464,6.988556,6.94281,6.3928223
2009,28.0,29.0,31.0,28.0,31.0,7.8916016,7.4190674,7.137085,7.123657,6.9601135
2010,29.0,31.0,30.0,28.0,29.0,8.047089,7.1983643,7.54187,8.153656,8.037689
2011,30.0,31.0,31.0,28.0,31.0,7.697357,7.0493164,6.594696,6.3032227,6.475952
2012,27.0,31.0,30.0,27.0,31.0,7.7635193,6.883087,7.0418396,6.610718,6.9871826
2013,30.0,31.0,31.0,28.0,31.0,7.4141235,7.1314087,7.0061646,7.335724,7.4253845
2014,30.0,31.0,31.0,28.0,28.0,7.612671,7.0152893,7.0460205,7.274811,7.379669
2015,30.0,31.0,31.0,28.0,31.0,7.982025,7.61203,6.8868103,7.1423035,7.1078186
2016,30.0,31.0,30.0,29.0,31.0,8.143463,7.625,8.326935,8.350037,8.4505005
2017,29.0,31.0,31.0,28.0,31.0,7.637726,7.455719,7.0851135,7.2003174,7.0519714
2018,30.0,30.0,31.0,28.0,31.0,7.4690247,7.1618347,6.4111023,6.6371765,7.1309204
2019,30.0,27.0,31.0,28.0,31.0,8.105621,7.696411,7.602936,6.956299,7.451782
2020,30.0,31.0,29.0,29.0,31.0,7.516449,7.2552795,7.4268494,7.7174377,7.640625
2021,29.0,31.0,31.0,26.0,31.0,7.894745,6.896576,6.429291,6.6656494,6.4350586
2022,30.0,29.0,30.0,28.0,31.0,7.053772,7.611725,6.93454,6.6436768,6.588623
2023,25.0,31.0,31.0,28.0,31.0,8.22821,7.6009827,6.9835205,6.8895264,6.835907
2024,30.0,31.0,31.0,28.0,31.0,8.706512,8.525238,8.730255,8.20932,8.189575
2025,30.0,31.0,30.0,28.0,31.0,7.8215027,7.9780884,7.416626,6.9250793,6.641327
