seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,13.0,19.0,23.0,19.0,12.0,4.8595276,-1.3392944,-5.104309,-3.8681335,-1.120758
1982,13.0,18.0,20.0,12.0,18.0,0.51239014,-1.8153381,-4.933838,-6.403717,-0.3267212
1983,14.0,20.0,10.0,18.0,14.0,4.065674,-0.6218262,-4.255615,-5.5862427,-1.4406128
1984,15.0,17.0,17.0,17.0,21.0,2.7123718,-3.3180542,-7.530792,-8.161285,-5.040558
1985,7.0,18.0,16.0,20.0,13.0,2.1290588,-3.1464539,-8.325256,-4.648987,-1.7249756
1986,22.0,16.0,22.0,17.0,18.0,3.6968994,-3.8041077,-6.137726,-7.378601,-1.801239
1987,11.0,11.0,17.0,14.0,19.0,1.8866272,-1.2993469,-5.28421,-4.0652466,-0.48355103
1988,10.0,11.0,19.0,13.0,15.0,3.1270752,-1.7678528,-3.6288757,-7.8204956,-1.3660889
1989,20.0,20.0,16.0,13.0,19.0,1.6340942,-1.5301514,-3.3563538,-3.3137207,1.217102
1990,15.0,20.0,18.0,13.0,13.0,5.5172424,-1.4444275,-5.7284546,-1.7886658,1.1201172
1991,15.0,16.0,18.0,18.0,13.0,6.179657,0.52523804,-3.9058228,-5.0809937,-0.65667725
1992,15.0,15.0,11.0,16.0,14.0,3.3241882,-1.1410217,-3.6756287,-4.2389526,-0.33044434
1993,12.0,18.0,19.0,20.0,12.0,3.9823608,-0.9029236,-3.2503052,-3.1574097,-1.2630005
1994,14.0,18.0,18.0,18.0,14.0,5.052185,-1.717926,-5.3506775,-4.3904724,-2.2337341
1995,6.0,19.0,18.0,10.0,18.0,3.759491,-2.1572266,-5.230957,-4.723816,-0.825531
1996,16.0,19.0,21.0,18.0,20.0,2.9733276,-2.0301208,-5.5337524,-4.7624207,-1.4232483
1997,15.0,20.0,16.0,15.0,14.0,3.1243591,-1.3116455,-4.6780396,-4.207184,-0.5121765
1998,16.0,15.0,20.0,12.0,11.0,5.4079895,-0.95376587,-6.145355,-4.936371,-0.21395874
1999,19.0,15.0,19.0,16.0,12.0,2.9186707,-1.9212646,-5.07016,-4.997925,-0.6255493
2000,14.0,19.0,17.0,20.0,22.0,4.43338,-1.9656677,-2.9195251,-5.1996765,-1.7661438
2001,11.0,19.0,21.0,14.0,23.0,3.1530151,-2.631073,-6.694397,-6.912201,-1.263855
2002,11.0,17.0,23.0,15.0,19.0,3.4855957,-4.068268,-3.9801025,-3.6892395,1.1200867
2003,17.0,12.0,18.0,12.0,13.0,0.99645996,-3.4468994,-5.285858,-4.517334,-2.1439514
2004,13.0,18.0,17.0,18.0,13.0,5.369873,-0.22332764,-4.4337463,-3.6849976,-0.5503845
2005,13.0,16.0,23.0,20.0,23.0,6.1655884,-0.592041,-4.9362793,-6.079834,-2.4118042
2006,16.0,21.0,13.0,17.0,14.0,3.7209473,-4.367462,-6.4163513,-4.238617,-0.99072266
2007,18.0,14.0,12.0,12.0,22.0,4.4969788,-1.2155151,-2.5032349,-2.4657288,-0.9633789
2008,15.0,18.0,13.0,11.0,15.0,3.1261292,-1.8782654,-5.796112,-5.8487244,1.0532837
2009,14.0,16.0,17.0,13.0,12.0,3.7827454,-0.43966675,-3.7153625,-4.158661,-0.25115967
2010,17.0,20.0,21.0,10.0,19.0,4.636627,-1.6486511,-4.3298035,-4.7714844,-1.3374939
2011,11.0,22.0,17.0,9.0,18.0,4.3663635,-0.5166931,-7.1584473,-4.99527,-2.4037476
2012,16.0,15.0,15.0,16.0,17.0,5.160095,-3.1652832,-7.0258484,-7.177063,-1.4739685
2013,15.0,22.0,14.0,17.0,9.0,3.618744,-3.0028992,-6.822418,-6.3025513,-0.7201538
2014,18.0,18.0,18.0,12.0,18.0,3.732666,-1.1946716,-5.8135376,-5.2391663,-0.6234436
2015,12.0,22.0,19.0,14.0,16.0,4.612274,-3.6403503,-4.4010925,-3.5560303,1.0538025
2016,16.0,11.0,13.0,15.0,11.0,5.8432007,-0.5477905,-4.8131104,-4.013489,0.63153076
2017,18.0,15.0,18.0,17.0,18.0,2.3474731,-1.1548157,-4.7484436,-4.003174,-0.6628113
2018,12.0,19.0,18.0,16.0,9.0,3.1293945,-2.7597046,-5.1050415,-6.8848877,1.0536499
2019,11.0,18.0,10.0,8.0,13.0,4.6983643,-2.0101624,-4.9494934,-3.6752014,0.4951172
2020,10.0,14.0,13.0,19.0,16.0,3.3129272,-1.2983398,-3.1004944,-2.3257446,1.9751892
2021,10.0,19.0,14.0,14.0,10.0,4.6054688,-2.6978455,-6.2280884,-3.0664978,2.8398438
2022,14.0,18.0,17.0,11.0,16.0,5.906891,-1.6445923,-5.8259277,-5.5585938,0.25894165
2023,10.0,19.0,16.0,12.0,11.0,5.7053223,-2.0722961,-4.542694,-4.3799744,3.5015259
2024,19.0,18.0,18.0,8.0,20.0,5.859955,-1.0710449,-2.3252869,-2.2128906,-0.951355
2025,15.0,17.0,19.0,12.0,14.0,4.620575,-2.441681,-3.3805237,-4.3957825,0.6075134
