seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,7.0,12.0,10.0,10.0,11.0,4.101013,-3.4110413,-7.033142,-4.514557,0.61328125
1982,10.0,5.0,9.0,8.0,11.0,1.2860413,-2.3756104,-5.35672,-5.140442,0.56103516
1983,12.0,4.0,12.0,11.0,18.0,5.3950195,-1.335083,-4.7046814,-5.3285522,-0.19143677
1984,13.0,7.0,14.0,13.0,13.0,2.1833801,-4.356537,-7.6932373,-8.415894,-4.977661
1985,5.0,10.0,5.0,11.0,14.0,4.111023,-2.2886353,-7.1322327,-3.9585876,1.1236572
1986,11.0,12.0,4.0,11.0,12.0,2.7773132,-3.3693848,-6.6947937,-7.7043457,-1.3926697
1987,2.0,7.0,7.0,10.0,10.0,3.1047668,-0.8404541,-4.519409,-3.1314697,0.38183594
1988,8.0,8.0,9.0,8.0,16.0,4.3671875,-1.327301,-2.7243042,-5.3141174,-0.26278687
1989,8.0,4.0,11.0,12.0,15.0,0.9362488,-2.5519104,-1.9724731,-1.8471985,-0.035461426
1990,14.0,6.0,13.0,15.0,12.0,4.2484436,-1.8253784,-5.337555,0.1510315,0.9579468
1991,11.0,9.0,14.0,11.0,13.0,5.698242,-1.0540161,-5.30896,-5.4249268,2.1148376
1992,5.0,10.0,9.0,12.0,15.0,3.587616,-0.585083,-3.4348145,-3.9728699,1.3891907
1993,11.0,12.0,13.0,9.0,12.0,3.962494,-1.2007446,-3.7789307,-3.6266785,-0.8807373
1994,8.0,11.0,9.0,12.0,10.0,4.7156677,-1.785492,-4.877136,-5.77359,-2.071167
1995,7.0,9.0,13.0,11.0,13.0,4.571106,-1.0869751,-5.670349,-4.552185,-0.38601685
1996,7.0,8.0,11.0,6.0,13.0,1.6159363,-4.0375366,-4.8542786,-5.305603,-0.5121765
1997,14.0,9.0,9.0,8.0,12.0,3.587677,-1.6304321,-5.785309,-4.1927795,0.6626587
1998,13.0,8.0,14.0,12.0,11.0,5.2721863,-0.78671265,-6.3554077,-4.368561,0.23233032
1999,8.0,7.0,8.0,9.0,14.0,3.2619934,-0.7712097,-4.816284,-4.8642883,1.3337402
2000,10.0,11.0,13.0,11.0,13.0,4.4565735,-2.200348,-3.2183533,-6.000122,-1.6479797
2001,10.0,7.0,16.0,6.0,15.0,5.407501,-1.8977356,-7.316925,-5.989929,-0.9898071
2002,10.0,10.0,16.0,9.0,13.0,3.006775,-3.3590393,-4.4183044,-3.7225342,1.5492554
2003,12.0,14.0,13.0,12.0,11.0,1.021637,-2.563263,-5.6764526,-3.2486877,-0.9810791
2004,15.0,7.0,9.0,10.0,13.0,6.605133,-1.6983032,-5.457733,-2.394989,-0.0057678223
2005,8.0,7.0,15.0,10.0,13.0,5.7210693,-0.033081055,-6.3568115,-5.05011,-1.2256165
2006,6.0,12.0,10.0,12.0,15.0,2.8684082,-5.4400024,-5.854828,-2.8577576,-0.5086365
2007,11.0,13.0,7.0,9.0,7.0,4.5098267,-0.901886,-3.8379822,-1.5900574,-0.20236206
2008,8.0,11.0,8.0,15.0,12.0,3.737152,-1.0827026,-4.8934937,-6.350067,0.9761658
2009,11.0,9.0,11.0,9.0,11.0,3.0596924,-0.6352539,-4.2781677,-1.8301697,0.27297974
2010,12.0,13.0,8.0,12.0,14.0,4.157837,-1.4274597,-4.7796326,-2.314392,0.25131226
2011,5.0,12.0,11.0,9.0,12.0,3.0549622,-1.158783,-7.359955,-2.948883,-2.5012207
2012,9.0,9.0,9.0,10.0,18.0,5.799011,-2.7820435,-6.4543457,-5.3134155,-0.5647278
2013,11.0,13.0,8.0,9.0,4.0,2.421936,-3.5956726,-6.6040344,-4.989044,2.02771
2014,10.0,10.0,6.0,8.0,15.0,2.7189636,-2.6584473,-4.971344,-5.4971313,0.36227417
2015,10.0,19.0,11.0,10.0,11.0,4.9206543,-3.6853027,-4.979004,-3.5822144,1.0908203
2016,15.0,12.0,8.0,8.0,12.0,6.305725,0.5050049,-4.7418823,-3.583252,1.494873
2017,11.0,6.0,12.0,10.0,12.0,3.8782043,-0.9978943,-4.483673,-3.7304077,-0.94192505
2018,9.0,7.0,10.0,11.0,8.0,2.994995,-3.1053467,-5.305176,-4.6966553,2.1460266
2019,9.0,11.0,8.0,5.0,12.0,5.473694,-0.6244507,-4.4542236,-1.6346436,0.97494507
2020,9.0,6.0,9.0,10.0,15.0,4.739258,0.20257568,-1.2798462,-1.4672241,1.9456177
2021,7.0,10.0,13.0,5.0,8.0,5.255188,-1.3222046,-4.004547,-1.7145691,3.8917542
2022,8.0,11.0,6.0,13.0,10.0,4.501343,-1.5090942,-5.0868225,-5.0992126,2.1165466
2023,9.0,8.0,9.0,8.0,11.0,5.868744,-2.1813354,-4.105652,-2.1971436,4.741272
2024,7.0,8.0,10.0,14.0,14.0,5.443115,0.6263733,-2.7798767,-0.80825806,-0.059814453
2025,12.0,14.0,10.0,11.0,13.0,5.946228,-2.1011353,-3.8664856,-4.723816,1.2019348
