seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,5.0,12.0,7.0,8.0,12.0,12.912079,5.847992,3.5457458,5.609833,9.470581
1982,10.0,5.0,9.0,9.0,14.0,11.116425,7.505493,4.8377075,6.0312195,10.10495
1983,11.0,7.0,7.0,8.0,16.0,13.8038025,7.7801514,5.516449,5.0134583,9.4496765
1984,3.0,6.0,8.0,6.0,8.0,11.436523,6.213318,3.111084,3.5299072,6.818756
1985,7.0,12.0,8.0,12.0,14.0,13.808441,7.418701,3.9161682,6.4433594,9.491272
1986,12.0,10.0,10.0,8.0,13.0,11.908905,6.043915,3.8747253,3.888855,8.766113
1987,5.0,11.0,8.0,10.0,14.0,11.684845,8.914642,6.105652,7.0551453,9.408752
1988,9.0,5.0,8.0,8.0,12.0,13.435455,8.391968,6.8897705,5.5976257,8.559296
1989,8.0,4.0,11.0,12.0,11.0,11.250336,7.830078,8.468903,8.121857,9.573547
1990,7.0,7.0,13.0,16.0,7.0,12.834656,8.605164,5.4658813,9.333191,10.955078
1991,9.0,10.0,9.0,12.0,16.0,14.314789,8.403809,6.027008,5.6226196,10.779572
1992,5.0,12.0,11.0,8.0,21.0,11.793884,9.449829,6.705719,6.5317993,10.667358
1993,9.0,12.0,11.0,8.0,12.0,12.662018,9.023285,6.759918,7.033478,8.8585205
1994,13.0,11.0,12.0,8.0,6.0,14.22702,7.7035522,6.312042,6.1365356,7.7364807
1995,5.0,10.0,8.0,9.0,10.0,14.118195,9.040497,5.5733337,6.089569,9.511597
1996,8.0,7.0,9.0,9.0,14.0,11.455658,6.4201965,5.4819946,5.175537,9.202576
1997,13.0,8.0,10.0,7.0,8.0,13.40387,8.566132,5.166046,6.6335754,10.418884
1998,12.0,15.0,15.0,13.0,13.0,14.303131,8.797546,5.840271,8.780273,9.882324
1999,6.0,2.0,7.0,8.0,11.0,13.38208,9.3316345,6.20224,6.195648,10.942871
2000,9.0,9.0,19.0,7.0,11.0,12.663208,7.544861,6.87973,4.750244,9.443237
2001,7.0,7.0,18.0,11.0,11.0,13.339691,8.255951,5.6045227,7.1970215,9.710327
2002,10.0,12.0,12.0,7.0,9.0,12.229279,7.628235,6.8771667,7.352417,10.8638
2003,10.0,14.0,14.0,12.0,16.0,10.365173,8.176392,5.053711,7.6838684,9.022156
2004,14.0,8.0,10.0,9.0,11.0,15.376465,8.075958,5.040924,7.720337,9.74939
2005,7.0,7.0,11.0,12.0,15.0,13.833221,9.677734,5.2641296,5.5789795,8.352966
2006,8.0,15.0,14.0,11.0,12.0,13.692627,5.2876587,6.2442627,6.813202,9.203796
2007,12.0,8.0,7.0,7.0,10.0,13.807922,8.525757,6.6670837,8.838806,10.16684
2008,2.0,13.0,12.0,5.0,13.0,12.557495,8.982941,6.6078186,5.0811462,9.8055725
2009,9.0,9.0,11.0,11.0,9.0,12.468811,8.550415,6.0873413,9.221405,10.052185
2010,7.0,11.0,8.0,11.0,18.0,12.5979,7.8344727,5.835144,8.298035,9.6987
2011,3.0,12.0,7.0,8.0,6.0,12.05246,7.9686584,2.788391,7.620453,7.368469
2012,9.0,5.0,9.0,12.0,10.0,14.985016,7.114319,5.0108337,5.163971,9.5130005
2013,9.0,12.0,5.0,9.0,9.0,11.535797,6.4492493,4.9234924,6.491699,10.553589
2014,10.0,8.0,5.0,10.0,12.0,12.280518,7.148712,6.586334,6.75531,10.318726
2015,7.0,12.0,10.0,7.0,8.0,13.624847,6.286621,6.4129944,6.3605957,9.666443
2016,14.0,11.0,8.0,7.0,8.0,14.889709,9.231293,6.2860413,6.55365,10.2091675
2017,10.0,11.0,5.0,10.0,9.0,13.505066,9.425507,6.4608154,6.563629,8.884613
2018,10.0,5.0,12.0,9.0,10.0,12.760315,6.355255,4.820465,5.441101,11.011536
2019,8.0,11.0,5.0,10.0,9.0,13.237946,8.917877,6.8926697,8.219574,10.400604
2020,6.0,8.0,12.0,11.0,14.0,13.822327,9.409882,8.487183,8.629578,10.968323
2021,7.0,5.0,8.0,7.0,11.0,13.840942,7.26947,6.4584045,8.455994,12.213104
2022,7.0,4.0,5.0,7.0,12.0,12.947784,8.158234,5.9738464,5.1596985,11.322845
2023,8.0,9.0,9.0,10.0,11.0,14.841644,6.8537903,6.3461914,8.004181,12.040192
2024,6.0,11.0,14.0,16.0,13.0,13.645386,9.129822,7.3159485,8.983185,10.545502
2025,9.0,5.0,9.0,8.0,16.0,14.716766,7.774719,5.7708435,4.689209,10.231598
