seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,7.0,9.0,7.0,8.0,11.0,12.128784,4.7882385,2.2351074,3.7832031,8.105133
1982,9.0,2.0,6.0,5.0,10.0,9.497772,5.97641,3.2931519,3.3204346,7.841034
1983,11.0,5.0,5.0,6.0,13.0,12.997284,6.3721924,4.187256,3.2597961,7.8441772
1984,5.0,3.0,7.0,9.0,7.0,10.380707,4.499695,1.932251,1.80896,4.3741455
1985,7.0,6.0,2.0,6.0,13.0,11.662994,6.0154724,2.1747131,4.8747864,8.487946
1986,8.0,5.0,2.0,2.0,12.0,10.99472,5.1911316,1.8783569,2.2363892,7.189911
1987,4.0,7.0,7.0,5.0,8.0,10.817322,7.4845276,4.302063,4.9321594,7.9653015
1988,5.0,3.0,5.0,6.0,11.0,12.228729,7.1124268,5.37265,3.599945,7.6185303
1989,3.0,4.0,11.0,10.0,10.0,9.360596,5.470154,6.5426025,6.811371,8.154449
1990,8.0,6.0,11.0,11.0,12.0,12.352325,6.506836,3.9858704,7.658844,8.730591
1991,10.0,6.0,5.0,7.0,13.0,13.5937805,7.2807617,3.8895264,3.8356934,9.105988
1992,6.0,10.0,8.0,6.0,17.0,11.932861,8.111084,5.47287,5.076935,9.8090515
1993,7.0,8.0,13.0,6.0,8.0,11.861755,7.2759705,5.438904,5.5687256,7.1142883
1994,12.0,10.0,4.0,8.0,6.0,12.733582,6.639221,4.167816,3.9096985,6.015106
1995,5.0,4.0,6.0,6.0,11.0,12.963013,7.2761536,3.7743835,4.1514587,7.9957886
1996,5.0,3.0,6.0,5.0,10.0,9.9151,4.7819824,4.0368958,3.5448303,7.4223022
1997,12.0,5.0,5.0,5.0,9.0,11.78598,6.9216614,3.5750732,4.069824,8.428772
1998,12.0,8.0,12.0,12.0,8.0,12.839081,7.4118347,4.1244507,6.420044,8.6302185
1999,5.0,6.0,8.0,7.0,12.0,11.805634,7.5763855,4.352417,4.1795654,9.305634
2000,7.0,3.0,9.0,6.0,9.0,12.439606,6.397766,5.411499,2.962799,7.0711975
2001,10.0,6.0,12.0,6.0,13.0,13.242493,6.7013245,3.0700684,4.662689,7.433319
2002,5.0,7.0,9.0,8.0,9.0,11.437897,5.737335,5.0368347,5.546692,9.656738
2003,6.0,11.0,8.0,10.0,11.0,9.456421,6.531494,3.9480286,5.3786926,7.2579956
2004,16.0,5.0,4.0,7.0,11.0,14.733887,6.9503174,3.731018,6.079254,8.266022
2005,9.0,6.0,5.0,10.0,11.0,13.524261,8.296631,4.1052246,4.1450806,7.2167053
2006,5.0,5.0,7.0,11.0,12.0,11.658722,3.6703186,3.552887,5.7514954,7.506012
2007,9.0,11.0,8.0,8.0,8.0,13.026733,7.441559,5.5832825,6.928009,8.346985
2008,6.0,6.0,9.0,7.0,9.0,12.009979,7.4445496,4.160614,3.6366577,8.960602
2009,5.0,8.0,7.0,9.0,11.0,11.721893,7.5628967,4.8788147,6.490692,8.170807
2010,10.0,7.0,7.0,9.0,18.0,12.373749,6.822632,4.1904907,6.3615723,8.532257
2011,4.0,9.0,1.0,9.0,6.0,11.456757,7.21933,2.1428833,5.9489136,6.270996
2012,7.0,5.0,4.0,10.0,13.0,13.552704,5.81308,3.424652,3.7509155,7.595764
2013,10.0,12.0,5.0,10.0,7.0,10.934387,5.043579,3.3681335,4.0770874,9.246155
2014,8.0,6.0,5.0,9.0,13.0,11.142609,6.0466614,4.142517,4.647705,8.737915
2015,12.0,10.0,8.0,8.0,10.0,12.906891,4.884918,4.544281,5.2050476,8.909454
2016,14.0,8.0,5.0,6.0,8.0,13.970734,8.370422,4.868042,5.688904,9.245758
2017,9.0,6.0,6.0,6.0,7.0,12.200958,7.6637573,4.4052124,4.8476257,7.2945557
2018,6.0,4.0,4.0,4.0,9.0,11.424744,5.278595,3.3327637,3.6533508,9.791412
2019,6.0,8.0,2.0,5.0,10.0,13.50238,7.5437317,4.075165,6.0963745,8.876434
2020,6.0,7.0,9.0,6.0,15.0,12.674774,8.39032,6.6948547,6.2921753,9.570984
2021,6.0,4.0,8.0,3.0,12.0,13.143646,6.7519836,4.400177,6.3638306,10.826935
2022,7.0,5.0,3.0,5.0,10.0,12.458649,6.960968,3.3130188,3.6604614,9.424561
2023,8.0,6.0,5.0,6.0,10.0,13.934906,5.9871826,4.397888,5.678955,11.151855
2024,7.0,6.0,8.0,10.0,12.0,12.935944,7.788513,5.245178,7.2077637,8.004456
2025,8.0,1.0,4.0,5.0,14.0,13.829468,6.1783447,4.4270935,3.5773315,9.0138855
