seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,7.0,7.0,4.0,3.0,4.0,-22.241257,-29.702728,-27.989838,-27.970322,-19.599579
1982,9.0,7.0,6.0,2.0,6.0,-26.783356,-27.539307,-32.90724,-25.346619,-19.530075
1983,11.0,9.0,8.0,3.0,13.0,-23.985565,-26.496948,-28.044876,-29.748978,-15.046173
1984,9.0,5.0,3.0,1.0,6.0,-19.174286,-27.299194,-29.660263,-29.984451,-20.058868
1985,8.0,2.0,1.0,3.0,9.0,-25.003479,-32.10527,-35.029266,-30.670822,-19.133957
1986,11.0,7.0,1.0,3.0,8.0,-20.889389,-31.855515,-34.663223,-25.192535,-17.445755
1987,9.0,8.0,4.0,7.0,8.0,-22.051178,-28.607147,-33.35919,-26.717422,-20.657272
1988,8.0,2.0,9.0,3.0,6.0,-28.502426,-32.288773,-29.114777,-29.631454,-19.42949
1989,13.0,11.0,5.0,11.0,16.0,-19.87387,-24.567673,-28.186523,-20.51387,-13.91153
1990,7.0,5.0,2.0,2.0,6.0,-21.05394,-27.74681,-35.71402,-25.007538,-10.897583
1991,11.0,10.0,4.0,2.0,6.0,-22.5262,-26.68254,-26.107788,-29.728683,-20.962585
1992,8.0,3.0,3.0,2.0,7.0,-21.719711,-29.303543,-25.144974,-25.607788,-17.942596
1993,5.0,4.0,4.0,4.0,9.0,-25.90863,-26.457016,-25.1904,-23.379562,-17.832108
1994,7.0,3.0,0.0,4.0,9.0,-24.468536,-32.160645,-38.034225,-28.575272,-18.609787
1995,6.0,3.0,6.0,2.0,5.0,-25.039505,-31.423386,-27.497711,-21.805176,-20.067856
1996,5.0,7.0,1.0,2.0,9.0,-21.160812,-24.838165,-35.01738,-26.218857,-18.135666
1997,5.0,3.0,5.0,3.0,8.0,-25.2603,-33.273407,-30.473145,-25.861084,-21.215149
1998,7.0,3.0,5.0,6.0,13.0,-23.055756,-31.291199,-34.14473,-24.304,-16.503662
1999,7.0,5.0,8.0,9.0,1.0,-28.06694,-30.202011,-30.584595,-28.353317,-25.832306
2000,6.0,10.0,5.0,0.0,6.0,-23.634598,-27.00441,-29.47612,-26.709503,-18.997787
2001,5.0,1.0,1.0,1.0,14.0,-26.553009,-35.704575,-33.35753,-31.932343,-18.052002
2002,17.0,4.0,3.0,10.0,10.0,-19.102829,-29.27275,-26.071747,-23.047974,-15.947296
2003,6.0,2.0,1.0,4.0,10.0,-25.054214,-32.851685,-30.549866,-25.290985,-15.170105
2004,4.0,8.0,4.0,1.0,9.0,-25.363052,-24.859589,-29.146027,-29.368744,-18.020462
2005,14.0,6.0,5.0,2.0,10.0,-18.349167,-33.181274,-28.87996,-29.8694,-19.08284
2006,14.0,4.0,1.0,2.0,7.0,-21.921097,-31.122086,-34.795532,-29.150314,-20.092773
2007,11.0,8.0,9.0,2.0,7.0,-24.769043,-26.475174,-22.373734,-27.927353,-19.889069
2008,11.0,8.0,3.0,4.0,7.0,-21.43512,-26.162018,-30.216827,-23.233093,-12.762054
2009,7.0,3.0,5.0,1.0,6.0,-24.451477,-33.34088,-29.704681,-31.323029,-20.08017
2010,5.0,3.0,4.0,3.0,8.0,-27.076721,-32.42096,-33.355255,-29.921082,-20.61087
2011,9.0,5.0,6.0,4.0,12.0,-21.131638,-34.03067,-30.132156,-26.95314,-15.777985
2012,7.0,4.0,3.0,2.0,9.0,-22.168732,-28.735779,-32.026062,-28.989029,-22.857773
2013,7.0,4.0,1.0,1.0,9.0,-22.896576,-32.77971,-33.930984,-28.237778,-21.683975
2014,5.0,5.0,1.0,1.0,12.0,-19.979187,-24.179,-34.971283,-31.101624,-16.15033
2015,6.0,8.0,7.0,3.0,6.0,-21.795868,-31.019196,-26.85646,-24.08461,-17.082092
2016,7.0,8.0,13.0,4.0,10.0,-22.844452,-24.504944,-29.495651,-28.878983,-15.339386
2017,6.0,3.0,5.0,7.0,15.0,-25.56717,-28.14215,-27.183228,-24.468369,-14.278229
2018,5.0,2.0,6.0,2.0,12.0,-26.243713,-31.373764,-31.957245,-29.202667,-18.849548
2019,9.0,8.0,3.0,14.0,9.0,-23.594116,-30.244614,-27.392014,-24.16513,-15.7204895
2020,10.0,8.0,10.0,10.0,12.0,-24.290833,-30.10643,-22.980194,-22.674667,-15.721588
2021,13.0,8.0,3.0,4.0,10.0,-19.160736,-29.689316,-37.927475,-29.8665,-17.995636
2022,6.0,5.0,3.0,2.0,12.0,-19.899368,-31.833588,-29.270355,-25.28305,-16.842407
2023,8.0,6.0,2.0,3.0,15.0,-22.737183,-31.176376,-35.678787,-25.015427,-14.639313
2024,11.0,5.0,3.0,6.0,8.0,-21.5775,-32.29918,-29.625305,-26.795532,-16.52179
2025,8.0,9.0,4.0,3.0,9.0,-19.354874,-25.214722,-27.293793,-26.065155,-19.664581
