seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,27.0,22.0,28.0,15.0,26.0,27.464783,27.75296,27.341278,27.473938,27.666351
1982,17.0,18.0,27.0,25.0,29.0,27.913116,27.66681,27.69925,27.620453,27.767487
1983,18.0,26.0,29.0,19.0,23.0,27.889984,27.658539,27.811676,27.446136,27.45221
1984,15.0,15.0,16.0,11.0,19.0,27.15625,27.713745,28.01947,26.939636,26.519257
1985,24.0,23.0,30.0,18.0,24.0,27.62622,27.378845,27.304626,27.776123,26.845612
1986,20.0,28.0,22.0,24.0,26.0,27.454376,27.356354,27.652771,27.681427,28.11084
1987,27.0,25.0,24.0,28.0,23.0,27.619934,27.243958,27.450745,27.498505,27.542755
1988,16.0,31.0,30.0,27.0,19.0,28.544128,28.314362,28.013947,28.355103,28.12677
1989,3.0,8.0,9.0,2.0,3.0,27.089386,26.752228,26.94101,26.918915,26.818817
1990,21.0,29.0,27.0,27.0,28.0,27.239288,27.596588,27.855682,27.827606,27.767517
1991,23.0,28.0,31.0,25.0,28.0,28.50113,27.766022,27.672302,28.207916,27.776672
1992,29.0,28.0,25.0,22.0,26.0,27.85083,27.683899,27.884552,27.788391,27.927917
1993,28.0,31.0,22.0,26.0,31.0,27.854706,28.055817,27.830627,27.332977,27.517426
1994,17.0,27.0,24.0,15.0,17.0,28.02005,28.40924,28.280334,27.763885,27.643463
1995,28.0,29.0,26.0,23.0,24.0,27.84848,27.861755,28.016174,28.129974,28.10254
1996,4.0,13.0,4.0,3.0,14.0,27.807068,28.109009,28.22165,27.477814,27.407288
1997,4.0,20.0,21.0,19.0,30.0,27.571075,28.182129,28.004852,28.4003,28.105804
1998,22.0,30.0,11.0,11.0,3.0,27.92279,27.977203,27.715027,27.88028,27.707092
1999,2.0,8.0,1.0,1.0,3.0,26.899963,27.457092,26.921936,26.462463,26.503906
2000,2.0,1.0,1.0,2.0,7.0,27.225891,27.364044,27.290161,26.978943,26.377502
2001,9.0,9.0,5.0,11.0,18.0,27.840057,27.370148,27.566528,27.064575,27.533783
2002,12.0,31.0,30.0,21.0,30.0,28.757019,28.056335,27.812622,28.264618,27.942352
2003,28.0,28.0,28.0,21.0,28.0,28.307526,28.260864,28.116669,28.476624,28.437408
2004,16.0,24.0,28.0,20.0,28.0,28.837646,28.901947,28.766876,28.624695,28.242096
2005,24.0,26.0,27.0,22.0,27.0,28.519287,28.859894,28.80252,29.195831,28.730835
2006,8.0,16.0,8.0,20.0,12.0,28.348267,28.596283,28.254883,27.670197,27.57492
2007,27.0,31.0,30.0,26.0,24.0,28.181183,28.327515,28.997437,28.191711,28.244812
2008,9.0,8.0,8.0,0.0,1.0,27.528168,27.89148,27.14502,26.722717,26.866394
2009,14.0,11.0,14.0,12.0,11.0,27.921417,27.84378,27.91867,27.617676,27.670502
2010,28.0,31.0,31.0,25.0,28.0,28.57663,28.137909,28.153778,28.618073,28.545288
2011,2.0,5.0,8.0,5.0,10.0,27.168732,26.975739,27.07608,27.163757,27.52066
2012,4.0,15.0,10.0,9.0,27.0,27.93747,27.888031,27.35379,27.358917,27.339783
2013,20.0,24.0,27.0,20.0,28.0,28.920044,28.899078,28.488739,28.235382,27.962097
2014,9.0,21.0,27.0,28.0,31.0,28.700714,28.541412,28.241638,28.082886,28.078247
2015,16.0,24.0,21.0,24.0,30.0,28.946533,28.703735,28.649506,28.495941,28.425018
2016,30.0,30.0,29.0,29.0,30.0,28.535461,28.410004,28.5047,28.260284,28.181213
2017,0.0,6.0,25.0,11.0,14.0,27.859375,28.229767,28.439178,28.09967,27.815613
2018,5.0,16.0,10.0,16.0,25.0,28.409424,28.299225,28.713287,28.118195,28.161804
2019,26.0,24.0,29.0,27.0,31.0,28.720428,28.830536,28.707428,28.66809,27.999725
2020,28.0,29.0,28.0,28.0,30.0,28.503296,28.712097,28.74057,28.610168,28.701263
2021,5.0,6.0,10.0,17.0,19.0,27.62381,27.789032,27.203613,27.445953,27.493652
2022,2.0,8.0,23.0,18.0,7.0,27.640808,27.938446,28.21753,28.346252,27.54483
2023,2.0,14.0,11.0,13.0,8.0,27.610657,27.986237,27.737762,27.82019,27.963165
2024,26.0,29.0,26.0,28.0,26.0,28.71521,28.541687,28.960266,29.083405,28.502472
2025,4.0,11.0,12.0,7.0,15.0,28.60736,28.474396,28.102783,27.614014,27.488678
