seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,16.0,27.0,30.0,25.0,19.0,10.322174,4.420532,1.3091125,2.026703,4.712219
1982,21.0,18.0,26.0,19.0,19.0,7.153351,4.747772,2.191986,1.5961914,5.538086
1983,18.0,23.0,22.0,25.0,20.0,10.90155,5.8095093,2.4449158,1.4544067,4.937958
1984,19.0,26.0,31.0,24.0,21.0,8.770355,3.3547668,0.3592224,-1.1568298,1.5710144
1985,15.0,24.0,28.0,24.0,18.0,8.807617,4.194214,-0.2421875,2.3543396,4.353058
1986,22.0,26.0,26.0,24.0,17.0,9.470856,3.4028015,0.6623535,-0.13192749,4.202301
1987,19.0,20.0,27.0,20.0,21.0,8.690582,5.3230286,1.8022766,2.2960815,4.8457947
1988,15.0,17.0,24.0,23.0,20.0,9.517975,5.3231506,3.5401306,0.47885132,4.1562805
1989,26.0,22.0,21.0,21.0,19.0,7.693268,4.7469177,4.008911,3.293518,5.5751343
1990,13.0,25.0,29.0,15.0,19.0,11.037903,5.2648926,1.5458984,4.465576,6.077301
1991,20.0,21.0,27.0,24.0,18.0,12.087616,6.7289124,2.706543,1.8682251,5.105072
1992,16.0,21.0,24.0,24.0,15.0,9.685211,6.1094666,3.3912964,2.635559,5.581024
1993,13.0,26.0,24.0,23.0,19.0,10.480591,5.6807556,2.902069,3.1219788,4.5491943
1994,19.0,25.0,25.0,23.0,21.0,11.079956,4.79187,2.1166687,1.8240356,3.225525
1995,17.0,25.0,28.0,23.0,21.0,10.460968,5.052643,1.796875,2.1004639,4.637207
1996,21.0,29.0,25.0,23.0,22.0,8.734558,3.9571228,1.5579834,1.0109253,4.0440063
1997,25.0,26.0,28.0,18.0,18.0,9.443512,5.4532166,2.2750854,2.280548,5.1617737
1998,17.0,20.0,30.0,18.0,17.0,10.635712,5.4452515,1.9032593,2.8582764,5.0820312
1999,20.0,24.0,28.0,24.0,19.0,9.777161,5.566345,2.1685486,1.6941833,5.483551
2000,18.0,28.0,24.0,27.0,22.0,10.805725,5.1730957,2.9585266,1.1655273,3.767212
2001,20.0,23.0,26.0,22.0,23.0,9.85202,4.484558,0.58203125,1.2338562,4.153534
2002,17.0,30.0,27.0,17.0,17.0,9.932007,3.8907776,3.1715393,3.030243,6.411865
2003,26.0,24.0,27.0,15.0,17.0,7.358734,3.809143,1.4365234,2.283905,4.2478027
2004,18.0,26.0,25.0,20.0,16.0,11.377319,5.8342896,2.1059875,3.6410522,5.1383667
2005,21.0,24.0,26.0,25.0,23.0,11.951721,6.0933533,2.1357422,1.6723938,4.187256
2006,24.0,30.0,26.0,20.0,22.0,9.848236,2.2575073,1.1369934,2.4770508,4.3833313
2007,19.0,24.0,22.0,17.0,21.0,10.533569,5.733551,3.9231873,3.9428406,5.114624
2008,17.0,26.0,27.0,25.0,22.0,9.830597,5.84494,2.4409485,1.5657349,6.0014954
2009,18.0,20.0,22.0,19.0,17.0,9.992432,6.3634033,3.1950684,3.4296265,5.0920715
2010,20.0,24.0,29.0,22.0,23.0,10.492218,5.196472,2.7600403,2.6979065,4.586853
2011,21.0,27.0,31.0,14.0,20.0,10.207581,5.911804,0.8901062,2.4099731,3.0167847
2012,20.0,26.0,25.0,27.0,21.0,11.395081,3.8138123,0.9537964,0.69692993,4.3934937
2013,24.0,28.0,27.0,26.0,17.0,9.434601,3.4263306,1.2841187,0.9477844,5.195526
2014,24.0,26.0,25.0,19.0,21.0,9.943512,4.9285583,1.8760071,1.404419,5.0993347
2015,18.0,29.0,25.0,20.0,15.0,10.747192,3.1626587,2.11615,2.8893738,6.064087
2016,21.0,21.0,30.0,22.0,16.0,11.5737,6.465912,3.0122986,3.1161804,6.1178284
2017,22.0,24.0,25.0,22.0,19.0,9.256195,6.2848816,2.8640747,2.5864563,4.80249
2018,18.0,28.0,28.0,22.0,13.0,9.1828,3.8666687,1.613739,1.4452515,6.583679
2019,13.0,25.0,27.0,16.0,17.0,11.418182,5.5760803,2.5290222,3.6193848,6.2400513
2020,16.0,20.0,23.0,23.0,18.0,10.225586,6.562134,4.724945,4.5359497,6.95874
2021,17.0,27.0,24.0,19.0,15.0,11.211731,5.13797,1.9526367,4.046875,7.640442
2022,14.0,27.0,26.0,22.0,16.0,11.251556,5.105835,1.6616516,1.7820129,6.2936096
2023,14.0,29.0,27.0,19.0,14.0,11.802429,5.1793823,2.7111816,3.0298767,8.358948
2024,21.0,22.0,26.0,16.0,20.0,11.944763,6.346344,3.9473572,3.9213562,5.1604614
2025,18.0,30.0,27.0,22.0,19.0,11.2473755,4.877838,3.3754272,2.2678528,6.245758
