seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,5.0,11.0,7.0,12.0,8.0,1.7483826,-3.793579,-8.206879,-8.072662,-4.8267517
1982,6.0,8.0,11.0,3.0,9.0,-2.3627014,-5.042633,-10.004486,-10.387848,-3.4465332
1983,9.0,6.0,5.0,9.0,6.0,1.4310913,-4.109741,-8.274963,-10.065002,-4.4787292
1984,8.0,6.0,9.0,7.0,13.0,1.2114258,-5.8202515,-9.754303,-10.652649,-7.1323853
1985,3.0,7.0,8.0,6.0,13.0,-0.35253906,-5.9903564,-11.954742,-7.5419617,-4.5375977
1986,11.0,7.0,8.0,3.0,16.0,0.05343628,-8.1427,-11.086731,-11.00293,-5.165039
1987,9.0,6.0,9.0,7.0,7.0,-0.48605347,-6.5603027,-10.147858,-8.776215,-3.8611755
1988,11.0,10.0,4.0,6.0,9.0,0.046295166,-6.6116333,-8.442535,-9.725952,-4.1674194
1989,10.0,6.0,9.0,4.0,10.0,-0.6541748,-4.431793,-6.8247986,-6.6676025,-1.0021667
1990,13.0,6.0,7.0,6.0,9.0,2.5380554,-5.094635,-10.255127,-5.95047,-1.6271973
1991,9.0,6.0,10.0,10.0,7.0,3.1079712,-2.3550415,-6.7310486,-8.362579,-3.908722
1992,6.0,6.0,8.0,6.0,6.0,0.8027649,-4.975281,-8.512604,-7.5749817,-2.9307861
1993,7.0,8.0,8.0,10.0,3.0,0.62835693,-5.0906982,-7.078003,-7.827118,-3.9786682
1994,10.0,12.0,9.0,5.0,10.0,1.3994141,-5.8070984,-10.726776,-7.1462708,-5.318573
1995,7.0,4.0,9.0,6.0,7.0,0.7954407,-6.588562,-9.156708,-8.373077,-3.9813843
1996,7.0,5.0,11.0,4.0,8.0,1.5129395,-5.0148926,-9.353302,-9.113983,-4.8561096
1997,9.0,7.0,7.0,7.0,9.0,-0.30358887,-6.079712,-8.661835,-7.6860657,-4.601959
1998,9.0,7.0,7.0,3.0,13.0,3.0183716,-4.3679504,-11.499115,-10.108978,-2.8047485
1999,12.0,5.0,4.0,7.0,6.0,-1.1919556,-7.5406494,-8.867981,-8.745392,-5.1175537
2000,6.0,9.0,11.0,5.0,12.0,1.0932312,-6.0813904,-9.080017,-10.672516,-5.5531616
2001,6.0,12.0,5.0,5.0,7.0,-0.6956482,-7.432434,-11.615997,-11.366943,-5.556732
2002,6.0,5.0,7.0,5.0,5.0,0.6772766,-9.239349,-8.882843,-6.718811,-2.6437683
2003,9.0,2.0,7.0,6.0,6.0,-1.1727905,-9.468536,-9.849091,-9.96463,-5.091797
2004,5.0,6.0,8.0,10.0,6.0,1.9674988,-5.397888,-8.505707,-7.1013794,-4.4985657
2005,7.0,8.0,8.0,6.0,7.0,3.1589355,-6.3496094,-8.967316,-9.369568,-4.9398804
2006,9.0,10.0,5.0,5.0,13.0,1.5423279,-7.665497,-10.019928,-8.089478,-3.0618896
2007,9.0,6.0,6.0,6.0,6.0,2.3522644,-5.523651,-8.42688,-7.7976074,-3.9730835
2008,7.0,4.0,3.0,5.0,9.0,-0.20303345,-6.3831787,-11.232056,-9.139435,-0.8538513
2009,7.0,11.0,9.0,6.0,7.0,0.5654602,-3.6193542,-7.148407,-8.162659,-2.8423767
2010,12.0,10.0,3.0,7.0,9.0,0.9371033,-6.2554626,-8.078033,-8.951935,-4.438751
2011,7.0,14.0,3.0,7.0,4.0,2.050232,-3.9827576,-10.333527,-7.1434937,-3.9692383
2012,6.0,5.0,4.0,7.0,12.0,1.8198547,-7.6688232,-10.666962,-10.47818,-5.4999695
2013,17.0,12.0,6.0,8.0,8.0,1.3901978,-7.9453735,-11.07135,-9.393188,-4.445282
2014,10.0,6.0,5.0,5.0,10.0,2.0862427,-3.5063477,-9.085785,-8.82309,-3.9002075
2015,7.0,5.0,8.0,6.0,13.0,1.9289551,-6.5593567,-7.526947,-7.152008,-1.6218567
2016,13.0,8.0,4.0,9.0,4.0,1.388794,-4.0747986,-9.009857,-8.049591,-3.2139282
2017,9.0,11.0,8.0,7.0,4.0,-1.6825562,-6.8981323,-10.495758,-7.7387085,-3.4539795
2018,11.0,9.0,9.0,9.0,7.0,0.59780884,-6.785095,-8.178223,-9.625,-1.895752
2019,8.0,5.0,5.0,3.0,7.0,2.067566,-5.814972,-9.261322,-8.582581,-1.9169617
2020,4.0,9.0,6.0,6.0,9.0,-0.34713745,-5.0246887,-7.641449,-8.36795,-1.0706482
2021,10.0,2.0,11.0,6.0,9.0,2.029419,-6.546509,-9.998901,-7.127899,-1.0937805
2022,11.0,7.0,7.0,5.0,10.0,3.2223816,-4.290863,-8.774139,-8.214691,-2.4305725
2023,9.0,7.0,6.0,9.0,8.0,2.4900208,-5.6992188,-10.191559,-8.627563,0.45825195
2024,6.0,9.0,7.0,4.0,6.0,3.195343,-5.5723267,-7.6080933,-7.381195,-3.8847046
2025,6.0,5.0,6.0,5.0,11.0,1.8392334,-6.80249,-6.7175293,-6.573059,-2.7775574
