seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,4.0,4.0,3.0,5.0,13.0,14.243164,6.576874,4.5574036,6.621887,10.352539
1982,9.0,3.0,5.0,9.0,11.0,12.237152,8.550842,5.7550964,6.814575,10.646362
1983,10.0,3.0,3.0,4.0,19.0,14.682861,8.374664,6.4716797,5.94458,10.004028
1984,6.0,2.0,7.0,7.0,9.0,12.479919,7.0875244,3.9628906,4.4552917,7.097931
1985,7.0,6.0,2.0,11.0,16.0,14.986023,8.522247,4.950897,7.570221,10.728241
1986,5.0,5.0,2.0,5.0,11.0,12.655273,7.2726746,4.799164,4.8394775,9.827637
1987,3.0,7.0,6.0,6.0,13.0,13.301239,10.060211,7.173126,7.98761,10.448334
1988,8.0,4.0,5.0,6.0,11.0,14.482056,9.062561,7.771576,6.531769,9.517487
1989,3.0,2.0,11.0,9.0,13.0,11.909973,8.692291,9.685608,9.463043,10.396637
1990,7.0,6.0,10.0,18.0,7.0,13.6297,9.09314,6.4618835,10.180695,11.598267
1991,8.0,5.0,8.0,7.0,16.0,15.101715,9.028564,6.616577,6.5870667,11.910492
1992,6.0,9.0,10.0,5.0,19.0,13.189362,10.747894,8.067932,7.3561096,11.703583
1993,7.0,6.0,9.0,3.0,12.0,13.787567,9.947296,8.051147,8.040985,9.566193
1994,11.0,6.0,6.0,5.0,7.0,15.197205,8.681122,7.2480164,7.1836243,9.107513
1995,6.0,9.0,4.0,6.0,11.0,15.346588,10.307983,6.5657043,7.204254,10.307495
1996,5.0,0.0,8.0,7.0,14.0,12.279694,7.298828,6.6750183,6.4343567,10.198029
1997,11.0,6.0,9.0,6.0,10.0,14.098328,8.84668,6.027893,7.4634705,11.580566
1998,12.0,8.0,13.0,7.0,13.0,15.245026,10.112335,7.123657,9.613037,10.920441
1999,5.0,3.0,5.0,6.0,16.0,14.387146,10.40683,7.127777,7.1325684,11.923065
2000,8.0,5.0,12.0,4.0,11.0,13.825012,8.377197,8.360504,5.8932495,10.360687
2001,10.0,8.0,12.0,9.0,9.0,15.286591,9.63031,6.7839966,8.593964,10.663849
2002,8.0,7.0,5.0,8.0,10.0,13.125183,8.571381,7.5486755,8.270782,11.844666
2003,7.0,9.0,5.0,9.0,14.0,11.360779,9.325592,6.0642395,8.631866,9.814697
2004,16.0,4.0,2.0,5.0,8.0,16.668304,9.004578,5.9393005,8.565979,10.761566
2005,7.0,10.0,6.0,9.0,12.0,14.939606,10.981293,6.2152405,6.7414246,9.286224
2006,8.0,8.0,12.0,12.0,11.0,14.22348,5.987915,7.7619934,8.339203,9.835236
2007,10.0,12.0,4.0,7.0,8.0,14.500885,9.974945,7.832123,9.803864,10.892944
2008,2.0,8.0,10.0,6.0,10.0,13.816498,9.733124,7.466522,6.165985,10.776733
2009,8.0,6.0,5.0,12.0,11.0,13.514893,9.605194,7.152466,10.165039,10.870056
2010,11.0,6.0,5.0,9.0,15.0,14.131195,9.0000305,6.737213,9.2341,10.43042
2011,5.0,7.0,4.0,9.0,5.0,13.267578,8.994873,3.977478,8.4721985,8.504791
2012,9.0,4.0,5.0,11.0,12.0,15.984924,8.201569,5.9520264,6.192505,10.413727
2013,8.0,9.0,2.0,9.0,8.0,12.697815,7.6649475,5.930237,7.7115173,11.628113
2014,8.0,5.0,4.0,11.0,11.0,13.129181,7.8845825,7.496002,7.5575256,10.671814
2015,9.0,7.0,6.0,7.0,13.0,14.796783,7.3397827,7.3134766,7.035858,10.364044
2016,14.0,8.0,8.0,5.0,8.0,16.096313,10.547943,7.279358,7.559143,10.872009
2017,11.0,9.0,3.0,6.0,8.0,14.662231,10.667877,7.2936096,7.518219,9.440308
2018,8.0,3.0,10.0,8.0,11.0,13.730072,7.1332397,5.81604,6.1993713,11.486938
2019,7.0,9.0,5.0,9.0,10.0,14.29364,10.094208,7.743622,9.086578,10.901093
2020,6.0,9.0,9.0,12.0,12.0,14.766998,10.726776,9.364075,9.293732,11.508606
2021,9.0,3.0,5.0,7.0,10.0,15.162231,8.643677,7.0479736,9.264893,12.7977295
2022,4.0,2.0,4.0,6.0,10.0,13.934998,9.050751,6.852356,5.9379272,11.560181
2023,10.0,6.0,6.0,10.0,11.0,16.452667,8.163788,7.20874,8.477753,12.561066
2024,4.0,5.0,5.0,14.0,10.0,14.523224,9.848907,8.297424,9.94046,11.006287
2025,10.0,0.0,4.0,4.0,10.0,15.813416,8.5355835,6.553955,5.7170715,10.716766
