seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,4.0,11.0,5.0,10.0,13.0,10.376617,2.7612915,0.44476318,2.0888062,6.618469
1982,9.0,5.0,8.0,8.0,13.0,7.7778015,4.475189,1.4602051,1.96875,6.7325745
1983,11.0,6.0,9.0,5.0,18.0,11.439453,4.7987366,2.4171448,1.68573,6.1629944
1984,6.0,9.0,11.0,14.0,13.0,8.607422,2.9447632,0.07254028,0.040008545,2.8105469
1985,8.0,9.0,6.0,12.0,15.0,10.112762,4.108185,0.5588379,3.38208,6.553589
1986,12.0,7.0,6.0,6.0,13.0,9.016663,3.1517334,0.3024292,0.53131104,5.479065
1987,6.0,11.0,10.0,9.0,14.0,8.947357,5.4625854,2.6253357,3.381195,6.233124
1988,6.0,4.0,6.0,8.0,13.0,10.303925,5.3273315,3.7359924,1.9607239,5.7841797
1989,5.0,7.0,12.0,12.0,9.0,7.5768433,3.998291,4.868286,5.0420227,6.2617493
1990,10.0,10.0,16.0,13.0,10.0,9.996582,4.6763306,2.1185608,5.4424133,7.1385803
1991,9.0,9.0,9.0,14.0,17.0,11.861084,5.447998,2.1905823,2.3425903,7.446228
1992,6.0,11.0,10.0,11.0,18.0,9.7655945,6.5522766,3.8465881,3.61203,7.7848206
1993,8.0,12.0,17.0,11.0,9.0,10.081543,5.592285,3.7538147,4.2638855,5.489044
1994,13.0,13.0,10.0,12.0,7.0,11.098663,4.6647034,2.6977844,2.5035095,4.525818
1995,7.0,9.0,12.0,6.0,14.0,11.084076,5.5252075,2.3008118,2.5307312,6.634186
1996,6.0,12.0,11.0,13.0,13.0,7.8953247,3.100525,2.6427002,2.0505981,6.1864624
1997,11.0,8.0,11.0,9.0,12.0,9.9131775,5.2106934,1.8460693,2.755188,7.191162
1998,11.0,9.0,16.0,12.0,11.0,11.229706,5.606903,2.6539307,5.131256,7.1862793
1999,7.0,8.0,12.0,15.0,14.0,10.223114,6.0016785,2.9493713,2.9936829,7.688019
2000,8.0,8.0,14.0,15.0,10.0,10.608704,4.5090637,3.55661,1.4945374,5.8576355
2001,11.0,9.0,14.0,13.0,16.0,11.325989,4.8893127,1.5152283,3.195404,6.154602
2002,8.0,10.0,13.0,13.0,11.0,9.479858,4.3424377,3.6291504,4.2024536,8.114105
2003,10.0,13.0,16.0,12.0,13.0,7.526428,4.7359314,2.3193054,3.9345398,5.5052185
2004,15.0,12.0,10.0,9.0,15.0,12.7777405,4.930725,2.0492554,4.628174,6.879425
2005,8.0,10.0,11.0,14.0,15.0,11.577698,6.5535583,2.2389526,2.790039,5.800293
2006,6.0,15.0,9.0,12.0,13.0,10.070801,1.9354858,2.3312073,4.3347473,5.9224854
2007,12.0,13.0,8.0,7.0,8.0,11.122589,5.4643555,3.886261,5.1059875,6.774536
2008,7.0,12.0,12.0,13.0,12.0,10.156036,5.6784973,2.6052246,1.9579468,7.531708
2009,8.0,10.0,13.0,11.0,9.0,10.070404,5.9384766,3.3762512,5.1776123,6.810364
2010,10.0,10.0,12.0,9.0,19.0,10.609619,4.978882,2.8814392,5.0802,7.0470276
2011,4.0,10.0,4.0,10.0,10.0,9.731689,5.317932,0.493927,4.299591,4.92453
2012,8.0,7.0,10.0,13.0,15.0,12.192566,4.2502136,1.7053223,2.0378113,6.1799927
2013,12.0,10.0,5.0,12.0,6.0,9.0242,3.2457275,1.8518982,2.814972,7.7626038
2014,12.0,10.0,7.0,10.0,14.0,9.401001,4.134033,2.7216492,2.9970398,7.3286133
2015,12.0,13.0,13.0,10.0,12.0,10.954498,3.2087402,2.8504944,3.4288635,7.390442
2016,11.0,8.0,6.0,7.0,9.0,12.346558,6.4277954,3.2060547,4.112335,7.473755
2017,10.0,7.0,12.0,11.0,8.0,10.532776,6.274658,2.9080505,3.341339,5.697815
2018,9.0,6.0,7.0,5.0,10.0,9.517151,3.4538574,1.8816528,2.0468445,8.11499
2019,8.0,13.0,7.0,8.0,16.0,11.39386,5.9984436,2.8023376,4.6996765,7.4349976
2020,8.0,7.0,10.0,11.0,15.0,10.506653,6.5052795,5.2122803,5.180084,8.174469
2021,6.0,5.0,8.0,7.0,13.0,11.416992,4.89032,2.6836548,4.8063354,9.18219
2022,6.0,10.0,5.0,5.0,12.0,10.720215,5.235565,1.9294128,2.008545,8.231384
2023,8.0,6.0,8.0,9.0,11.0,12.319611,4.1215515,3.0213318,4.1797485,9.680634
2024,7.0,9.0,10.0,11.0,13.0,11.113922,6.2963867,3.9941711,5.3425903,6.8701477
2025,7.0,3.0,6.0,8.0,13.0,11.618988,4.389435,2.729004,1.890625,7.6956177
