seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,15.0,18.0,11.0,13.0,13.0,-1.4599915,-2.1557312,-4.563446,-3.1787415,-2.2467957
1982,17.0,18.0,9.0,6.0,11.0,0.20690918,-7.4150696,-8.107758,-5.851074,0.26864624
1983,12.0,11.0,16.0,2.0,16.0,3.4245605,-1.2224731,-0.37225342,-4.617279,-0.4916687
1984,8.0,18.0,19.0,10.0,5.0,-0.061340332,-2.6775818,-3.460968,-3.291748,-2.116272
1985,9.0,16.0,12.0,8.0,15.0,2.8504333,-0.6217041,-8.881073,-11.74707,-2.293457
1986,10.0,11.0,16.0,4.0,9.0,-0.80374146,-6.5571594,-5.819702,-9.4435425,0.012756348
1987,15.0,15.0,9.0,7.0,9.0,4.009491,-2.2016602,-12.870453,-5.987915,-4.6371765
1988,16.0,14.0,19.0,16.0,11.0,1.3645325,-4.151764,-0.645813,-1.1898804,-2.1295166
1989,8.0,15.0,5.0,11.0,13.0,-2.170105,-4.2333374,1.2556152,2.0752258,2.5704346
1990,13.0,11.0,14.0,17.0,9.0,1.1675415,-4.0169373,-0.9824219,2.9874878,3.3976746
1991,8.0,12.0,8.0,11.0,13.0,0.009002686,-1.1377563,-2.382019,-3.4801025,1.1740723
1992,12.0,10.0,9.0,8.0,10.0,2.5355225,-0.8939514,-1.0687256,-1.0769348,1.7237549
1993,18.0,5.0,9.0,7.0,10.0,0.6854248,-0.4871521,-1.5070496,-1.835022,0.13781738
1994,11.0,19.0,14.0,3.0,11.0,-0.69467163,-2.043335,-4.6696167,-8.229095,-1.2154846
1995,6.0,16.0,12.0,13.0,16.0,1.2425537,-0.026306152,-4.11911,-1.0813904,0.5610962
1996,10.0,5.0,7.0,6.0,8.0,-2.2088623,-8.471466,-6.997467,-9.084015,-2.0595703
1997,23.0,10.0,2.0,9.0,3.0,1.594635,-5.4328003,-5.1235046,-1.9301453,0.29788208
1998,14.0,15.0,15.0,13.0,10.0,0.602417,-2.6305542,-2.5966492,-0.9685364,-0.749115
1999,11.0,13.0,14.0,14.0,16.0,-1.3291626,-2.432495,-3.182373,-3.0585632,0.4501648
2000,10.0,20.0,7.0,8.0,8.0,3.3662415,-3.0384827,-1.6950073,-1.1116943,0.55960083
2001,21.0,15.0,11.0,7.0,12.0,5.903351,1.6560974,-2.9351807,-4.563751,-1.6078796
2002,11.0,14.0,13.0,16.0,14.0,1.3310852,-3.1209412,-2.9689026,0.29925537,1.2967834
2003,13.0,4.0,13.0,4.0,3.0,-0.14074707,-5.943268,-4.2777405,-4.9425964,1.441803
2004,15.0,15.0,8.0,14.0,7.0,2.9556274,-0.6423645,-5.3101807,-2.5975647,0.38635254
2005,10.0,14.0,13.0,10.0,6.0,0.26263428,-0.47106934,-0.1416626,-3.1254578,-2.9681091
2006,13.0,19.0,4.0,14.0,12.0,3.5263062,-2.0029297,-4.229309,-4.327057,-4.2366943
2007,12.0,10.0,19.0,11.0,10.0,3.2257385,2.7893982,-1.2026978,-4.2663574,2.9647827
2008,16.0,10.0,14.0,9.0,18.0,0.7484741,-0.29370117,0.69628906,1.2808838,0.2934265
2009,18.0,12.0,10.0,10.0,14.0,1.8733215,-0.7250061,-3.3800964,-3.9019775,-0.26971436
2010,15.0,14.0,6.0,12.0,10.0,4.3473206,-3.3885803,-9.153473,-7.144043,-2.3151245
2011,14.0,13.0,10.0,7.0,7.0,-0.92266846,-8.928864,-4.5651855,-6.0385437,-0.20870972
2012,8.0,12.0,9.0,14.0,8.0,4.580414,0.7553711,-3.0646057,-4.8715515,2.5110168
2013,14.0,16.0,10.0,12.0,4.0,3.1673584,-5.1917725,-5.0974426,-3.0931091,-3.7012024
2014,13.0,13.0,11.0,16.0,12.0,2.8771057,1.6383667,-2.911255,0.75146484,2.681305
2015,11.0,12.0,19.0,8.0,9.0,3.9585571,-1.5694885,-0.79467773,-0.917511,2.1999207
2016,14.0,6.0,13.0,13.0,13.0,3.7496643,1.9289856,-5.9367676,-1.3465881,1.5427856
2017,13.0,7.0,5.0,9.0,12.0,0.45410156,-0.19073486,-2.3562622,-2.072815,1.505127
2018,14.0,16.0,12.0,10.0,8.0,2.344452,-0.63308716,-1.8177185,-4.8806763,-2.9387817
2019,10.0,13.0,11.0,9.0,16.0,3.2977905,-0.8753052,-4.627075,-0.32907104,1.0967102
2020,15.0,18.0,7.0,12.0,9.0,2.9050598,1.085022,2.408722,1.3571777,2.104126
2021,13.0,16.0,12.0,6.0,8.0,5.4875183,2.1710205,-3.371338,-4.26178,1.8533325
2022,6.0,8.0,12.0,11.0,0.0,2.2565613,-3.3614502,-1.7079468,-1.1107178,1.5843506
2023,9.0,9.0,15.0,8.0,17.0,4.4761047,-3.366272,-0.6619568,-1.5906067,-0.7628479
2024,17.0,18.0,9.0,10.0,13.0,0.8441467,-4.129181,-5.1820374,-0.9440918,1.6702576
2025,6.0,15.0,14.0,6.0,3.0,2.3884277,0.25668335,-1.2172852,-2.148529,3.1351318
