seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,8.0,6.0,4.0,9.0,14.0,9.788147,1.9061279,-0.9215088,1.2935486,5.5763245
1982,11.0,5.0,6.0,10.0,13.0,7.1110535,3.4433289,0.9380188,1.4627991,5.987732
1983,16.0,6.0,6.0,11.0,19.0,10.50885,4.027954,1.584137,0.7504883,5.2223816
1984,10.0,3.0,8.0,7.0,14.0,7.8282166,1.5529175,-1.0577698,-1.1637878,1.643219
1985,12.0,11.0,5.0,8.0,18.0,9.568726,3.5445251,-0.3781433,2.1452332,6.2397766
1986,12.0,4.0,2.0,3.0,13.0,8.04303,2.2676697,-1.0906982,-0.7865906,4.3523865
1987,5.0,12.0,8.0,10.0,12.0,8.489258,5.2253113,1.3932495,2.4686584,5.2697754
1988,15.0,6.0,7.0,8.0,14.0,10.266846,4.5141907,2.9572754,1.0857849,5.1835938
1989,8.0,2.0,17.0,16.0,17.0,6.426483,2.8418274,4.1211243,4.3983765,5.743408
1990,13.0,10.0,12.0,20.0,15.0,9.883942,3.9365845,1.1102295,5.1688843,6.3184814
1991,11.0,8.0,6.0,8.0,20.0,11.145081,4.224243,1.0461731,0.60528564,7.005768
1992,12.0,16.0,8.0,7.0,20.0,9.14505,5.3146973,2.531372,2.0579224,7.36499
1993,15.0,11.0,18.0,7.0,16.0,9.554871,4.6151123,2.952301,2.6230164,4.8281555
1994,11.0,11.0,7.0,10.0,11.0,9.968842,3.8301392,1.4172058,0.97039795,3.8911133
1995,10.0,9.0,4.0,8.0,16.0,10.400269,4.818329,0.9414673,1.9508362,5.191864
1996,8.0,2.0,8.0,9.0,14.0,7.4402466,2.0393677,1.3187256,1.0606079,4.765106
1997,17.0,7.0,5.0,8.0,14.0,9.49585,3.866211,0.8825073,1.7959595,6.116089
1998,15.0,14.0,13.0,16.0,9.0,10.879425,4.7719116,0.70306396,3.5420227,5.8525696
1999,8.0,9.0,6.0,5.0,21.0,9.045532,4.6960754,1.1654053,1.2058716,7.1365356
2000,11.0,2.0,14.0,7.0,10.0,9.808075,3.2129517,3.2912903,0.14419556,4.210785
2001,16.0,11.0,9.0,11.0,15.0,11.168823,3.9374695,-0.06021118,2.0541992,4.688568
2002,11.0,10.0,9.0,9.0,13.0,8.589813,3.024231,2.0642395,2.5732727,6.9147644
2003,10.0,16.0,10.0,18.0,20.0,6.3601074,3.6977234,0.7729187,3.0940857,4.9711914
2004,24.0,10.0,6.0,9.0,17.0,12.216248,4.057251,1.0045776,3.0476685,5.7780457
2005,15.0,9.0,8.0,10.0,12.0,11.556183,6.136322,1.2632446,1.6366272,4.5157776
2006,8.0,6.0,11.0,12.0,13.0,8.853882,0.4482422,0.8006592,3.1486206,4.7727356
2007,12.0,11.0,12.0,13.0,11.0,9.835846,4.7956543,2.7946167,4.5121765,5.9177246
2008,12.0,6.0,12.0,7.0,15.0,9.344177,4.077667,1.7773132,0.574646,6.3998413
2009,10.0,11.0,10.0,11.0,16.0,8.701355,4.958618,1.9325867,4.3235474,5.5827637
2010,16.0,12.0,7.0,14.0,17.0,9.796356,4.2173157,1.4003296,3.5768433,5.991577
2011,8.0,8.0,0.0,11.0,7.0,8.888855,4.388397,-1.0186157,3.5162048,3.2201233
2012,11.0,5.0,5.0,15.0,13.0,10.946106,3.1736755,0.1816101,1.3240356,4.8082886
2013,13.0,13.0,5.0,12.0,15.0,8.370392,2.3226929,0.31832886,1.2244568,7.0700684
2014,12.0,7.0,8.0,18.0,15.0,8.241577,2.8796082,1.8797607,2.8450928,5.8106995
2015,17.0,12.0,10.0,13.0,14.0,10.422577,2.052124,1.4766235,2.2798462,6.090393
2016,16.0,12.0,7.0,9.0,17.0,11.291199,6.1123657,1.8733826,3.05896,7.1295166
2017,14.0,5.0,3.0,9.0,14.0,9.989105,5.436249,1.9224854,2.2546692,4.5002136
2018,10.0,4.0,5.0,4.0,15.0,8.733063,2.5671692,0.5064392,1.111145,7.837219
2019,14.0,11.0,6.0,14.0,13.0,11.405792,5.3928833,1.9432373,4.462982,6.5467224
2020,13.0,12.0,12.0,9.0,14.0,10.911804,6.3912354,4.1103516,4.139862,7.2056274
2021,9.0,7.0,9.0,4.0,16.0,11.034149,4.3424683,2.1826782,3.9917603,9.250458
2022,12.0,7.0,7.0,7.0,15.0,9.95816,4.3018494,1.4160156,1.3431702,7.2989197
2023,18.0,7.0,9.0,13.0,15.0,11.827301,3.4453125,2.1701355,3.8772583,9.539154
2024,9.0,8.0,10.0,14.0,15.0,10.702972,5.6799927,3.1169434,5.517975,5.573883
2025,17.0,2.0,6.0,5.0,19.0,11.809235,3.5747375,2.307129,1.0553589,6.9036865
