seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,4.0,6.0,4.0,7.0,11.0,11.950867,4.659912,2.1906433,3.8600159,8.327362
1982,8.0,4.0,9.0,7.0,11.0,10.118225,6.658081,3.4628906,4.084442,8.548859
1983,10.0,6.0,7.0,5.0,17.0,13.094696,6.8625793,4.352173,3.4659119,7.7207336
1984,4.0,5.0,9.0,7.0,10.0,10.609436,5.129425,1.973938,1.7380371,4.7443542
1985,6.0,7.0,3.0,9.0,13.0,12.637909,6.2634583,2.7635498,5.1983643,8.295532
1986,9.0,8.0,3.0,5.0,11.0,11.122833,5.1720276,2.492096,2.4034119,7.429718
1987,4.0,7.0,9.0,8.0,15.0,11.336792,7.9576416,4.818054,5.5173035,8.184204
1988,4.0,5.0,5.0,7.0,10.0,12.495026,7.508667,5.7431946,3.994934,7.3460693
1989,4.0,4.0,10.0,11.0,11.0,10.151855,6.467682,6.8161926,6.743347,7.8536987
1990,8.0,6.0,10.0,14.0,12.0,11.992737,7.0069275,4.266815,7.378845,9.175507
1991,9.0,6.0,7.0,9.0,15.0,13.509827,7.4166565,4.2047424,4.3473206,9.282257
1992,5.0,11.0,9.0,7.0,19.0,11.700745,8.848358,5.9295654,5.557556,9.46582
1993,8.0,7.0,12.0,7.0,8.0,12.177155,7.677887,5.952118,6.35849,7.7552185
1994,13.0,10.0,9.0,9.0,8.0,12.698944,6.735382,5.1730347,4.9198914,6.746277
1995,7.0,7.0,5.0,5.0,12.0,13.023865,7.5701294,4.372589,4.4663086,8.326904
1996,7.0,5.0,7.0,7.0,10.0,10.349213,5.5062256,4.824768,4.2548523,8.008026
1997,11.0,7.0,6.0,6.0,9.0,11.688782,7.131073,3.9032898,5.2747498,9.43515
1998,9.0,10.0,13.0,9.0,10.0,13.3385315,7.768097,4.508087,6.9960327,9.0372925
1999,5.0,4.0,6.0,10.0,13.0,12.288574,8.051178,4.9914856,5.1851196,9.420502
2000,8.0,7.0,11.0,8.0,9.0,12.290283,6.666168,5.479126,3.7061157,8.149231
2001,12.0,7.0,12.0,13.0,13.0,12.989288,7.2691345,3.6616821,5.5176697,8.334991
2002,7.0,8.0,8.0,9.0,9.0,11.430145,6.3063965,5.30484,6.1039734,10.09436
2003,9.0,11.0,7.0,12.0,10.0,9.703033,6.904907,4.5475464,6.332123,7.5574646
2004,15.0,8.0,4.0,7.0,7.0,14.082428,7.034851,4.078949,6.449768,8.840363
2005,7.0,8.0,7.0,7.0,13.0,13.352295,8.367401,4.2265625,4.0560913,7.2727356
2006,7.0,7.0,7.0,13.0,11.0,12.385162,3.8477478,4.6756897,6.0651855,8.073151
2007,11.0,9.0,5.0,8.0,9.0,12.824493,7.5586243,5.8230286,7.3303833,8.870789
2008,3.0,7.0,8.0,7.0,13.0,12.319702,7.8472595,4.717682,4.152588,9.038788
2009,9.0,8.0,7.0,11.0,10.0,11.726196,7.869171,5.3048096,7.2625732,8.535034
2010,11.0,7.0,8.0,10.0,15.0,12.373199,6.9212036,4.636841,6.7891846,8.31665
2011,4.0,10.0,2.0,10.0,5.0,11.585754,6.7469482,2.1499329,6.16333,6.7006226
2012,9.0,3.0,7.0,11.0,11.0,13.906067,6.2023926,3.7951965,3.5281067,7.8706665
2013,11.0,11.0,4.0,9.0,7.0,10.949493,4.9490356,3.6459045,4.993408,9.657806
2014,8.0,7.0,7.0,9.0,10.0,11.42691,5.98645,5.006775,5.0837097,8.978607
2015,10.0,10.0,9.0,8.0,11.0,12.687653,4.7777405,4.835144,5.2572937,8.857239
2016,11.0,6.0,4.0,4.0,6.0,13.840149,8.140686,4.8441467,5.815399,9.205902
2017,9.0,9.0,6.0,8.0,5.0,12.292145,8.100189,4.548584,4.9392395,7.493683
2018,10.0,5.0,9.0,5.0,9.0,11.321625,5.084564,3.5193176,3.5812378,9.094727
2019,5.0,11.0,5.0,7.0,13.0,12.573822,7.632843,4.9605103,6.105438,8.775116
2020,4.0,8.0,8.0,9.0,14.0,12.58139,8.295013,6.66098,6.4966736,9.476837
2021,5.0,4.0,7.0,4.0,11.0,13.108948,6.543152,4.2386475,6.4179993,10.02478
2022,5.0,3.0,4.0,3.0,12.0,12.461243,6.910248,3.8805237,3.61969,9.424622
2023,7.0,6.0,9.0,10.0,10.0,14.209106,6.037964,4.7948,5.6020203,11.062042
2024,6.0,7.0,7.0,11.0,11.0,13.284119,7.8673706,5.7593384,6.5655212,8.254303
2025,7.0,1.0,4.0,5.0,10.0,13.157013,6.437683,4.468231,3.331543,8.545807
