seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,10.0,7.0,4.0,6.0,12.0,12.518799,6.507965,3.1269226,4.589691,8.504944
1982,8.0,3.0,2.0,8.0,11.0,10.232117,6.709778,4.6230164,4.0671387,8.671631
1983,13.0,6.0,5.0,7.0,13.0,13.176056,7.8775635,4.3624268,4.338379,7.429413
1984,10.0,6.0,7.0,5.0,11.0,10.639465,5.0708923,2.5841675,2.1125488,5.026306
1985,5.0,4.0,3.0,9.0,19.0,11.577362,6.4882507,2.9122925,5.886322,8.130371
1986,8.0,4.0,3.0,6.0,12.0,12.248657,5.9914856,3.217865,3.15979,7.299652
1987,5.0,10.0,5.0,7.0,12.0,11.135345,7.5421753,4.858612,6.040222,8.799774
1988,12.0,6.0,5.0,8.0,12.0,12.001282,7.211914,6.3665466,3.736267,8.228424
1989,9.0,1.0,13.0,13.0,12.0,10.183807,6.447235,6.916992,6.7624207,8.663757
1990,9.0,5.0,9.0,18.0,13.0,12.752991,7.157837,4.2864685,7.5759277,9.374084
1991,10.0,5.0,8.0,6.0,15.0,14.542603,8.268433,4.697754,5.034027,9.635345
1992,8.0,9.0,7.0,6.0,19.0,12.23172,8.174164,5.687683,5.4463806,9.61908
1993,9.0,8.0,15.0,6.0,11.0,12.494415,7.993683,5.5830383,6.2432556,7.694275
1994,8.0,13.0,8.0,7.0,9.0,13.067627,7.3446045,4.6059265,4.603424,6.971039
1995,7.0,8.0,4.0,7.0,14.0,12.246979,7.419403,4.47171,4.7536316,8.1813965
1996,6.0,3.0,5.0,4.0,14.0,11.146637,6.217865,4.66098,4.431061,8.024475
1997,10.0,5.0,3.0,6.0,11.0,12.562256,7.84256,4.512024,5.111786,9.156677
1998,12.0,9.0,12.0,11.0,11.0,13.667084,7.9435425,4.399872,6.187866,8.574646
1999,3.0,6.0,5.0,6.0,16.0,12.578583,7.7067566,4.8049927,5.2025146,9.3237915
2000,9.0,4.0,11.0,5.0,10.0,13.26944,7.4736633,6.4398193,3.8927612,7.99881
2001,16.0,6.0,9.0,8.0,11.0,12.93103,7.0168457,3.4998474,4.762085,8.159637
2002,9.0,9.0,6.0,6.0,8.0,11.75827,6.1498413,5.889923,5.831421,10.603882
2003,8.0,13.0,7.0,14.0,15.0,10.108673,6.3192444,4.2313232,4.967987,7.6906433
2004,19.0,6.0,5.0,7.0,12.0,14.540955,7.539276,4.2430115,6.9069214,8.4956665
2005,10.0,9.0,8.0,9.0,12.0,14.363586,8.262146,4.922516,4.8548584,8.119141
2006,7.0,2.0,10.0,10.0,10.0,11.938995,4.5958557,3.758789,6.087372,8.514984
2007,12.0,10.0,10.0,9.0,9.0,13.148163,7.8014526,5.911133,7.0212097,9.123627
2008,13.0,8.0,9.0,8.0,10.0,12.240143,8.119843,4.577759,4.171814,9.32135
2009,10.0,8.0,10.0,10.0,13.0,12.012787,8.5963745,5.4586487,6.538025,8.511688
2010,13.0,8.0,7.0,10.0,13.0,12.527466,7.554199,5.1805115,5.610443,8.573853
2011,8.0,8.0,0.0,10.0,7.0,12.365295,8.3012085,3.0680847,6.0187683,6.584137
2012,10.0,6.0,6.0,11.0,12.0,13.678131,5.9750366,3.3486633,4.332947,7.8704224
2013,12.0,11.0,6.0,12.0,11.0,11.514648,5.9361267,3.657074,4.5926514,10.148987
2014,10.0,6.0,5.0,12.0,11.0,11.970947,6.827881,4.810028,4.884094,8.92337
2015,14.0,8.0,9.0,9.0,14.0,13.188965,6.1445007,4.7628784,5.152588,9.157837
2016,14.0,8.0,5.0,8.0,13.0,13.876465,8.707001,5.3006897,6.493225,9.327026
2017,14.0,6.0,4.0,7.0,14.0,11.4218445,8.298676,5.0134277,5.635193,7.3630676
2018,12.0,4.0,3.0,3.0,12.0,12.041107,6.112213,4.2813416,4.5713196,10.493866
2019,12.0,10.0,3.0,11.0,10.0,13.708496,7.757263,4.5108643,6.607849,9.579712
2020,12.0,10.0,11.0,7.0,13.0,13.011902,8.546936,6.747284,7.523773,9.974823
2021,5.0,6.0,7.0,3.0,10.0,13.548492,7.199646,4.982849,7.2518616,11.646179
2022,9.0,8.0,5.0,4.0,15.0,13.121582,7.184021,3.734253,4.113037,9.996704
2023,10.0,5.0,8.0,7.0,13.0,14.07489,6.736786,4.881653,6.3809204,11.932739
2024,6.0,7.0,7.0,11.0,12.0,14.111511,8.949127,6.3857117,7.099243,8.817749
2025,9.0,2.0,4.0,5.0,15.0,13.428375,7.2230835,5.5545654,5.223755,9.930115
