seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,19.0,30.0,31.0,25.0,19.0,4.0741577,-3.711609,-7.167389,-5.411194,-0.654541
1982,25.0,21.0,27.0,22.0,21.0,0.81936646,-2.7878113,-5.8223877,-6.3080444,-0.4328308
1983,20.0,25.0,24.0,23.0,23.0,4.794525,-1.5699768,-5.2135315,-5.7133484,-1.1429749
1984,23.0,27.0,30.0,24.0,26.0,2.0760498,-4.582672,-7.5759277,-8.660217,-5.669647
1985,15.0,23.0,28.0,23.0,20.0,3.0740662,-2.704956,-8.217224,-4.767456,-1.1295471
1986,25.0,26.0,26.0,27.0,20.0,2.6447754,-3.883545,-7.397644,-8.523224,-2.85672
1987,21.0,20.0,27.0,19.0,24.0,2.0760498,-1.2923279,-5.324005,-4.652008,-1.013855
1988,18.0,21.0,25.0,25.0,23.0,3.5195923,-1.7407837,-3.964264,-7.2250977,-1.9142761
1989,28.0,21.0,24.0,22.0,22.0,0.97650146,-3.1541138,-2.5885315,-2.7864075,-0.6723633
1990,19.0,27.0,29.0,20.0,19.0,4.287689,-2.2879639,-6.0419006,-1.4550171,0.2515869
1991,21.0,25.0,28.0,25.0,19.0,5.5168457,-1.2614136,-4.7673645,-5.8138733,-0.20785522
1992,16.0,24.0,26.0,25.0,21.0,3.350708,-0.6741333,-3.577179,-4.9627686,-0.030426025
1993,18.0,26.0,26.0,25.0,23.0,3.6608887,-1.5333557,-3.815033,-4.0726624,-2.3297424
1994,22.0,25.0,28.0,25.0,23.0,4.727478,-2.3420715,-5.419464,-6.264557,-3.849823
1995,21.0,27.0,28.0,24.0,25.0,4.289917,-2.136078,-5.857086,-5.9651794,-1.4213867
1996,22.0,28.0,28.0,24.0,24.0,1.3085938,-4.162384,-5.9866943,-6.6203003,-2.3650513
1997,28.0,26.0,29.0,19.0,20.0,3.2741394,-1.7723999,-5.729706,-5.8855286,-0.9691467
1998,20.0,24.0,30.0,19.0,18.0,4.499298,-1.2009888,-4.844574,-3.67688,-0.9232788
1999,21.0,26.0,29.0,25.0,22.0,3.1752625,-0.9710388,-5.1979065,-5.8670044,-0.09371948
2000,22.0,28.0,24.0,27.0,25.0,4.0118103,-2.1949768,-3.9069824,-6.7598877,-3.4499207
2001,20.0,23.0,28.0,21.0,24.0,4.7822266,-2.5064697,-6.4031067,-5.7994995,-2.2902222
2002,20.0,30.0,28.0,22.0,19.0,2.8580322,-3.2809143,-3.5271606,-4.5190735,0.27215576
2003,25.0,27.0,29.0,24.0,17.0,0.57785034,-2.5773315,-5.9092712,-4.986145,-2.527954
2004,21.0,29.0,27.0,21.0,22.0,6.3950806,-1.6808167,-5.7800903,-3.6795654,-1.4315491
2005,20.0,24.0,28.0,25.0,27.0,5.58902,-0.3678894,-4.855255,-5.619568,-2.460083
2006,24.0,30.0,27.0,21.0,26.0,2.9638672,-5.043335,-6.3819275,-4.2203064,-2.0447388
2007,22.0,25.0,24.0,19.0,22.0,4.5980835,-1.2749329,-3.5980835,-2.6594543,-1.3790283
2008,18.0,27.0,30.0,27.0,23.0,3.2450867,-1.0575867,-5.1836243,-6.424774,-0.19692993
2009,20.0,23.0,26.0,21.0,20.0,2.948944,-0.8557434,-4.3992004,-3.2061462,-0.43356323
2010,22.0,26.0,28.0,21.0,28.0,3.992279,-1.7002563,-4.625641,-3.656311,-0.75201416
2011,23.0,28.0,31.0,19.0,24.0,3.0648499,-1.1128845,-7.05896,-4.950012,-3.695465
2012,19.0,28.0,28.0,28.0,26.0,5.5463867,-2.998352,-6.264862,-6.2145386,-1.7590942
2013,26.0,27.0,27.0,27.0,19.0,2.473297,-3.8576355,-6.1221313,-6.056244,-0.30264282
2014,25.0,28.0,24.0,25.0,21.0,2.8084412,-2.644989,-6.060028,-6.1569214,-0.653656
2015,19.0,29.0,27.0,23.0,20.0,4.7855835,-3.683838,-5.035858,-4.662262,-0.73809814
2016,22.0,23.0,30.0,23.0,19.0,6.17334,-0.2848816,-4.249756,-4.505493,-0.057922363
2017,24.0,27.0,25.0,23.0,20.0,3.45813,-0.9898071,-5.0440063,-5.1242676,-2.072174
2018,21.0,26.0,28.0,21.0,16.0,2.6410828,-3.4440002,-5.8013916,-6.0511475,0.7831421
2019,20.0,28.0,27.0,19.0,21.0,5.1193542,-1.257904,-5.253235,-3.3561401,-0.004486084
2020,18.0,24.0,27.0,22.0,21.0,4.111664,-0.4243164,-1.8494568,-2.467102,1.2746887
2021,19.0,28.0,28.0,17.0,15.0,5.084076,-1.7216492,-4.4555664,-2.9016418,2.0889587
2022,18.0,28.0,25.0,24.0,17.0,4.209961,-1.9640198,-6.314453,-5.815613,-0.009094238
2023,18.0,31.0,27.0,20.0,14.0,5.718384,-2.017212,-4.5789795,-3.7576294,3.4667664
2024,19.0,25.0,28.0,20.0,24.0,5.032837,-0.33984375,-3.3403625,-2.335785,-1.0404663
2025,22.0,29.0,26.0,26.0,22.0,5.4460754,-2.202423,-4.1858215,-5.769165,-0.24447632
