seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,8.0,4.0,6.0,10.0,9.0,7.992279,2.8894958,-0.9630432,4.177643,7.0855713
1982,10.0,8.0,12.0,12.0,15.0,9.0416565,1.1075134,-0.736969,2.0277405,9.992737
1983,11.0,11.0,8.0,10.0,14.0,9.216034,7.0391846,1.1225891,3.6559143,8.226746
1984,11.0,12.0,6.0,13.0,14.0,8.287781,-1.0941162,-1.3988953,4.870331,6.7156067
1985,11.0,13.0,12.0,9.0,13.0,6.538025,7.558899,-2.8162231,-0.37234497,10.026855
1986,14.0,7.0,5.0,11.0,6.0,12.352661,0.050842285,1.0536804,5.0752563,8.985931
1987,14.0,8.0,10.0,11.0,11.0,9.26712,2.5572815,1.1392212,4.5249023,9.106201
1988,8.0,12.0,9.0,9.0,9.0,9.901581,4.7825623,-0.7665405,1.9382629,8.27478
1989,11.0,7.0,13.0,16.0,11.0,9.271057,3.2119446,4.7066345,1.6967468,9.357117
1990,10.0,10.0,10.0,12.0,15.0,8.046356,-2.5178833,4.807068,7.765869,9.884033
1991,7.0,15.0,11.0,10.0,12.0,10.519104,5.376007,2.4208984,5.07193,9.42569
1992,7.0,11.0,9.0,9.0,13.0,6.8680115,4.8900757,2.552124,6.2948,8.585968
1993,9.0,12.0,11.0,7.0,17.0,7.886566,3.3154907,3.645996,2.8016052,6.963379
1994,10.0,10.0,11.0,9.0,13.0,7.83432,3.442749,-1.6581116,4.40921,7.788513
1995,8.0,8.0,13.0,10.0,7.0,10.987122,5.741791,2.5961914,2.6517334,10.120972
1996,10.0,10.0,14.0,12.0,11.0,5.0892944,2.1333923,0.7215271,3.3700256,5.3992004
1997,13.0,15.0,11.0,10.0,14.0,6.207794,5.1902466,1.2874146,6.277954,10.844574
1998,13.0,12.0,12.0,14.0,16.0,6.215851,3.0346375,5.2214966,5.745758,8.207428
1999,8.0,12.0,15.0,11.0,11.0,10.537994,5.453644,4.2851257,6.205414,5.8754272
2000,7.0,6.0,13.0,6.0,10.0,11.404297,4.781708,2.819519,6.751129,10.851532
2001,10.0,11.0,11.0,12.0,11.0,8.047394,-1.2637024,0.28128052,5.6405945,5.9047546
2002,9.0,9.0,9.0,7.0,14.0,11.903961,6.232025,4.2010803,3.5789795,8.534973
2003,10.0,12.0,7.0,19.0,9.0,7.0177307,2.8714294,-0.45559692,2.8356018,9.77121
2004,11.0,10.0,8.0,10.0,13.0,11.127075,2.8247375,2.096527,2.8927612,10.678833
2005,12.0,10.0,8.0,13.0,11.0,11.107178,2.8494873,4.4591064,5.899719,7.5374146
2006,9.0,9.0,11.0,12.0,10.0,10.146118,1.5003052,6.325531,2.8893433,9.1026
2007,9.0,7.0,9.0,9.0,11.0,8.272491,5.5616455,3.8057861,1.3781128,13.067322
2008,9.0,16.0,9.0,11.0,10.0,8.473816,6.5388184,1.226593,4.589264,8.72171
2009,6.0,13.0,10.0,9.0,13.0,7.374298,3.3190613,0.8169861,4.547638,9.737244
2010,2.0,12.0,10.0,8.0,11.0,9.303558,2.3626404,-0.76919556,-0.5080261,7.9433594
2011,12.0,10.0,11.0,13.0,15.0,9.5885315,-0.27786255,0.5054321,5.4043884,9.513702
2012,12.0,9.0,9.0,13.0,16.0,10.22467,5.1566467,5.006256,6.429596,14.9374695
2013,4.0,14.0,11.0,12.0,14.0,7.1536255,6.9542236,3.7404785,3.6328125,5.7031555
2014,9.0,14.0,6.0,10.0,8.0,6.575592,3.513153,-1.5891113,1.6362915,6.09729
2015,10.0,11.0,9.0,8.0,16.0,4.693115,5.0281067,1.3360596,-1.4521484,8.67691
2016,11.0,13.0,8.0,13.0,15.0,11.503357,10.267242,0.7803955,4.6952515,11.558563
2017,6.0,12.0,16.0,14.0,15.0,12.283295,3.9284058,6.462372,8.972382,10.376526
2018,8.0,5.0,7.0,18.0,16.0,9.405426,3.109436,-0.5211792,8.5034485,8.559479
2019,12.0,12.0,11.0,17.0,12.0,6.4046936,5.0858765,2.9347534,7.438904,7.475128
2020,10.0,11.0,12.0,15.0,17.0,5.9302673,6.9357605,5.1893005,5.248535,11.874512
2021,6.0,8.0,12.0,13.0,15.0,10.314667,3.5167236,3.2710876,1.4291382,11.477509
2022,5.0,12.0,10.0,9.0,8.0,6.861084,10.091431,0.26281738,4.038208,9.756683
2023,9.0,13.0,14.0,12.0,11.0,9.584869,4.4605103,6.761322,8.346893,9.59314
2024,2.0,7.0,11.0,11.0,9.0,10.313263,6.445221,0.8752136,7.965851,11.3594055
2025,10.0,10.0,7.0,11.0,11.0,12.305756,5.538391,0.12298584,5.4714966,11.031097
