seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,8.0,7.0,2.0,8.0,9.0,9.472015,3.3575134,0.060638428,1.6139221,5.6374207
1982,6.0,2.0,6.0,7.0,10.0,6.565216,3.1746216,1.4231567,1.1187134,6.050934
1983,11.0,3.0,6.0,9.0,13.0,10.024628,4.681671,1.2063904,1.0987244,4.954254
1984,8.0,4.0,5.0,4.0,8.0,7.890045,1.8166504,-0.5500488,-1.4341125,1.6570129
1985,6.0,4.0,3.0,8.0,15.0,8.369019,3.2691345,-0.7704773,2.649475,5.0920105
1986,9.0,2.0,1.0,6.0,12.0,8.828644,2.44516,-0.09420776,-0.17385864,4.193695
1987,2.0,8.0,6.0,5.0,10.0,7.914032,3.8598328,1.1792297,2.580017,5.851227
1988,8.0,5.0,5.0,5.0,13.0,8.541199,4.0095215,2.961609,0.40124512,5.0336914
1989,9.0,1.0,11.0,12.0,13.0,6.531708,3.3278503,3.5796509,3.2489624,5.896759
1990,6.0,5.0,10.0,14.0,11.0,10.07901,3.780548,0.42977905,4.198639,6.659027
1991,10.0,3.0,5.0,4.0,13.0,11.518768,5.3154907,1.3761292,1.7917786,6.4632874
1992,7.0,6.0,7.0,2.0,13.0,8.931793,4.917572,2.368805,2.2785034,6.256012
1993,5.0,5.0,12.0,8.0,9.0,9.211761,4.6427917,1.9596252,2.4935303,4.882782
1994,6.0,10.0,7.0,6.0,7.0,9.915649,3.6767273,1.1013794,1.4046326,3.7932434
1995,8.0,6.0,4.0,4.0,13.0,9.330658,3.7282104,0.74105835,1.5683899,5.0616455
1996,4.0,1.0,4.0,4.0,12.0,7.4399414,2.388153,0.74993896,1.1045532,4.7898865
1997,10.0,4.0,3.0,5.0,10.0,8.915253,4.4880676,1.1533508,1.9312439,6.1407776
1998,13.0,7.0,9.0,9.0,11.0,10.237915,4.5302124,0.79003906,2.76062,5.671875
1999,4.0,5.0,1.0,6.0,13.0,8.938324,4.192993,1.3474731,1.6770325,6.187561
2000,9.0,2.0,11.0,6.0,8.0,9.903717,3.6177979,2.7525635,0.7779846,4.6914673
2001,9.0,5.0,7.0,9.0,13.0,9.2664795,3.336609,-0.39611816,1.0656128,4.748474
2002,6.0,6.0,6.0,6.0,8.0,8.781158,2.4287415,2.230835,2.7687683,7.4255066
2003,7.0,9.0,7.0,10.0,9.0,6.43808,2.5956726,0.81140137,1.8511353,4.7501526
2004,17.0,5.0,4.0,5.0,10.0,11.172638,3.9944763,0.94436646,3.5739136,5.50058
2005,10.0,6.0,7.0,7.0,8.0,11.4713745,4.693817,1.0686646,1.0629272,4.3157043
2006,5.0,4.0,7.0,10.0,11.0,8.444702,1.0429993,0.20040894,2.5577393,5.222992
2007,9.0,7.0,4.0,7.0,9.0,10.342194,4.716034,2.657135,3.506195,5.756378
2008,6.0,11.0,5.0,8.0,10.0,8.911102,4.5267944,1.173645,0.83792114,6.4968567
2009,7.0,8.0,9.0,8.0,10.0,8.6857605,5.1082764,2.2010193,2.935852,5.4737854
2010,12.0,5.0,4.0,8.0,14.0,9.582275,4.1016235,1.8004456,2.5551453,5.3580017
2011,6.0,7.0,3.0,9.0,9.0,9.42804,4.857849,-0.060272217,2.4535522,3.7820435
2012,9.0,5.0,5.0,11.0,14.0,10.534882,2.3921814,-0.05682373,0.54281616,4.586853
2013,10.0,11.0,6.0,9.0,10.0,7.914673,2.1834106,0.25421143,0.8383484,6.812958
2014,8.0,6.0,4.0,9.0,11.0,8.595581,3.5279846,1.1183472,1.3223267,6.015747
2015,10.0,9.0,8.0,6.0,8.0,9.899567,2.4164429,1.3122253,2.0992737,6.580902
2016,13.0,8.0,4.0,6.0,10.0,11.0512085,5.2115784,2.139618,2.94812,6.7079163
2017,13.0,6.0,4.0,6.0,9.0,7.9081726,4.742218,1.6012573,2.2331848,4.724762
2018,8.0,2.0,3.0,3.0,8.0,8.488953,2.8248901,0.62942505,1.3414917,8.073059
2019,7.0,5.0,2.0,7.0,10.0,10.9531555,4.077606,1.1342468,3.202057,6.662903
2020,10.0,5.0,9.0,5.0,10.0,9.417847,4.9846497,3.5286255,4.3124084,7.164795
2021,4.0,5.0,7.0,3.0,9.0,10.105316,3.633789,1.3536377,3.8725586,8.758942
2022,5.0,6.0,3.0,6.0,9.0,10.222168,3.9750671,0.6531067,1.0808411,6.8884277
2023,8.0,7.0,2.0,6.0,10.0,10.927856,3.5542297,1.829071,2.9744568,9.584106
2024,7.0,7.0,8.0,10.0,10.0,10.780212,5.609192,3.1374512,4.1282654,5.829254
2025,7.0,2.0,4.0,1.0,15.0,10.428589,3.8165588,2.3998108,1.8293152,6.949768
