seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,7.0,10.0,6.0,9.0,13.0,9.981415,1.832489,-0.6014099,1.3467712,6.0591736
1982,10.0,7.0,9.0,7.0,12.0,7.072876,3.6161804,0.7528076,1.309906,6.0576477
1983,12.0,8.0,7.0,8.0,20.0,10.922058,3.7373657,1.5471802,0.901001,5.6088257
1984,6.0,5.0,9.0,9.0,12.0,7.68396,1.9553833,-0.8925476,-0.7960205,2.1627808
1985,10.0,9.0,9.0,12.0,17.0,9.5451355,3.38089,-0.37677002,2.705536,6.291443
1986,13.0,5.0,8.0,6.0,14.0,8.325653,2.3250427,-0.53344727,-0.52911377,4.792053
1987,6.0,10.0,8.0,8.0,17.0,8.064484,4.7072144,1.9303284,2.5581055,5.449768
1988,10.0,3.0,8.0,8.0,15.0,9.574127,4.432556,3.0140076,1.0773926,5.11792
1989,5.0,5.0,15.0,13.0,12.0,6.942383,3.1005554,4.4196777,4.5170593,5.4428406
1990,11.0,9.0,15.0,15.0,11.0,9.138275,4.023926,1.4114685,5.0774536,6.496155
1991,10.0,10.0,9.0,15.0,19.0,11.021576,4.4763184,1.3923645,1.4336243,7.2349243
1992,8.0,13.0,11.0,8.0,17.0,9.132843,5.859497,2.9732666,2.5789795,7.3487854
1993,9.0,10.0,17.0,12.0,12.0,9.427521,4.982147,3.209381,3.3941956,4.520691
1994,16.0,14.0,10.0,13.0,9.0,10.54364,3.983368,1.7455444,1.584259,3.8647156
1995,11.0,9.0,10.0,7.0,13.0,10.488281,4.9116516,1.5524902,1.5870056,5.877777
1996,8.0,12.0,9.0,14.0,14.0,7.0091248,2.2297058,1.9186096,1.1126709,5.4527283
1997,13.0,10.0,10.0,9.0,14.0,9.4964905,4.358124,1.0665283,1.9093933,6.488861
1998,11.0,12.0,14.0,14.0,14.0,10.514038,4.9335938,1.9022217,4.419922,6.352295
1999,6.0,8.0,12.0,12.0,18.0,9.65683,5.293518,2.1130981,2.0180664,7.251251
2000,15.0,10.0,15.0,12.0,10.0,9.827148,3.591217,3.085785,0.53604126,4.8659363
2001,18.0,8.0,13.0,13.0,17.0,11.161774,4.3313293,1.0905457,2.8304443,5.620178
2002,8.0,11.0,11.0,13.0,10.0,8.691315,3.560791,2.835968,3.388214,7.3084717
2003,10.0,15.0,14.0,11.0,14.0,6.6053467,3.977539,1.3749695,3.2749634,4.852478
2004,20.0,11.0,11.0,10.0,18.0,12.625092,4.2494507,1.164093,3.7309875,6.1986084
2005,8.0,12.0,11.0,11.0,15.0,10.82901,6.06485,1.4362183,2.2988281,5.007599
2006,6.0,12.0,12.0,13.0,13.0,9.154968,0.87701416,1.7816772,4.01001,5.013336
2007,15.0,12.0,9.0,10.0,8.0,10.567871,4.924286,3.027588,4.417206,6.019409
2008,9.0,12.0,12.0,13.0,10.0,9.528229,5.0531006,1.9201355,1.1674194,6.844391
2009,9.0,9.0,12.0,13.0,12.0,9.347076,5.1932373,2.4794922,4.7416077,6.202606
2010,10.0,10.0,10.0,10.0,19.0,9.899933,4.2857666,2.0087585,4.729645,6.825226
2011,7.0,12.0,4.0,10.0,9.0,8.89566,4.637024,-0.46652222,3.5868225,4.0264893
2012,12.0,6.0,7.0,14.0,14.0,11.648346,3.5034485,0.9862671,1.601532,5.6915283
2013,13.0,8.0,5.0,13.0,9.0,8.406128,2.88266,1.0465088,2.4104004,7.345276
2014,9.0,10.0,7.0,12.0,14.0,8.556671,3.2010498,2.1738586,2.1891174,6.5056458
2015,13.0,11.0,12.0,11.0,13.0,10.409332,2.5496826,2.3705444,2.571167,6.632599
2016,13.0,7.0,9.0,9.0,10.0,11.9964905,6.081024,2.598816,3.3951416,6.649597
2017,12.0,10.0,13.0,12.0,11.0,9.989349,5.6121216,2.2034607,2.6966858,4.6841736
2018,8.0,7.0,10.0,6.0,10.0,9.145538,2.5352173,1.0578613,1.1019897,7.690094
2019,14.0,11.0,6.0,12.0,15.0,10.621246,5.37796,2.2547913,4.19635,6.7294006
2020,9.0,11.0,10.0,8.0,16.0,9.914673,6.0207214,4.626129,4.428528,7.5931396
2021,9.0,4.0,11.0,5.0,15.0,10.746887,4.029724,2.197998,4.3608093,8.963745
2022,6.0,9.0,5.0,5.0,13.0,9.829437,4.5496826,1.2409058,1.2756042,7.6889954
2023,9.0,6.0,10.0,9.0,12.0,11.572052,3.2800903,2.3228455,3.6773071,9.166412
2024,8.0,9.0,10.0,14.0,13.0,10.322388,5.5056763,3.3928223,5.108612,6.3180237
2025,10.0,3.0,7.0,10.0,15.0,11.237091,3.8070068,2.050293,1.0414124,7.4079285
