seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,15.0,25.0,21.0,18.0,15.0,4.5483093,-0.60284424,-5.0848083,-6.1569214,-2.7777405
1982,19.0,16.0,26.0,16.0,13.0,0.9711609,-0.9796753,-5.3311157,-4.9837036,-0.79815674
1983,11.0,20.0,13.0,22.0,16.0,3.8345032,-0.93652344,-3.9930115,-7.0621033,-2.3218994
1984,11.0,17.0,19.0,19.0,15.0,4.2709656,-2.1364746,-4.817169,-6.444458,-3.3862305
1985,13.0,21.0,23.0,15.0,14.0,2.3608398,-3.0625,-7.944031,-4.598297,-1.341095
1986,13.0,20.0,21.0,19.0,13.0,2.8346558,-4.1271057,-7.129486,-6.6542053,-2.991455
1987,15.0,15.0,25.0,17.0,14.0,2.281189,-1.8703003,-5.9368286,-5.207123,-1.2546387
1988,17.0,18.0,23.0,24.0,13.0,1.9388123,-3.208252,-4.573761,-6.0005493,-2.0967712
1989,14.0,22.0,9.0,7.0,14.0,2.4073792,-1.4534607,-2.682129,-2.5600586,0.65704346
1990,16.0,15.0,20.0,13.0,8.0,4.4006653,-1.586029,-5.6707153,-2.3639526,1.0890198
1991,11.0,12.0,18.0,12.0,16.0,5.7993774,0.54681396,-1.7810974,-3.6413574,-1.2800903
1992,11.0,17.0,14.0,15.0,3.0,3.3109741,-2.5823364,-3.8227844,-3.5686646,-0.6508484
1993,17.0,20.0,23.0,16.0,9.0,2.969635,-1.4356079,-2.8628845,-3.3828125,-0.5315857
1994,16.0,21.0,23.0,16.0,15.0,3.8539734,-1.7249451,-5.898224,-2.9960938,-1.5397339
1995,11.0,22.0,20.0,22.0,13.0,4.229889,-2.9996338,-3.9006042,-4.110962,-1.6398315
1996,18.0,20.0,24.0,14.0,13.0,4.747528,-1.0127563,-4.5012207,-4.5737,-1.318573
1997,14.0,22.0,17.0,11.0,12.0,2.216858,-2.487732,-3.1017456,-3.3535156,-2.0625305
1998,9.0,14.0,26.0,12.0,12.0,5.730774,-1.1565857,-6.3703003,-5.2980347,-0.6585083
1999,21.0,18.0,24.0,19.0,17.0,2.1270447,-2.2851868,-4.4661255,-5.9020996,-2.8778381
2000,14.0,23.0,18.0,17.0,15.0,3.5894775,-1.8747559,-4.4894714,-5.9717712,-2.2728882
2001,19.0,25.0,24.0,25.0,16.0,1.837738,-3.8582458,-6.450775,-7.109253,-2.8545532
2002,17.0,21.0,19.0,11.0,9.0,3.6929626,-4.1911926,-3.5859375,-1.811554,-0.11172485
2003,22.0,16.0,20.0,8.0,10.0,2.2877502,-4.2737427,-4.7381897,-5.9256287,-1.638855
2004,13.0,13.0,21.0,20.0,15.0,4.1756287,-1.7826233,-3.860321,-3.3950195,-0.86920166
2005,12.0,23.0,22.0,22.0,10.0,5.6217957,-2.0242615,-4.442444,-5.2408447,-1.4107361
2006,19.0,23.0,21.0,16.0,21.0,4.8193665,-2.519928,-5.2667847,-4.7673645,-0.63882446
2007,14.0,12.0,14.0,10.0,15.0,4.4263306,-1.7955322,-3.3995361,-3.3992004,-0.98461914
2008,9.0,15.0,20.0,15.0,10.0,3.233368,-1.4244385,-5.536499,-4.612274,-0.077301025
2009,18.0,20.0,16.0,20.0,14.0,3.9318237,-0.22888184,-2.4519348,-4.0648804,-0.47839355
2010,11.0,21.0,23.0,24.0,14.0,3.3617554,-1.8938904,-3.3571777,-4.5023193,-1.3775635
2011,16.0,21.0,22.0,14.0,12.0,4.504242,-0.6815796,-4.87912,-2.4760437,-0.809845
2012,15.0,27.0,24.0,21.0,11.0,4.5302124,-1.8094177,-5.0405884,-6.151306,-3.0141602
2013,23.0,28.0,25.0,19.0,14.0,3.857483,-2.2829285,-5.2012634,-5.610077,-1.6540527
2014,14.0,19.0,25.0,15.0,7.0,5.3468323,-0.2897339,-5.0617676,-4.764862,-1.9222412
2015,10.0,24.0,17.0,11.0,12.0,4.935364,-2.2747498,-2.8750305,-2.5101013,1.3231506
2016,14.0,19.0,22.0,24.0,7.0,3.5049744,-0.28979492,-5.0420227,-4.771576,-0.4467163
2017,22.0,13.0,16.0,13.0,9.0,0.7196655,-2.512085,-4.438202,-3.4579773,-1.1612244
2018,22.0,25.0,28.0,17.0,12.0,2.7847595,-2.0914917,-3.1850586,-4.823883,-0.394989
2019,11.0,19.0,16.0,10.0,12.0,5.528778,-1.3522644,-3.789978,-4.6419373,-0.54663086
2020,14.0,19.0,10.0,18.0,10.0,3.1844482,-1.8773804,-3.4762573,-4.5137024,0.07833862
2021,14.0,17.0,25.0,20.0,9.0,5.030243,-2.2165222,-5.473938,-3.3811035,0.6319885
2022,17.0,24.0,18.0,10.0,10.0,6.2608337,-0.16714478,-3.5224304,-3.5905151,0.3892212
2023,15.0,20.0,20.0,16.0,7.0,5.26593,-1.6721497,-4.8159485,-4.4224854,1.8565063
2024,21.0,18.0,25.0,13.0,10.0,5.5267334,-1.3687134,-2.8804932,-4.022827,-0.83251953
2025,18.0,27.0,21.0,20.0,20.0,4.605652,-2.2981567,-1.9880981,-1.8324585,-0.28457642
