seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y
1981,16.0,27.0,30.0,23.0,18.0,6.5729065,0.24691772,-2.9511719,-2.0556335,0.54852295
1982,23.0,23.0,28.0,20.0,20.0,2.888214,0.5329895,-2.3700562,-3.1661377,1.6100464
1983,17.0,25.0,24.0,23.0,19.0,6.559204,1.7113953,-2.0728455,-3.3695679,0.57559204
1984,19.0,26.0,29.0,25.0,24.0,4.6922913,-0.9187012,-4.5906067,-5.6053467,-2.8392334
1985,17.0,25.0,28.0,22.0,18.0,4.310486,-0.830719,-5.3495483,-2.0033875,0.32028198
1986,27.0,27.0,25.0,24.0,22.0,5.579956,-1.090271,-4.044037,-4.7618713,-0.099090576
1987,21.0,22.0,28.0,25.0,22.0,4.2749023,0.9546814,-2.8782349,-2.197998,0.9748535
1988,16.0,20.0,26.0,24.0,20.0,5.302429,0.90625,-1.1420898,-4.2832336,0.084472656
1989,25.0,24.0,24.0,21.0,21.0,3.4891663,0.5602722,-0.62628174,-0.87405396,2.2489014
1990,16.0,25.0,28.0,15.0,19.0,7.378662,0.89904785,-3.317047,-0.031951904,2.6671753
1991,19.0,26.0,27.0,24.0,21.0,8.345734,2.7927856,-1.819397,-2.6024475,1.0707092
1992,18.0,21.0,24.0,24.0,16.0,5.3580627,1.508728,-1.2096863,-2.0337524,1.6168213
1993,18.0,27.0,26.0,25.0,19.0,6.4233093,1.1446838,-1.4295044,-0.9190979,0.80285645
1994,15.0,26.0,26.0,25.0,25.0,7.085205,0.26379395,-2.4916077,-2.3160095,-0.6265869
1995,16.0,25.0,29.0,20.0,22.0,6.2522583,0.3529663,-3.0503845,-2.495758,0.7723694
1996,19.0,28.0,26.0,23.0,23.0,4.76416,-0.12145996,-3.1790771,-2.798767,0.18200684
1997,24.0,26.0,29.0,21.0,20.0,5.3555603,1.1159668,-2.1218567,-1.8293152,1.3153687
1998,19.0,21.0,30.0,17.0,19.0,7.009674,1.2750244,-3.3719177,-2.0032043,1.3819275
1999,25.0,28.0,28.0,24.0,17.0,5.0522156,0.879303,-2.4896545,-2.6672974,1.4059448
2000,21.0,29.0,26.0,27.0,25.0,6.6077576,0.58099365,-0.65411377,-3.045166,-0.18811035
2001,20.0,25.0,27.0,24.0,24.0,5.390686,-0.17559814,-4.2059937,-3.8373108,0.004486084
2002,19.0,29.0,26.0,19.0,21.0,5.9643555,-1.1942749,-1.5746155,-1.3098145,2.7815247
2003,24.0,24.0,27.0,19.0,18.0,3.0614014,-0.6130371,-2.9169312,-1.8535767,0.110321045
2004,17.0,28.0,26.0,23.0,14.0,7.1984863,1.7620239,-2.2668457,-1.4829407,1.2763062
2005,22.0,24.0,28.0,25.0,24.0,8.232666,1.6324768,-2.4450073,-3.2880554,-0.5472412
2006,25.0,30.0,27.0,22.0,21.0,5.7840576,-2.1707764,-3.9589233,-2.136139,0.4569397
2007,20.0,25.0,21.0,15.0,22.0,6.395294,1.5580139,-0.31100464,-0.29544067,0.8187256
2008,19.0,26.0,28.0,24.0,20.0,5.370575,1.3067627,-2.3678284,-3.2792969,2.5565796
2009,18.0,19.0,24.0,20.0,16.0,5.600403,1.7522278,-1.546814,-1.5389099,1.0951538
2010,18.0,23.0,30.0,22.0,22.0,6.763336,0.70544434,-1.8088989,-2.1283264,0.48721313
2011,20.0,26.0,31.0,18.0,24.0,6.2257996,1.392456,-3.9920044,-2.9634705,-1.5383301
2012,20.0,27.0,25.0,24.0,21.0,7.384186,-0.81552124,-4.0206604,-4.3148193,-0.21801758
2013,24.0,30.0,28.0,24.0,16.0,5.5798035,-0.8217468,-3.7578735,-4.1061707,0.7584839
2014,20.0,29.0,28.0,22.0,22.0,5.7278748,0.7815552,-2.6991272,-3.252594,1.0314636
2015,18.0,27.0,24.0,21.0,18.0,6.727844,-1.5631104,-2.4896545,-1.8407288,2.2496338
2016,21.0,21.0,31.0,24.0,15.0,7.6030884,1.9651489,-1.7550964,-1.8213501,2.542633
2017,22.0,27.0,28.0,24.0,23.0,4.8090515,1.6541443,-1.7716064,-1.6987915,0.95700073
2018,18.0,29.0,28.0,23.0,11.0,4.9136963,-0.93099976,-3.0618896,-3.9734192,2.7461853
2019,15.0,26.0,26.0,16.0,17.0,7.1696777,0.78063965,-2.0343628,-1.1007996,2.4622803
2020,19.0,21.0,24.0,22.0,20.0,5.8690186,1.6948242,0.1845398,0.05429077,3.2730408
2021,19.0,28.0,24.0,20.0,13.0,6.9693604,0.2710266,-3.4064636,-0.7778015,4.254944
2022,18.0,28.0,26.0,21.0,19.0,7.5329285,0.6222534,-2.9717712,-2.97818,1.9164734
2023,18.0,29.0,29.0,21.0,13.0,7.8144836,0.4199829,-1.845398,-1.8443298,4.8191223
2024,20.0,24.0,25.0,15.0,24.0,7.666046,1.5665283,-0.17105103,-0.00015258789,0.95840454
2025,19.0,30.0,27.0,20.0,21.0,6.9632263,0.2755432,-1.2680359,-2.440857,2.5744019
